股票代码,所属概念数量,code,所属概念,market_code
600261.SH,6,600261,人民币贬值受益;智能家居;氢能源;高股息精选;证金持股;融资融券,17
600166.SH,21,600166,动力电池回收;燃料电池;氢能源;固态电池;锂电池概念;国企改革;华为汽车;无人驾驶;车联网(车路协同);智慧城市;军工;新能源汽车;工业互联网;宁德时代概念;冷链物流;百度概念;DeepSeek概念;华为概念;智能座舱;沪股通;融资融券,17
688139.SH,11,688139,智能医疗;AI智能体;AI应用;医疗器械概念;DeepSeek概念;机器人概念;人工智能;物联网;细胞免疫治疗;沪股通;融资融券,17
002092.SZ,16,002092,煤化工概念;消毒剂;煤炭概念;水泥概念;可降解塑料;新疆振兴;西部大开发;国企改革;碳中和;碳交易;石墨烯;跨境电商;一带一路;职业教育;风电;深股通,33
603230.SH,4,603230,文化传媒概念;西部大开发;国企改革;沪股通,17
601128.SH,3,601128,高股息精选;沪股通;融资融券,17
300614.SZ,12,300614,垃圾分类;光热发电;固废处理;一带一路;碳中和;生物质能发电;碳交易;储能;绿色电力;HJT电池;钙钛矿电池;融资融券,33
601216.SH,19,601216,煤化工概念;水泥概念;可降解塑料;煤炭概念;天然气;参股银行;航运概念;参股券商;统一大市场;西部大开发;氢能源;生物疫苗;绿色电力;互联网金融;智能物流;数字经济;阿里巴巴概念;沪股通;融资融券,17
601166.SH,6,601166,高股息精选;跨境支付(CIPS);沪股通;融资融券;福建自贸区;海峡两岸,17
301212.SZ,6,301212,可降解塑料;共同富裕示范区;专精特新;消毒剂;锂电池概念;融资融券,33
688515.SH,16,688515,铜缆高速连接;汽车芯片;芯片概念;智能座舱;数据中心(AIDC);小米概念;比亚迪概念;华为概念;人形机器人;无人驾驶;机器人概念;信创;车联网(车路协同);工业互联网;沪股通;融资融券,17
300096.SZ,33,300096,DRG/DIP;托育服务;数据安全;华为鲲鹏;信创;智慧政务;人脸识别;移动支付;AI应用;蚂蚁集团概念;区块链;数据要素;AIGC概念;ChatGPT概念;Web3.0;福建自贸区;数据确权;智慧城市;数字水印;人工智能;数字经济;在线教育;DeepSeek概念;腾讯概念;海峡两岸;智能医疗;家庭医生;养老概念;华为概念;机器视觉;参股保险;国企改革;ST板块,33
600802.SH,8,600802,水泥概念;福建自贸区;国企改革;参股银行;海峡两岸;参股券商;核电;融资融券,17
300147.SZ,11,300147,禽流感;创新药;医药电商;细胞免疫治疗;流感;横琴新区;辅助生殖;ST板块;医疗器械概念;数字经济;粤港澳大湾区,33
601800.SH,18,601800,同花顺中特估100;证金持股;中字头股票;参股券商;国企改革;央企国企改革;碳交易;雅下水电概念;雄安新区;水利;一带一路;风电;核电;高铁;AI智能体;沪股通;融资融券;商业航天,17
600648.SH,9,600648,自由贸易港;物业管理;国企改革;跨境电商;创投;上海自贸区;沪股通;融资融券;数字乡村,17
600854.SH,4,600854,物业管理;家用电器;军民融合;超超临界发电,17
600789.SH,14,600789,流感;肝炎概念;阿尔茨海默概念;仿制药一致性评价;创新药;毛发医疗;合成生物;宠物经济;国企改革;消毒剂;DeepSeek概念;工业互联网;融资融券;沪股通,17
301268.SZ,16,301268,充电桩;低空经济;一体化压铸;储能;特斯拉概念;机器人概念;光伏概念;新型烟草(电子烟);比亚迪概念;人形机器人;宁德时代概念;新能源汽车;华为概念;液冷服务器;深股通;融资融券,33
688205.SH,11,688205,共封装光学(CPO);光纤概念;F5G概念;芯片概念;5G;数据中心(AIDC);东数西算(算力);专精特新;2026中报预增;沪股通;融资融券,17
688159.SH,29,688159,算力租赁;东数西算(算力);云计算;电力物联网;数据中心(AIDC);信创;智慧政务;5G;存储芯片;阿里巴巴概念;星闪概念;智能电网;物联网;鸿蒙概念;智慧城市;数据要素;华为概念;车联网(车路协同);AI智能体;无人机;人工智能;专精特新;低空经济;粤港澳大湾区;比亚迪概念;机器人概念;水利;沪股通;融资融券,17
688368.SH,14,688368,第三代半导体;汽车芯片;MCU芯片;芯片概念;无线充电;汽车电子;小米概念;英伟达概念;专精特新;数据中心(AIDC);机器人概念;股权转让(并购重组);沪股通;融资融券,17
000565.SZ,8,000565,西部大开发;氢能源;石墨烯;数字经济;国企改革;军工;储能;融资融券,33
600571.SH,21,600571,移动支付;跨境支付(CIPS);ChatGPT概念;数据安全;信创;互联网金融;数字经济;AI智能体;百度概念;阿里巴巴概念;DeepSeek概念;人工智能;独角兽概念;数字水印;创投;华为概念;量子科技;共同富裕示范区;参股券商;沪股通;融资融券,17
300229.SZ,41,300229,MLOps概念;AI语料;华为盘古;AI视频;多模态AI;ChatGPT概念;华为昇腾;华为鲲鹏;数据安全;智慧政务;AIGC概念;信创;Web3.0;腾讯概念;AI智能体;阿里巴巴概念;AI应用;数据要素;虚拟数字人;网络安全;电子身份证;元宇宙;数字货币;知识产权保护;蚂蚁集团概念;互联网金融;东数西算(算力);DeepSeek概念;数字经济;人工智能;华为概念;数据中心(AIDC);军工信息化;机器人概念;小米概念;军工;专精特新;军民融合;乡村振兴;深股通;融资融券,33
002958.SZ,3,002958,高股息精选;深股通;融资融券,33
002705.SZ,10,002705,宠物经济;三胎概念;中俄贸易概念;家用电器;人民币贬值受益;智能家居;机器人概念;小米概念;融资融券;深股通,33
688981.SH,13,688981,国家大基金持股;存储芯片;中芯国际概念;OLED;芯片概念;消费电子概念;汽车电子;中国AI 50;上海自贸区;物联网;同花顺漂亮100;融资融券;沪股通,17
000548.SZ,3,000548,乡村振兴;物业管理;国企改革,33
002016.SZ,9,002016,物业管理;国企改革;广东自贸区;一带一路;海工装备;粤港澳大湾区;深股通;融资融券;2026中报预增,33
000848.SZ,5,000848,高股息精选;网红经济;京津冀一体化;融资融券;深股通,33
000544.SZ,10,000544,PPP概念;国企改革;固废处理;污水处理;垃圾分类;绿色电力;水利;机器人概念;深股通;融资融券,33
001201.SZ,3,001201,猪肉;绿色电力;粤港澳大湾区,33
000539.SZ,15,000539,超超临界发电;绿色电力;风电;国资云;东数西算(算力);参股保险;储能;国企改革;光伏概念;期货概念;创投;粤港澳大湾区;海工装备;深股通;融资融券,33
688472.SH,12,688472,TOPCON电池;BC电池;HJT电池;钙钛矿电池;储能;光伏概念;锂电池概念;一带一路;人民币贬值受益;商业航天;沪股通;融资融券,17
002393.SZ,14,002393,阿尔茨海默概念;仿制药一致性评价;创新药;肝炎概念;维生素;流感;合成生物;京津冀一体化;国企改革;短剧游戏;专精特新;核污染防治;融资融券;深股通,33
920247.BJ,19,920247,比亚迪概念;海工装备;长安汽车概念;融资融券;飞行汽车(eVTOL);高铁;机器人概念;航空发动机;PEEK材料;有机硅概念;无人驾驶;低空经济;成飞概念;人形机器人;京津冀一体化;大飞机;新能源汽车;军工;专精特新,151
301131.SZ,20,301131,专精特新;可降解塑料;家用电器;粤港澳大湾区;长安汽车概念;POE胶膜;机器人概念;碳纤维;华为汽车;PEEK材料;小米概念;新能源汽车;无人机;光伏概念;充电桩;HJT电池;钙钛矿电池;TOPCON电池;绿色电力;融资融券,33
000631.SZ,7,000631,物业管理;绿色电力;风电;证金持股;储能;深股通;融资融券,33
605138.SH,5,605138,乡村振兴;农业种植;一带一路;人民币贬值受益;2026中报预增,17
603718.SH,6,603718,动物疫苗;ST板块;基因测序;医疗器械概念;牙科医疗;股权转让(并购重组),22
300729.SZ,10,300729,跨境电商;三胎概念;航运概念;智能物流;人工智能;抖音概念(字节概念);人民币贬值受益;智能家居;机器人概念;深股通,33
603170.SH,2,603170,预制菜;沪股通,17
002768.SZ,25,002768,光刻胶;丙烯酸;环氧丙烷;锂电池概念;PEEK材料;碳纤维;可降解塑料;富士康概念;比亚迪概念;储能;小米概念;新能源汽车;华为概念;人造肉;机器人概念;充电桩;风电;人形机器人;华为汽车;足球概念;体育产业;医美概念;2026中报预增;融资融券;深股通,33
603239.SH,8,603239,华为汽车;长安汽车概念;人形机器人;机器人概念;新能源汽车;比亚迪概念;国企改革;沪股通,17
301251.SZ,13,301251,共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,33
603730.SH,9,603730,长安汽车概念;特斯拉概念;新能源汽车;比亚迪概念;人民币贬值受益;上海自贸区;沪股通;2026中报预增;融资融券,17
920027.BJ,6,920027,数字经济;水利;专精特新;融资融券;高铁;西部大开发,151
002271.SZ,27,002271,冰雪产业;装配式建筑;新型城镇化;房屋检测;高股息精选;雄安新区;光伏建筑一体化;同花顺中特估100;地下管网;乡村振兴;水利;一带一路;同花顺漂亮100;建筑节能;绿色电力;数字经济;高铁;核电;海工装备;抽水蓄能;石墨烯;储能;充电桩;光伏概念;数据中心(AIDC);深股通;融资融券,33
688077.SH,13,688077,稀土永磁;专精特新;比亚迪概念;小金属概念;消费电子概念;新能源汽车;机器人概念;金属钴;华为概念;人形机器人;风电;固废处理;融资融券,17
600405.SH,19,600405,百度概念;腾讯概念;阿里巴巴概念;换电概念;东数西算(算力);充电桩;华为概念;数据中心(AIDC);雄安新区;京津冀一体化;高压快充;储能;中俄贸易概念;光伏概念;燃料电池;新能源汽车;5G;氢能源;融资融券,17
300551.SZ,8,300551,互联网金融;数字货币;虚拟数字人;专精特新;绿色电力;芯片概念;存储芯片;深股通,33
002471.SZ,26,002471,航空发动机;军民融合;大飞机;水利;海工装备;军工;高端装备;低空经济;商业航天;一带一路;柔性直流输电;数字经济;无人机;核电;机器人概念;风电;创投;充电桩;智能电网;石墨烯;光伏概念;东数西算(算力);数据中心(AIDC);数字孪生;深股通;融资融券,33
601880.SH,9,601880,统一大市场;航运概念;中韩自贸区;国企改革;绿色电力;中俄贸易概念;区块链;沪股通;融资融券,17
600805.SH,24,600805,统一大市场;乡村振兴;国企改革;垃圾分类;碳交易;碳中和;光伏建筑一体化;农机;绿色电力;氢能源;钠离子电池;时空大数据;超超临界发电;锂电池概念;风电;储能;虚拟电厂;机器人概念;高端装备;新能源汽车;无人驾驶;光伏概念;工业母机;融资融券,17
688563.SH,14,688563,航空发动机;大飞机;军民融合;核电;军工;商业航天;无人机;央企国企改革;机器人概念;国企改革;飞行汽车(eVTOL);低空经济;沪股通;融资融券,17
001356.SZ,5,001356,跨境电商;可降解塑料;人民币贬值受益;深股通;融资融券,33
300036.SZ,43,300036,华为欧拉;空间计算;多模态AI;华为鲲鹏;智慧政务;数据要素;AI应用;AIGC概念;元宇宙;信创;AI智能体;鸿蒙概念;数字孪生;Web3.0;时空大数据;华为昇腾;军工信息化;车联网(车路协同);阿里巴巴概念;智慧城市;数字经济;区块链;腾讯概念;DeepSeek概念;人工智能;虚拟现实;低空经济;华为概念;水利;无人驾驶;卫星导航;无人机;军工;智能电网;商业航天;MR(混合现实);地下管网;土壤修复;乡村振兴;英伟达概念;雅下水电概念;深股通;融资融券,33
600515.SH,10,600515,免税店;自由贸易港;海南自贸区;物业管理;土地流转;国企改革;跨境电商;低空经济;融资融券;沪股通,17
603105.SH,10,603105,绿色电力;虚拟电厂;光伏建筑一体化;充电桩;储能;光伏概念;共同富裕示范区;长三角一体化;沪股通;融资融券,17
000869.SZ,5,000869,超级品牌;旅游概念;国企改革;深股通;融资融券,33
600480.SH,27,600480,汽车热管理;华为汽车;人形机器人;长安汽车概念;小米汽车;飞行汽车(eVTOL);特斯拉概念;无人驾驶;新能源汽车;传感器;比亚迪概念;低空经济;商业航天;小米概念;核电;水利;储能;宁德时代概念;液冷服务器;锂电池概念;京津冀一体化;雄安新区;地下管网;国企改革;央企国企改革;沪股通;融资融券,17
688621.SH,14,688621,CRO概念;细胞免疫治疗;创新药;减肥药;肝炎概念;仿制药一致性评价;宠物经济;智能医疗;人工智能;华为盘古;专精特新;股权转让(并购重组);融资融券;沪股通,17
688533.SH,9,688533,特斯拉概念;新能源汽车;比亚迪概念;华为概念;汽车电子;芯片概念;智能座舱;沪股通;融资融券,17
000501.SZ,21,000501,免税店;预制菜;白酒概念;冰雪产业;网红经济;IP经济(谷子经济);物业管理;参股银行;露营经济;跨境电商;文化传媒概念;国企改革;电子竞技;创投;一带一路;数字经济;人工智能;黄金概念;低空经济;深股通;融资融券,33
600436.SH,10,600436,超级品牌;证金持股;创新药;肝炎概念;同花顺漂亮100;国企改革;沪股通;融资融券;海峡两岸;专精特新,17
601916.SH,4,601916,高股息精选;共同富裕示范区;融资融券;沪股通,17
300650.SZ,17,300650,5G;传感器;小米概念;无线耳机;汽车电子;芯片概念;智慧灯杆;华为概念;物联网;比亚迪概念;海峡两岸;MiniLED;机器人概念;智慧城市;存储芯片;元宇宙;人民币贬值受益,33
002839.SZ,3,002839,高股息精选;深股通;融资融券,33
002736.SZ,5,002736,高股息精选;国企改革;深圳国企改革;融资融券;深股通,33
601330.SH,7,601330,生物质能发电;绿色电力;固废处理;国企改革;垃圾分类;阿里巴巴概念;沪股通,17
605507.SH,5,605507,合成生物;流感;宠物经济;幽门螺杆菌概念;沪股通,17
603928.SH,11,603928,丙烯酸;锂电池概念;光刻胶;3D打印;高铁;新能源汽车;芯片概念;在线教育;大飞机;风电;先进封装,17
300841.SZ,6,300841,动物疫苗;生物疫苗;合成生物;西部大开发;融资融券;深股通,33
605333.SH,6,605333,华为汽车;人形机器人;特斯拉概念;新能源汽车;无人机;沪股通,17
002372.SZ,12,002372,高股息精选;地下管网;水利;净水概念;污水处理;一带一路;数字经济;海峡两岸;智能家居;石墨烯;深股通;融资融券,33
603218.SH,7,603218,核污染防治;风电;海工装备;核电;军工;融资融券;沪股通,17
688403.SH,9,688403,先进封装;存储芯片;OLED;芯片概念;汽车芯片;专精特新;人民币贬值受益;沪股通;融资融券,17
001299.SZ,3,001299,天然气;西部大开发;物联网,33
002402.SZ,33,002402,智能座舱;卫星导航;智能穿戴;小米概念;机器视觉;比亚迪概念;商业航天;军工;汽车电子;长安汽车概念;汽车热管理;物联网;机器人概念;语音技术;人形机器人;智能家居;5G;新型工业化;家用电器;人民币贬值受益;汽车芯片;芯片概念;粤港澳大湾区;人工智能;华为海思概念股;储能;AI智能体;DeepSeek概念;智能医疗;一带一路;第三代半导体;深股通;融资融券,33
603819.SH,5,603819,安防;新能源汽车;风电;2026中报预增;股权转让(并购重组),17
300240.SZ,15,300240,中俄贸易概念;网约车;统一大市场;智能物流;创投;冷链物流;人工智能;一带一路;航运概念;阿里巴巴概念;车联网(车路协同);新能源汽车;特斯拉概念;无人驾驶;小米概念,33
605589.SH,34,605589,光刻胶;先进封装;存储芯片;OLED;PCB概念;超级电容;芯片概念;丙烯酸;6G概念;硅能源;固态电池;石墨烯;染料;锂电池概念;钠离子电池;代糖概念;3D打印;储能;新能源汽车;商业航天;军工;核电;高铁;高端装备;风电;建筑节能;大飞机;光伏建筑一体化;绿色电力;合成生物;CRO概念;创新药;沪股通;融资融券,17
688238.SH,9,688238,细胞免疫治疗;智能医疗;CRO概念;基因测序;重组蛋白;人工智能;上海自贸区;专精特新;融资融券,17
300648.SZ,24,300648,消费电子概念;比亚迪概念;专精特新;小米汽车;高压快充;新能源汽车;华为概念;锂电池概念;华为汽车;人形机器人;海峡两岸;燃料电池;宁德时代概念;福建自贸区;储能;人工智能;充电桩;固态电池;鸿蒙概念;海工装备;虚拟电厂;两轮车;深股通;融资融券,33
002602.SZ,30,002602,电子竞技;网络游戏;手机游戏;云游戏;NFT概念;IP经济(谷子经济);共同富裕示范区;同花顺出海50;虚拟数字人;元宇宙;AIGC概念;AI应用;长三角一体化;DeepSeek概念;脑机接口;人工智能;人民币贬值受益;腾讯概念;虚拟现实;数据安全;算力租赁;新能源汽车;比亚迪概念;华为概念;东数西算(算力);深股通;数据中心(AIDC);2026中报预增;融资融券;摘帽,33
002116.SZ,25,002116,装配式建筑;新型城镇化;雄安新区;乡村振兴;土壤修复;污水处理;特色小镇;固废处理;建筑节能;垃圾分类;国企改革;一带一路;参股券商;智能物流;央企国企改革;DeepSeek概念;人工智能;数据要素;光伏建筑一体化;啤酒概念;机器人概念;动力电池回收;固态电池;深股通;中字头股票,33
301629.SZ,8,301629,存储芯片;芯片概念;专精特新;机器视觉;华为概念;比亚迪概念;深股通;融资融券,33
603658.SH,11,603658,流感;猴痘概念;幽门螺杆菌概念;基因测序;医疗器械概念;智能医疗;DeepSeek概念;AI应用;人工智能;沪股通;融资融券,17
603259.SH,7,603259,创新药;CRO概念;同花顺出海50;同花顺漂亮100;人民币贬值受益;融资融券;沪股通,17
002073.SZ,17,002073,参股银行;智能物流;一带一路;知识产权保护;数字经济;证金持股;生物质能发电;工业互联网;绿色电力;物联网;机器视觉;锂电池概念;宁德时代概念;传感器;固态电池;深股通;融资融券,33
600223.SH,23,600223,三胎概念;宠物经济;旅游概念;眼科医疗;流感;合成生物;仿制药一致性评价;医美概念;网红经济;重组蛋白;物业管理;创新药;国企改革;医疗器械概念;虚拟数字人;独角兽概念;DeepSeek概念;人工智能;元宇宙;海峡两岸;腾讯概念;融资融券;沪股通,17
603978.SH,12,603978,氟化工概念;PVDF概念;钠离子电池;锂电池概念;一体化压铸;储能;芯片概念;核电;军工;商业航天;沪股通;融资融券,17
600876.SH,7,600876,光热发电;光伏概念;碳中和;国企改革;央企国企改革;沪股通;融资融券,17
000538.SZ,13,000538,超级品牌;高股息精选;医药电商;证金持股;创新药;同花顺漂亮100;医美概念;工业大麻;参股券商;西部大开发;深股通;融资融券;华为概念,33
601992.SH,17,601992,水泥概念;物业管理;雄安新区;国企改革;装配式建筑;京津冀一体化;一带一路;固废处理;房屋检测;创投;核电;储能;光伏概念;商业航天;可控核聚变;沪股通;融资融券,17
603086.SH,4,603086,大豆;生态农业;人民币贬值受益;创新药,17
600365.SH,2,600365,ST板块;白酒概念,22
301120.SZ,16,301120,智能电网;柔性直流输电;数据中心(AIDC);风电;绿色电力;核电;储能;水利;海工装备;光伏概念;军工;机器人概念;专精特新;钠离子电池;深股通;融资融券,33
301076.SZ,4,301076,PEEK材料;专精特新;深股通;融资融券,33
300793.SZ,35,300793,星闪概念;智能家居;智能音箱;换电概念;车联网(车路协同);脑机接口;虚拟现实;语音技术;人工智能;华为概念;机器人概念;人民币贬值受益;无人机;鸿蒙概念;小米概念;阿里巴巴概念;创投;新型工业化;智能穿戴;机器视觉;元宇宙;一带一路;储能;血氧仪;无线耳机;医疗器械概念;消费电子概念;空间计算;AI眼镜;汽车电子;两轮车;苹果概念;芯片概念;粤港澳大湾区;深股通,33
920072.BJ,5,920072,智能医疗;专精特新;新股与次新股;融资融券;医疗器械概念,151
603312.SH,11,603312,储能;宁德时代概念;风电;锂电池概念;光伏概念;高铁;特斯拉概念;新能源汽车;比亚迪概念;沪股通;融资融券,17
301613.SZ,14,301613,新能源汽车;无人机;宁德时代概念;比亚迪概念;机器人概念;储能;锂电池概念;固态电池;西部大开发;消费电子概念;富士康概念;股权转让(并购重组);深股通;融资融券,33
603100.SH,15,603100,工业互联网;西部大开发;国企改革;物联网;央企国企改革;碳中和;新型工业化;光热发电;高端装备;核电;商业航天;传感器;可控核聚变;沪股通;融资融券,17
600616.SH,4,600616,上海国企改革;网红经济;国企改革;融资融券,17
601236.SH,5,601236,期货概念;国企改革;西部大开发;沪股通;融资融券,17
300185.SZ,14,300185,核污染防治;京津冀一体化;国企改革;风电;超超临界发电;抽水蓄能;储能;海工装备;核电;高端装备;军工;深股通;生物质能发电;融资融券,33
002063.SZ,45,002063,财税数字化;国资云;虚拟电厂;云计算;智谱AI;华为鲲鹏;多模态AI;信创;区块链;华为昇腾;AI智能体;鸿蒙概念;数据要素;百度概念;阿里巴巴概念;AI应用;数字货币;AIGC概念;腾讯概念;ERP概念;虚拟数字人;互联网金融;DeepSeek概念;智能电网;数字经济;元宇宙;人工智能;碳交易;安防;碳中和;充电桩;华为概念;创投;储能;军工信息化;粤港澳大湾区;央企国企改革;机器人概念;国企改革;横琴新区;军工;军民融合;光伏概念;深股通;融资融券,33
000931.SZ,7,000931,仿制药一致性评价;创新药;养老概念;京津冀一体化;雄安新区;创投;融资融券,33
002006.SZ,17,002006,人形机器人;新型工业化;高端装备;机器人概念;碳纤维;低空经济;3D打印;智能物流;专精特新;商业航天;充电桩;建筑节能;光伏概念;共同富裕示范区;数据中心(AIDC);深股通;融资融券,33
002769.SZ,12,002769,AIGC概念;AI应用;信创;跨境电商;粤港澳大湾区;钠离子电池;一带一路;储能;国企改革;碳交易;虚拟电厂;绿色电力,33
920026.BJ,14,920026,比亚迪概念;融资融券;新能源汽车;芯片概念;光伏概念;MR(混合现实);消费电子概念;机器人概念;AI眼镜;专精特新;机器视觉;富士康概念;特斯拉概念;苹果概念,151
688161.SH,4,688161,医疗器械概念;3D打印;沪股通;融资融券,17
300956.SZ,16,300956,AI PC;光伏建筑一体化;小米概念;人民币贬值受益;储能;机器人概念;消费电子概念;专精特新;绿色电力;锂电池概念;HJT电池;人形机器人;光伏概念;固态电池;TOPCON电池;融资融券,33
603888.SH,28,603888,知识产权保护;AI视频;虚拟数字人;AI语料;在线教育;AIGC概念;文化传媒概念;Web3.0;AI应用;元宇宙;数据确权;多模态AI;数据要素;AI智能体;数字经济;区块链;DeepSeek概念;京津冀一体化;人工智能;阿里巴巴概念;云计算;数据安全;网络安全;乡村振兴;创投;国企改革;沪股通;融资融券,17
920579.BJ,27,920579,高铁;无人驾驶;比亚迪概念;数字孪生;污水处理;高端装备;机器人概念;芯片概念;物联网;第三代半导体;智能物流;新能源汽车;工业母机;新型工业化;机器视觉;烟草;车联网(车路协同);智能医疗;央企国企改革;工业互联网;融资融券;垃圾分类;专精特新;固废处理;国企改革;京津冀一体化;一体化压铸,151
003016.SZ,11,003016,网红经济;跨境电商;IP经济(谷子经济);智能物流;流感;数字经济;福建自贸区;数据要素;海峡两岸;腾讯概念;2026中报预增,33
300831.SZ,6,300831,西部大开发;芯片概念;ST板块;国企改革;柔性直流输电;特高压,33
600551.SH,12,600551,参股券商;高股息精选;文化传媒概念;托育服务;在线教育;国企改革;数字经济;AI应用;创投;人工智能;沪股通;融资融券,17
600351.SH,11,600351,维生素;医药电商;流感;仿制药一致性评价;创新药;重组蛋白;幽门螺杆菌概念;农业种植;三胎概念;沪股通;融资融券,17
002326.SZ,10,002326,氟化工概念;钠离子电池;锂电池概念;宁德时代概念;仿制药一致性评价;液冷服务器;深股通;2026中报预增;比亚迪概念;融资融券,33
002185.SZ,21,002185,国家大基金持股;先进封装;存储芯片;汽车芯片;第三代半导体;共封装光学(CPO);华为海思概念股;芯片概念;汽车电子;5G;毫米波雷达;智能座舱;传感器;比亚迪概念;华为概念;无人驾驶;机器人概念;深股通;融资融券;西部大开发;2026中报预增,33
002287.SZ,8,002287,医药电商;创新药;流感;阿尔茨海默概念;三胎概念;西部大开发;深股通;融资融券,33
601952.SH,10,601952,玉米;大豆;粮食概念;农业种植;土地流转;啤酒概念;乡村振兴;国企改革;沪股通;融资融券,17
600583.SH,16,600583,天然气;国企改革;央企国企改革;氢能源;京津冀一体化;一带一路;绿色电力;海工装备;数字孪生;风电;DeepSeek概念;高端装备;机器人概念;沪股通;融资融券;数据中心(AIDC),17
002053.SZ,12,002053,超超临界发电;绿色电力;风电;天然气;页岩气;储能;国企改革;钠离子电池;西部大开发;证金持股;深股通;融资融券,33
300908.SZ,4,300908,农业种植;乡村振兴;海峡两岸;融资融券,33
603214.SH,6,603214,三胎概念;跨境电商;IP经济(谷子经济);托育服务;拼多多概念;腾讯概念,17
002809.SZ,9,002809,环氧丙烷;丙烯酸;装配式建筑;雄安新区;水利;京津冀一体化;粤港澳大湾区;专精特新;雅下水电概念,33
920195.BJ,9,920195,两轮车;特斯拉概念;比亚迪概念;融资融券;长安汽车概念;新能源汽车;人民币贬值受益;一带一路;专精特新,151
002862.SZ,20,002862,跨境电商;NFT概念;IP经济(谷子经济);三胎概念;AIGC概念;智能音箱;宠物经济;人工智能;网络游戏;ChatGPT概念;人民币贬值受益;手机游戏;DeepSeek概念;百度概念;光伏建筑一体化;充电桩;光伏概念;绿色电力;HJT电池;TOPCON电池,33
600469.SH,5,600469,国企改革;央企国企改革;新能源汽车;沪股通;融资融券,17
002489.SZ,15,002489,跨境电商;共同富裕示范区;C2M概念;露营经济;体育产业;独角兽概念;创投;一带一路;旅游概念;长三角一体化;机器人概念;人民币贬值受益;参股银行;深股通;融资融券,33
002426.SZ,17,002426,新型工业化;AI PC;小米概念;一体化压铸;华为概念;新能源汽车;特斯拉概念;人民币贬值受益;智能穿戴;一带一路;消费电子概念;苹果概念;AI眼镜;锂电池概念;PET铜箔;深股通;融资融券,33
600152.SH,15,600152,钠离子电池;固态电池;锂电池概念;共同富裕示范区;换电概念;新型烟草(电子烟);华为汽车;两轮车;无人机;机器人概念;华为概念;储能;消费电子概念;数据中心(AIDC);沪股通,17
601881.SH,6,601881,证金持股;同花顺中特估100;国企改革;沪股通;融资融券;中字头股票,17
600212.SH,14,600212,换电概念;储能;充电桩;人工智能;新疆振兴;高压快充;一带一路;宁德时代概念;无人机;新能源汽车;机器人概念;专精特新;沪股通;融资融券,17
600577.SH,19,600577,人形机器人;特斯拉概念;军工;比亚迪概念;高压快充;机器人概念;新能源汽车;超导概念;数据中心(AIDC);工业互联网;可控核聚变;智能电网;铜缆高速连接;移动支付;ERP概念;跨境支付(CIPS);沪股通;股权转让(并购重组);融资融券,17
002096.SZ,9,002096,民爆概念;新疆振兴;雅下水电概念;国企改革;一带一路;央企国企改革;军民融合;军工;深股通,33
000995.SZ,4,000995,白酒概念;农业种植;乡村振兴;西部大开发,33
300987.SZ,12,300987,AIGC概念;虚拟数字人;文化传媒概念;短剧游戏;智慧政务;DeepSeek概念;百度概念;人工智能;国资云;西部大开发;国企改革;融资融券,33
600125.SH,9,600125,航运概念;统一大市场;冷链物流;国企改革;中俄贸易概念;一带一路;碳中和;沪股通;融资融券,17
601727.SH,34,601727,智能电网;充电桩;可控核聚变;虚拟电厂;核电;储能;华为概念;特高压;高端装备;工业互联网;大飞机;光伏概念;核污染防治;独角兽概念;氢能源;航空发动机;超导概念;风电;机器人概念;燃料电池;钒电池;特斯拉概念;锂电池概念;人形机器人;固废处理;超超临界发电;化债概念(AMC概念);固态电池;国企改革;工业母机;上海国企改革;减速器;沪股通;融资融券,17
603829.SH,3,603829,智能电网;储能;光伏概念,17
600679.SH,11,600679,共享单车;网红经济;体育产业;跨境电商;物业管理;三胎概念;国企改革;两轮车;互联网金融;创投;医疗器械概念,17
300644.SZ,25,300644,PEEK材料;人形机器人;飞行汽车(eVTOL);汽车热管理;碳纤维;机器人概念;特斯拉概念;家用电器;比亚迪概念;无人机;低空经济;高铁;新能源汽车;有机硅概念;高端装备;专精特新;3D打印;可降解塑料;小米概念;毫米波雷达;两轮车;5G;储能;充电桩;特高压,33
002571.SZ,9,002571,新能源汽车;C2M概念;光伏概念;创投;拼多多概念;一带一路;网络游戏;参股银行;股权转让(并购重组),33
600819.SH,9,600819,建筑节能;钙钛矿电池;光伏概念;新能源汽车;比亚迪概念;上海自贸区;国企改革;上海国企改革;沪股通,17
688486.SH,7,688486,汽车芯片;芯片概念;英伟达概念;无人机;数据中心(AIDC);沪股通;融资融券,17
002818.SZ,9,002818,网红经济;高股息精选;西部大开发;互联网金融;鸿蒙概念;智能家居;军工;深股通;2026中报预增,33
002550.SZ,6,002550,仿制药一致性评价;创新药;肝炎概念;合成生物;深股通;重组蛋白,33
600733.SH,24,600733,一体化压铸;华为汽车;网约车;京津冀一体化;车联网(车路协同);DeepSeek概念;无人驾驶;小米汽车;燃料电池;百度概念;国企改革;换电概念;星闪概念;新能源汽车;智能座舱;动力电池回收;华为概念;充电桩;储能;固态电池;高压快充;汽车芯片;沪股通;融资融券,17
600732.SH,7,600732,TOPCON电池;BC电池;光伏建筑一体化;光伏概念;风电;沪股通;融资融券,17
300694.SZ,5,300694,国企改革;燃料电池;机器人概念;新能源汽车;人形机器人,33
