股票代码,所属概念,所属概念数量,code,market_code
920149.BJ,融资融券;光伏概念;光伏建筑一体化;房屋检测;股权转让(并购重组);建筑节能;新型城镇化;装配式建筑,8,920149,151
300129.SZ,商业航天;海工装备;高端装备;光伏概念;专精特新;风电;国企改革;绿色电力;新疆振兴;深股通;融资融券,11,300129,33
920077.BJ,2025年报预增;专精特新;融资融券;风电;碳纤维;国企改革,6,920077,151
920834.BJ,可降解塑料;融资融券,2,920834,151
300429.SZ,光刻胶;先进封装;PCB概念;芯片概念;专精特新;创投;深股通;融资融券,8,300429,33
301566.SZ,5G;军工;专精特新;医疗器械概念;深股通;融资融券,6,301566,33
920592.BJ,蚂蚁集团概念;人工智能;AIGC概念;阿里巴巴概念;智谱AI;华为概念;智慧政务;数字经济;DeepSeek概念;信创;区块链;互联网金融;融资融券;数据要素;京津冀一体化;鸿蒙概念,16,920592,151
000062.SZ,2026一季报预增;存储芯片;华为海思概念股;芯片概念;第三代半导体;汽车电子;粤港澳大湾区;比亚迪概念;华为概念;共封装光学(CPO);新能源汽车;6G概念;人民币贬值受益;华为昇腾;2025年报预增;腾讯概念;机器人概念;互联网金融;创投;AI智能体;智慧城市;雄安新区;深股通;融资融券;证金持股,25,000062,33
920701.BJ,智能穿戴;融资融券;华为概念;小米概念;消费电子概念,5,920701,151
920885.BJ,2025年报预增;卫星导航;国产航母;商业航天;新能源汽车;西部大开发;储能;风电;无人驾驶;融资融券;军民融合;军工;专精特新,13,920885,151
920185.BJ,氢能源;储能;宁德时代概念;石墨电极;固态电池;锂电池概念;一带一路;融资融券;比亚迪概念;钠离子电池;燃料电池;石墨烯,12,920185,151
300490.SZ,固态电池;钠离子电池;宁德时代概念;锂电池概念;光伏概念;高压快充;智能电网;航空发动机;储能;换电概念;MiniLED;比亚迪概念;数据中心;虚拟电厂;新型工业化;工业互联网;军工;充电桩;风电;机器视觉;华为概念;国产操作系统;机器人概念;光伏建筑一体化;垃圾分类;碳中和;东数西算(算力);华为鲲鹏;数字孪生;碳交易;水利;人工智能;虚拟现实;DeepSeek概念;多模态AI;数据要素;污水处理;一带一路;净水概念;数字经济;绿色电力,41,300490,33
920101.BJ,光伏概念;专精特新;高铁;中俄贸易概念;水利;新股与次新股;融资融券,7,920101,151
920145.BJ,碳中和;污水处理;高端装备;汽车电子;传感器;芯片概念;融资融券,7,920145,151
920000.BJ,海峡两岸;融资融券;人民币贬值受益;新能源汽车;专精特新,5,920000,151
300191.SZ,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,7,300191,33
301377.SZ,PCB概念;2025年报预增;工业母机;机器视觉;粤港澳大湾区;机器人概念;高端装备;深股通;融资融券,9,301377,33
920579.BJ,无人驾驶;比亚迪概念;高端装备;污水处理;芯片概念;机器人概念;物联网;新能源汽车;机器视觉;高铁;第三代半导体;智能物流;车联网(车路协同);智能医疗;烟草;融资融券;工业互联网;固废处理;专精特新;数字孪生;京津冀一体化;垃圾分类;国企改革;一体化压铸;新型工业化;央企国企改革;工业母机;医疗废物处理,28,920579,151
688522.SH,卫星导航;同花顺新质50;毫米波雷达;军工;低空经济;MCU芯片;芯片概念;专精特新;2025年报预增;沪股通;融资融券,11,688522,17
300488.SZ,航空发动机;工业母机;军民融合;减速器;专精特新;人形机器人;比亚迪概念;机器人概念;长三角一体化;共同富裕示范区;深股通,11,300488,33
603257.SH,金属铜;黄金概念;金属钴;金属回收;稀土永磁;盐湖提锂;固废处理;宁德时代概念;一带一路;土壤修复;污水处理;参股保险;工业互联网;乡村振兴;新型城镇化;数字孪生;DeepSeek概念;AI智能体;文化传媒概念;融资融券,20,603257,17
920876.BJ,2025年报预增;融资融券;移动支付;芯片概念;物联网;鸿蒙概念;AI PC;数字经济;专精特新;智能家居;机器人概念;智慧政务;人工智能;消费电子概念;在线教育;5G;安防;信创,18,920876,151
300853.SZ,语音技术;传感器;电力物联网;新型工业化;无人机;专精特新;机器人概念;机器视觉;人形机器人;智能穿戴;人工智能;智能电网;AI眼镜;东数西算(算力);DeepSeek概念;储能;海工装备;一带一路,18,300853,33
300192.SZ,AI应用;在线教育;ChatGPT概念;职业教育;Sora概念(文生视频);人工智能;DeepSeek概念;东数西算(算力);芯片概念;股权转让(并购重组);深股通,11,300192,33
603416.SH,新型工业化;人形机器人;机器人概念;机器视觉;融资融券;沪股通,6,603416,17
300018.SZ,柔性直流输电;特高压;智能电网;电力物联网;抽水蓄能;核电;专精特新;基因测序;2025年报预增;医疗器械概念;血氧仪;水利;智能医疗;家庭医生;融资融券,15,300018,33
002962.SZ,汽车电子;消费电子概念;MR(混合现实);小米概念;虚拟现实;专精特新;安防;人民币贬值受益;华为概念,9,002962,33
000988.SZ,F5G概念;共封装光学(CPO);铜缆高速连接;PCB概念;6G概念;5G;先进封装;高压快充;苹果概念;MiniLED;第三代半导体;东数西算(算力);MicroLED概念;芯片概念;充电桩;量子科技;柔性屏(折叠屏);工业母机;汽车电子;储能;宁德时代概念;华为概念;氢能源;卫星导航;商业航天;新型工业化;钙钛矿电池;锂电池概念;传感器;智能座舱;物联网;工业互联网;3D打印;高端装备;比亚迪概念;新能源汽车;汽车热管理;专精特新;百度概念;特斯拉概念;航空发动机;数字孪生;智慧城市;大飞机;腾讯概念;机器人概念;阿里巴巴概念;独角兽概念;华为汽车;数据要素;AI智能体;长安汽车概念;农机;智能家居;回购增持再贷款概念;创投;乡村振兴;国企改革;家用电器;深股通;融资融券;基因测序,62,000988,33
301446.SZ,数据中心;风电;农机;融资融券,4,301446,33
301219.SZ,金属钴;金属镍;金属铜;小金属概念;金属回收;动力电池回收;固态电池;宁德时代概念;锂电池概念;2025年报预增;2026一季报预增;专精特新;人民币贬值受益;一带一路;深股通;融资融券,16,301219,33
920792.BJ,小金属概念;融资融券;专精特新,3,920792,151
688163.SH,创新药;融资融券,2,688163,17
002119.SZ,存储芯片;先进封装;芯片概念;专精特新;自由贸易港;核电;深股通;融资融券,8,002119,33
920802.BJ,医疗器械概念;PM2.5;融资融券,3,920802,151
920476.BJ,绿色电力;2025年报预增;医疗器械概念;鸿蒙概念;融资融券;食品安全;高端装备;人工智能;回购增持再贷款概念;储能;宠物经济;专精特新,12,920476,151
920075.BJ,AI应用;AIGC概念;融资融券;人工智能;文化传媒概念;多模态AI;IP经济(谷子经济),7,920075,151
688102.SH,商业航天;航空发动机;可控核聚变;3D打印;核电;芯片概念;独角兽概念;DeepSeek概念;共封装光学(CPO);特高压;新能源汽车;充电桩;西部大开发;医疗器械概念;沪股通;融资融券,16,688102,17
603335.SH,一体化压铸;人民币贬值受益;动力电池回收;新能源汽车;锂电池概念;宁德时代概念;融资融券,7,603335,17
920187.BJ,新股与次新股;融资融券,2,920187,151
600545.SH,华为概念;新型工业化;AI智能体;机器人概念;DeepSeek概念;人民币贬值受益;一带一路;西部大开发;新疆振兴;融资融券,10,600545,17
600071.SH,太赫兹;汽车电子;消费电子概念;安防;机器视觉;芯片概念;新型工业化;华为概念;物联网;机器人概念;华为汽车;2025年报预增;储能;央企国企改革;锂电池概念;国企改革;沪股通;融资融券,18,600071,17
605376.SH,金属镍;小金属概念;硅能源;3D打印;光伏概念;2025年报预增;锂电池概念;专精特新;人民币贬值受益;融资融券;沪股通,11,605376,17
603109.SH,数据中心;新能源汽车;专精特新;储能;无人机;机器人概念;人民币贬值受益;农机;水利;中俄贸易概念;乡村振兴;一带一路;西部大开发;沪股通,14,603109,17
920717.BJ,天然气;融资融券,2,920717,151
688234.SH,第三代半导体;芯片概念;AI眼镜;新能源汽车;专精特新;华为概念;智能电网;沪股通;融资融券,9,688234,17
688325.SH,芯片概念;专精特新;锂电池概念;回购增持再贷款概念;沪股通;融资融券,6,688325,17
920402.BJ,融资融券;碳中和;国企改革;氢能源;光伏概念;硅能源;芯片概念,7,920402,151
301255.SZ,减速器;机器人概念;专精特新;比亚迪概念;海工装备;宁德时代概念;融资融券,7,301255,33
300225.SZ,ST板块;创投,2,300225,33
920436.BJ,新能源汽车;无人驾驶;融资融券;专精特新;充电桩;百度概念,6,920436,151
920599.BJ,高股息精选;工业互联网;融资融券;回购增持再贷款概念;无人驾驶;西部大开发,6,920599,151
920110.BJ,智能家居;专精特新;融资融券;横琴新区,4,920110,151
920026.BJ,新能源汽车;融资融券;比亚迪概念;AI眼镜;芯片概念;专精特新;光伏概念;MR(混合现实);机器视觉;富士康概念;消费电子概念;机器人概念;苹果概念;特斯拉概念,14,920026,151
601778.SH,虚拟电厂;光伏建筑一体化;光伏概念;储能;绿色电力;数据中心;碳交易;风电;氢能源;碳中和;阿里巴巴概念;腾讯概念;算力租赁;东数西算(算力);沪股通;融资融券,16,601778,17
688486.SH,汽车芯片;芯片概念;英伟达概念;无人机;沪股通;融资融券,6,688486,17
603906.SH,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;磷化工;储能;燃料电池;比亚迪概念;氢能源;新能源汽车;无人机;一带一路;数字经济;数据中心;液冷服务器;融资融券;沪股通,18,603906,17
001979.SZ,租售同权;免税店;物业管理;证金持股;养老概念;国企改革;深股通;融资融券;央企国企改革;回购增持再贷款概念;粤港澳大湾区;低空经济,12,001979,33
688007.SH,星闪概念;智能座舱;小米概念;AI眼镜;比亚迪概念;虚拟现实;华为汽车;机器人概念;汽车电子;新能源汽车;粤港澳大湾区;家用电器;海工装备;沪股通;融资融券,15,688007,17
603256.SH,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;数据中心;2025年报预增;专精特新;华为概念;海峡两岸;沪股通,12,603256,17
300302.SZ,存储芯片;东数西算(算力);数据安全;云计算;信创;国产操作系统;芯片概念;数据中心;卫星导航;军工信息化;专精特新;军工;深股通;融资融券,14,300302,33
920058.BJ,中俄贸易概念;融资融券;两轮车;人民币贬值受益;体育产业,5,920058,151
603051.SH,TOPCON电池;钙钛矿电池;BC电池;HJT电池;光伏概念;POE胶膜;固态电池;锂电池概念;比亚迪概念;人形机器人;商业航天;OLED;传感器;柔性屏(折叠屏);氢能源;智能穿戴;水利;融资融券,18,603051,17
920508.BJ,物联网;融资融券;特高压;机器人概念;无人机;智能电网;固态电池,7,920508,151
002183.SZ,卫星导航;商业航天;存储芯片;无人机;5G;芯片概念;消费电子概念;粤港澳大湾区;低空经济;华为概念;金属回收;锂电池概念;东数西算(算力);创投;信创;智能物流;一带一路;数据中心;人工智能;国产操作系统;储能;新能源汽车;深圳国企改革;国企改革;云计算;DeepSeek概念;冷链物流;充电桩;鸿蒙概念;华为鲲鹏;统一大市场;跨境支付(CIPS);物业管理;智能医疗;乳业;医药电商;白酒概念;深股通;融资融券,39,002183,33
301498.SZ,宠物经济;特色小镇;数字孪生;深股通;融资融券,5,301498,33
920190.BJ,智能穿戴;融资融券;多模态AI;AI智能体;星闪概念;电子竞技;信创;AIGC概念;DeepSeek概念;人工智能;跨境电商;IP经济(谷子经济);WiFi 6;消费电子概念;无线耳机;AI PC;AI眼镜,17,920190,151
920227.BJ,AI应用;抖音概念(字节概念);小红书概念;融资融券;ERP概念;拼多多概念;阿里巴巴概念,7,920227,151
920786.BJ,三胎概念;玉米;乡村振兴;西部大开发;农机;农业种植;融资融券;乳业,8,920786,151
002531.SZ,氢能源;风电;海工装备;绿色电力;深股通;融资融券,6,002531,33
002967.SZ,无人驾驶;飞行汽车(eVTOL);卫星导航;商业航天;机器人概念;华为海思概念股;低空经济;小米概念;无人机;大飞机;芯片概念;特斯拉概念;比亚迪概念;华为概念;新能源汽车;人工智能;量子科技;粤港澳大湾区;海工装备;中芯国际概念;DeepSeek概念;网络安全;数据安全;数据要素;职业教育;燃料电池;食品安全;回购增持再贷款概念;数据确权;土壤修复;国企改革;碳中和;深股通,33,002967,33
920124.BJ,人形机器人;粤港澳大湾区;新能源汽车;新股与次新股;融资融券,5,920124,151
920396.BJ,专精特新;融资融券;可控核聚变;核电,4,920396,151
002687.SZ,创投,1,002687,33
002848.SZ,国企改革;东数西算(算力);数字经济;人工智能;华为概念;智慧城市;PCB概念;5G;智能家居;军工;医疗器械概念;MiniLED;卫星导航;ST板块,14,002848,33
301071.SZ,培育钻石;第三代半导体;芯片概念;海峡两岸;深股通;融资融券,6,301071,33
301070.SZ,东数西算(算力);华为昇腾;比亚迪概念;无人驾驶;光伏概念;储能;锂电池概念;智慧政务;高端装备;DeepSeek概念;人工智能;回购增持再贷款概念;绿色电力;智能医疗;融资融券,15,301070,33
920926.BJ,智能家居;鸿蒙概念;物联网;融资融券;人民币贬值受益;跨境电商;家用电器,7,920926,151
920108.BJ,机器人概念;一带一路;小米概念;家用电器;融资融券,5,920108,151
002647.SZ,芯片概念;东数西算(算力);云计算;移动支付;数字货币;区块链;跨境支付(CIPS);互联网金融;摘帽,9,002647,33
920008.BJ,虚拟现实;军工信息化;融资融券;专精特新;军工;西部大开发,6,920008,151
920415.BJ,AI应用;鸿蒙概念;股权转让(并购重组);阿里巴巴概念;百度概念;飞行汽车(eVTOL);车联网(车路协同);数字经济;融资融券;拼多多概念;互联网金融;信创;卫星导航;人工智能;低空经济;抖音概念(字节概念);DeepSeek概念;AI智能体,18,920415,151
920656.BJ,融资融券;宠物经济,2,920656,151
600521.SH,仿制药一致性评价;创新药;流感;细胞免疫治疗;阿尔茨海默概念;合成生物;沪股通;融资融券,8,600521,17
603803.SH,F5G概念;共封装光学(CPO);WiFi 6;6G概念;5G;东数西算(算力);数据中心;量子科技;芯片概念;智能电网;网络安全;新型工业化;物联网;工业互联网;数据安全;无人驾驶;智慧城市;车联网(车路协同);新型城镇化;融资融券,20,603803,17
920556.BJ,电力物联网;数字孪生;商业航天;腾讯概念;物联网;百度概念;融资融券;阿里巴巴概念;传感器;华为概念;5G;储能;充电桩;华为数字能源;智能电网;云计算;数据中心,17,920556,151
301314.SZ,专精特新;粤港澳大湾区;家用电器;5G;新型工业化;汽车电子;F5G概念;WiFi 6;新能源汽车;融资融券,10,301314,33
920718.BJ,新能源汽车;充电桩;家用电器;融资融券,4,920718,151
688103.SH,芯片概念;军工;可控核聚变;商业航天;低空经济;飞行汽车(eVTOL);华为概念;大飞机;新能源汽车;高压快充;2025年报预增;宁德时代概念;特高压;柔性直流输电;培育钻石;回购增持再贷款概念;沪股通;融资融券,18,688103,17
920057.BJ,中俄贸易概念;海峡两岸;专精特新;融资融券;光伏建筑一体化;装配式建筑,6,920057,151
688582.SH,传感器;芯片概念;商业航天;无人驾驶;低空经济;机器人概念;专精特新;股权转让(并购重组);沪股通;融资融券,10,688582,17
920924.BJ,AI应用;高铁;网络安全;物业管理;数据中心;智慧城市;数字经济;算力租赁;阿里巴巴概念;智慧灯杆;抖音概念(字节概念);融资融券;车联网(车路协同);区块链;安防;养老概念;信创;5G;东数西算(算力);华为概念;专精特新;人工智能,22,920924,151
601222.SH,虚拟电厂;光伏建筑一体化;绿色电力;风电;智能电网;TOPCON电池;电力物联网;华为数字能源;储能;光伏概念;充电桩;氢能源;锂电池概念;物联网;华为概念;人工智能;量子科技;飞行汽车(eVTOL);蚂蚁集团概念;低空经济;区块链;沪股通;融资融券,23,601222,17
600137.SH,西部大开发,1,600137,17
920198.BJ,数字孪生;物联网;鸿蒙概念;机器人概念;智慧城市;AI智能体;股权转让(并购重组);融资融券;数据要素;国企改革;安防;创投;人工智能,13,920198,151
001313.SZ,合成生物;预制菜;乡村振兴;粤港澳大湾区;一带一路;数据要素;深股通,7,001313,33
003023.SZ,医疗器械概念;三胎概念;露营经济;宠物经济;家用电器;消毒剂;跨境电商;智能家居;西部大开发,9,003023,33
920392.BJ,融资融券;一带一路;股权转让(并购重组),3,920392,151
300766.SZ,智谱AI;AI语料;多模态AI;快手概念;小红书概念;ChatGPT概念;云计算;AI智能体;数据安全;虚拟数字人;智慧政务;抖音概念(字节概念);数据要素;阿里巴巴概念;腾讯概念;鸿蒙概念;拼多多概念;百度概念;空间计算;区块链;DeepSeek概念;数字经济;人工智能;车联网(车路协同);智慧城市;智能医疗;华为概念;AI应用;机器人概念;小米概念;共同富裕示范区;比亚迪概念;融资融券;深股通,34,300766,33
300321.SZ,国企改革;证金持股,2,300321,33
603409.SH,专精特新;新能源汽车;华为汽车;比亚迪概念;融资融券,5,603409,17
603010.SH,磷化工;新能源汽车;比亚迪概念;合成生物;锂电池概念;芯片概念;融资融券;沪股通,8,603010,17
920879.BJ,数据要素;抽水蓄能;机器视觉;信创;传感器;融资融券;核电;京津冀一体化;光纤概念;专精特新;数字孪生;水利;风电;智慧城市;雅下水电概念;物联网,16,920879,151
688790.SH,科创次新股;卫星导航;商业航天;WiFi 6;6G概念;AI眼镜;芯片概念;智能穿戴;5G;汽车芯片;小米概念;华为概念;注册制次新股;新股与次新股;融资融券,15,688790,17
920807.BJ,芯片概念;一带一路;乡村振兴;稀土永磁;第三代半导体;粤港澳大湾区;融资融券,7,920807,151
301310.SZ,飞行汽车(eVTOL);军工;宁德时代概念;人形机器人;比亚迪概念;新能源汽车;机器人概念;专精特新;高压快充;核电;充电桩;铜缆高速连接;可控核聚变;储能;光伏概念;创投;深股通;融资融券,18,301310,33
301012.SZ,算力租赁;东数西算(算力);数据中心;储能;光伏概念;专精特新;股权转让(并购重组);融资融券,8,301012,33
920299.BJ,商业航天;数据中心;融资融券;阿里巴巴概念;特高压;智能电网,6,920299,151
601933.SH,预制菜;IP经济(谷子经济);跨境电商;统一大市场;福建自贸区;冷链物流;海峡两岸;腾讯概念;股权转让(并购重组);沪股通;融资融券,11,601933,17
920407.BJ,智能家居;安防;DeepSeek概念;地下管网;人脸识别;物联网;污水处理;鸿蒙概念;专精特新;无人零售;融资融券;智慧城市;传感器,13,920407,151
920167.BJ,TOPCON电池;HJT电池;氢能源;储能;融资融券;光伏概念;专精特新;BC电池,8,920167,151
300179.SZ,培育钻石;第三代半导体;海工装备;专精特新;新能源汽车;天然气;深股通;融资融券,8,300179,33
601126.SH,柔性直流输电;特高压;抽水蓄能;智能电网;电力物联网;虚拟电厂;核电;数据中心;风电;光伏概念;东数西算(算力);储能;雅下水电概念;军工;绿色电力;阿里巴巴概念;机器人概念;氢能源;数字孪生;DeepSeek概念;人工智能;京津冀一体化;融资融券;沪股通,24,601126,17
600666.SH,算力租赁;数据确权;东数西算(算力);云计算;Sora概念(文生视频);AIGC概念;AI智能体;数据要素;短剧游戏;DeepSeek概念;蚂蚁集团概念;人工智能;OLED;AI应用;比亚迪概念;高端装备;黑龙江自贸区;新疆振兴;沪股通,19,600666,17
300131.SZ,第三代半导体;存储芯片;OLED;共封装光学(CPO);汽车芯片;AI眼镜;芯片概念;小米概念;智能座舱;汽车电子;传感器;新能源汽车;数据中心;无人驾驶;长安汽车概念;ERP概念;机器人概念;智能家居;物联网;粤港澳大湾区;车联网(车路协同);腾讯概念;阿里巴巴概念;智慧城市;深股通;融资融券,26,300131,33
300736.SZ,苹果概念;华为概念;区块链,3,300736,33
605167.SH,核电;氢能源;海工装备;新型工业化;固废处理;中俄贸易概念;一带一路;天然气,8,605167,17
300666.SZ,光刻机;中芯国际概念;OLED;存储芯片;第三代半导体;芯片概念;光伏概念;海峡两岸;碳纤维;共同富裕示范区;中韩自贸区;深股通;融资融券,13,300666,33
688280.SH,汽车电子;专精特新;减速器;无人驾驶;比亚迪概念;新能源汽车;两轮车;融资融券,8,688280,17
002882.SZ,固态电池;锂电池概念;比亚迪概念;核电;粤港澳大湾区;无人机;深股通,7,002882,33
002272.SZ,液冷服务器;数据中心;特高压;军工;智能电网;核电;华为概念;传感器;高端装备;工业互联网;低空经济;光热发电;储能;机器人概念;风电;抽水蓄能;数字经济;水利;氢能源;碳中和;垃圾分类;超超临界发电;西部大开发;深股通;融资融券,25,002272,33
300221.SZ,无人机;碳纤维;3D打印;5G;机器人概念;新型烟草(电子烟);消费电子概念;网约车;创投;新能源汽车;PCB概念;OLED;2025年报预增;可降解塑料;NMN概念,15,300221,33
920471.BJ,NMN概念;基因测序;京津冀一体化;可降解塑料;环氧丙烷;融资融券;合成生物,7,920471,151
920810.BJ,融资融券;高端装备;机器人概念;专精特新;智能物流,5,920810,151
002463.SZ,PCB概念;5G;汽车电子;芯片概念;毫米波雷达;数据中心;华为概念;2026一季报预增;无人驾驶;人民币贬值受益;海峡两岸;污水处理;同花顺出海50;深股通;融资融券,15,002463,33
600262.SH,无人驾驶;人民币贬值受益;华为概念;央企国企改革;氢能源;车联网(车路协同);西部大开发;国企改革,8,600262,17
603819.SH,新能源汽车;安防;风电;股权转让(并购重组),4,603819,17
601155.SH,物业管理;装配式建筑;养老概念;沪股通;融资融券,5,601155,17
920056.BJ,固态电池;POE胶膜;锂电池概念;3D打印;钙钛矿电池;光伏概念;专精特新;新股与次新股;融资融券,9,920056,151
300443.SZ,风电;海工装备;军工;2025年报预增;减速器;创投;融资融券;深股通,8,300443,33
603633.SH,智能座舱;机器人概念;汽车电子;比亚迪概念;无人驾驶;毫米波雷达;新能源汽车;消费电子概念;华为概念;储能;宁德时代概念;中芯国际概念,12,603633,17
002800.SZ,中俄贸易概念;统一大市场;冷链物流;一带一路;跨境电商;西部大开发;新疆振兴,7,002800,33
688629.SH,共封装光学(CPO);铜缆高速连接;5G;数据中心;卫星导航;商业航天;华为概念;无人机;军工;高压快充;比亚迪概念;阿里巴巴概念;低空经济;腾讯概念;新能源汽车;机器人概念;核电;高铁;西部大开发;国企改革;沪股通;融资融券,22,688629,17
603429.SH,ST板块;烟草;新型烟草(电子烟);储能,4,603429,22
920768.BJ,小米概念;融资融券;家用电器;华为概念;粤港澳大湾区,5,920768,151
002536.SZ,液冷服务器;汽车电子;芯片概念;数据中心;汽车热管理;新能源汽车;小米汽车;特斯拉概念;充电桩;无人机;储能;华为概念;燃料电池;机器人概念;低空经济;长安汽车概念;人民币贬值受益;海峡两岸;一带一路;深股通;融资融券,21,002536,33
603777.SH,腾讯概念;人工智能;IP经济(谷子经济);智能物流;白酒概念;融资融券,6,603777,17
920378.BJ,专精特新;机器人概念;特斯拉概念;新能源汽车;融资融券,5,920378,151
600410.SH,云计算;华为鲲鹏;东数西算(算力);网络安全;信创;智慧政务;AI智能体;腾讯概念;阿里巴巴概念;抖音概念(字节概念);百度概念;数据要素;AIGC概念;数据中心;区块链;元宇宙;时空大数据;华为概念;军工;在线教育;芯片概念;智慧城市;DeepSeek概念;安防;人工智能;工业互联网;无线耳机;京津冀一体化;创投;AI应用;一带一路;沪股通;融资融券,33,600410,17
600051.SH,物业管理;共同富裕示范区;跨境电商;旅游概念;航运概念;绿色电力;煤炭概念,7,600051,17
688603.SH,先进封装;PCB概念;芯片概念;沪股通;融资融券,5,688603,17
002635.SZ,柔性屏(折叠屏);苹果概念;同花顺果指数;MiniLED;MR(混合现实);消费电子概念;OLED;汽车电子;无线充电;智能穿戴;5G;智能音箱;无线耳机;小米概念;传感器;虚拟现实;新能源汽车;特斯拉概念;高压快充;华为概念;智能家居;机器人概念;无人机;充电桩;海峡两岸;长三角一体化;储能;人民币贬值受益;元宇宙;燃料电池;一带一路;氢能源;深股通;融资融券,34,002635,33
688300.SH,存储芯片;先进封装;芯片概念;专精特新;沪股通;融资融券,6,688300,17
603931.SH,光刻胶;OLED;芯片概念;沪股通,4,603931,17
301045.SZ,小米概念;华为概念;融资融券,3,301045,33
301055.SZ,2025年报预增;露营经济;AI智能体;物联网;DeepSeek概念;家用电器;跨境电商;NFT概念;IP经济(谷子经济);超级品牌;融资融券,11,301055,33
920092.BJ,AI应用;专精特新;云计算;无人驾驶;信创;人工智能;融资融券;车联网(车路协同);华为概念;互联网金融;机器视觉;数据要素;工业互联网;华为盘古;碳中和;财税数字化;华为鲲鹏;物联网;算力租赁;新型工业化;智慧城市;无人机;数字孪生;机器人概念;数据安全;独角兽概念;智慧政务;AIGC概念;东数西算(算力);DeepSeek概念,30,920092,151
920099.BJ,中俄贸易概念;环氧丙烷;一带一路;可降解塑料;专精特新;融资融券,6,920099,151
920111.BJ,共同富裕示范区;专精特新;融资融券;新能源汽车,4,920111,151
920262.BJ,数据要素;IP经济(谷子经济);跨境电商;网红经济;三胎概念;融资融券,6,920262,151
920806.BJ,车联网(车路协同);毫米波雷达;机器视觉;数据要素;新型城镇化;百度概念;融资融券;机器人概念;智慧城市;ETC;国企改革;京津冀一体化;低空经济,13,920806,151
688182.SH,6G概念;WiFi 6;5G;芯片概念;国家大基金持股;华为概念;卫星导航;专精特新;2025年报预增;商业航天;新能源汽车;智能电网;沪股通;融资融券,14,688182,17
920118.BJ,储能;柔性直流输电;智能电网;新能源汽车;光伏概念;工业互联网;专精特新;融资融券,8,920118,151
920703.BJ,专精特新;融资融券;京津冀一体化;核电,4,920703,151
301200.SZ,PCB概念;先进封装;工业母机;2025年报预增;高端装备;深股通;融资融券,7,301200,33
603823.SH,PEEK材料;钠离子电池;光刻胶;沪股通,4,603823,17
300669.SZ,专精特新;深股通,2,300669,33
300323.SZ,MicroLED概念;MiniLED;AI眼镜;第三代半导体;智能穿戴;消费电子概念;华为概念;汽车电子;虚拟现实;芯片概念;国企改革;深股通;融资融券,13,300323,33
603991.SH,存储芯片;先进封装;芯片概念;5G;机器视觉;华为概念;核电;股权转让(并购重组),8,603991,17
002792.SZ,6G概念;卫星导航;商业航天;数字乡村;铜缆高速连接;F5G概念;低空经济;WiFi 6;5G;人工智能;毫米波雷达;华为概念;共封装光学(CPO);无人驾驶;换电概念;一带一路;消费电子概念;粤港澳大湾区;储能;虚拟电厂;汽车电子;华为汽车;中俄贸易概念;乡村振兴;深股通;融资融券,26,002792,33
603301.SH,医药电商;医疗器械概念;人民币贬值受益;跨境电商;沪股通;融资融券,6,603301,17
301217.SZ,PCB概念;PET铜箔;5G;宁德时代概念;固态电池;锂电池概念;比亚迪概念;储能;国企改革;深股通;融资融券,11,301217,33
300726.SZ,芯片概念;5G;传感器;超级电容;华为海思概念股;大飞机;商业航天;军工;海工装备;华为概念;深股通;融资融券,12,300726,33
300633.SZ,宠物经济;医疗器械概念;智能医疗;中俄贸易概念;融资融券;深股通,6,300633,33
000004.SZ,ST板块;手机游戏;人脸识别;互联网金融;人工智能;鸿蒙概念;粤港澳大湾区;抖音概念(字节概念);云计算;数据安全;网络安全;车联网(车路协同);信创;物联网;工业互联网;华为概念;储能;电力物联网;东数西算(算力);5G,20,000004,33
300585.SZ,减速器;比亚迪概念;军工;传感器;小米汽车;专精特新;汽车电子;长安汽车概念;小米概念;机器人概念;新能源汽车;锂电池概念;钙钛矿电池,13,300585,33
920608.BJ,乡村振兴;融资融券;专精特新;农机,4,920608,151
300246.SZ,血氧仪;智能医疗;横琴新区;智能穿戴;医疗器械概念;民营医院;三胎概念,7,300246,33
920132.BJ,跨境电商;一带一路;人民币贬值受益;融资融券;露营经济,5,920132,151
688345.SH,钠离子电池;固态电池;锂电池概念;储能;两轮车;数据中心;机器人概念;融资融券,8,688345,17
920168.BJ,高压快充;工业互联网;充电桩;新能源汽车;汽车电子;专精特新;新股与次新股;融资融券,8,920168,151
603977.SH,航空发动机;军民融合;军工信息化;军工;商业航天;无人机;民爆概念;3D打印;高铁;雅下水电概念;芯片概念;小金属概念;工业互联网;DeepSeek概念;国企改革;虚拟现实;数字经济;智慧政务;元宇宙;AI应用;沪股通,21,603977,17
600510.SH,OLED;超级电容;新型城镇化;PPP概念;一带一路;装配式建筑;创投;体育产业;参股银行;养老概念;国企改革;证金持股;沪股通;融资融券,14,600510,17
688002.SH,商业航天;毫米波雷达;军工;无人机;芯片概念;低空经济;消费电子概念;汽车电子;传感器;汽车芯片;比亚迪概念;无人驾驶;机器人概念;2025年报预增;沪股通;融资融券,16,688002,17
920159.BJ,生态农业;AI应用;合成生物;化肥;数字乡村;新股与次新股;融资融券,7,920159,151
920062.BJ,数据中心;参股银行;储能;光伏概念;专精特新;军工;智能电网;融资融券,8,920062,151
