code,所属概念数量,所属概念,market_code,股票代码
300813,5,细胞免疫治疗;医疗器械概念;食品安全;共同富裕示范区;机器人概念,33,300813.SZ
600448,7,参股银行;C2M概念;工业大麻;国企改革;人民币贬值受益;回购增持再贷款概念;融资融券,17,600448.SH
600854,4,物业管理;家用电器;超超临界发电;军民融合,17,600854.SH
301075,6,西部大开发;三胎概念;流感;仿制药一致性评价;创新药;融资融券,33,301075.SZ
301413,14,人形机器人;传感器;比亚迪概念;机器人概念;汽车芯片;新能源汽车;无人驾驶;专精特新;粤港澳大湾区;华为概念;储能;创投;深股通;融资融券,33,301413.SZ
300547,19,液冷服务器;数据中心;汽车热管理;比亚迪概念;小米汽车;新能源汽车;无人机;飞行汽车(eVTOL);华为概念;军工;成飞概念;华为汽车;储能;低空经济;军民融合;长安汽车概念;氢能源;西部大开发;深股通,33,300547.SZ
920706,8,芯片概念;工业母机;融资融券;海峡两岸;互联网金融;中俄贸易概念;专精特新;一带一路,151,920706.BJ
300209,6,跨境电商;人民币贬值受益;物联网;柔性屏(折叠屏);深股通;摘帽,33,300209.SZ
002822,17,ST板块;新型城镇化;装配式建筑;PPP概念;乡村振兴;物业管理;医疗器械概念;光伏建筑一体化;风电;粤港澳大湾区;数字货币;光伏概念;区块链;华为概念;算力租赁;数据中心;东数西算(算力),33,002822.SZ
300647,10,智慧灯杆;智慧城市;5G;消费电子概念;数据中心;跨境电商;一带一路;锂电池概念;液冷服务器;动力电池回收,33,300647.SZ
688109,19,AI眼镜;智能穿戴;华为昇腾;机器视觉;数字孪生;AI智能体;机器人概念;AIGC概念;数据要素;人工智能;无人驾驶;数字经济;DeepSeek概念;共同富裕示范区;水利;雅下水电概念;物业管理;沪股通;融资融券,17,688109.SH
600110,17,PET铜箔;PCB概念;固态电池;宁德时代概念;锂电池概念;军工;核电;无人机;比亚迪概念;特斯拉概念;储能;新能源汽车;粤港澳大湾区;绿色电力;融资融券;股权转让(并购重组);沪股通,17,600110.SH
688595,18,MCU芯片;汽车芯片;星闪概念;AI PC;AI眼镜;小米概念;芯片概念;消费电子概念;传感器;物联网;华为概念;无人机;专精特新;机器人概念;鸿蒙概念;锂电池概念;沪股通;融资融券,17,688595.SH
301011,7,IP经济(谷子经济);电子竞技;元宇宙;虚拟现实;粤港澳大湾区;海峡两岸;融资融券,33,301011.SZ
688351,5,医疗器械概念;专精特新;智能医疗;沪股通;融资融券,17,688351.SH
605507,5,合成生物;流感;宠物经济;幽门螺杆菌概念;沪股通,17,605507.SH
688701,4,土壤修复;污水处理;固废处理;融资融券,17,688701.SH
300693,13,高压快充;虚拟电厂;宁德时代概念;储能;数据中心;充电桩;换电概念;锂电池概念;新能源汽车;专精特新;比亚迪概念;深股通;融资融券,33,300693.SZ
300400,16,先进封装;富士康概念;PCB概念;OLED;第三代半导体;MicroLED概念;MiniLED;柔性屏(折叠屏);芯片概念;消费电子概念;比亚迪概念;新型工业化;机器视觉;华为概念;人工智能;深股通,33,300400.SZ
688357,8,污水处理;专精特新;氢能源;一带一路;净水概念;核污染防治;股权转让(并购重组);融资融券,17,688357.SH
002132,7,硅能源;有机硅概念;黄金概念;光伏概念;特高压;深股通;融资融券,33,002132.SZ
301022,13,PEEK材料;华为汽车;人形机器人;小米汽车;新能源汽车;比亚迪概念;机器人概念;小米概念;人民币贬值受益;储能;2025年报预增;无人驾驶;融资融券,33,301022.SZ
001212,8,有机硅概念;先进封装;芯片概念;装配式建筑;回购增持再贷款概念;粤港澳大湾区;深股通;股权转让(并购重组),33,001212.SZ
000988,62,共封装光学(CPO);F5G概念;铜缆高速连接;PCB概念;先进封装;5G;苹果概念;高压快充;第三代半导体;6G概念;芯片概念;MicroLED概念;工业母机;充电桩;汽车电子;宁德时代概念;柔性屏(折叠屏);储能;锂电池概念;高端装备;氢能源;3D打印;东数西算(算力);比亚迪概念;新能源汽车;专精特新;航空发动机;量子科技;华为概念;传感器;汽车热管理;特斯拉概念;新型工业化;卫星导航;商业航天;工业互联网;农机;机器人概念;智能座舱;大飞机;钙钛矿电池;物联网;回购增持再贷款概念;华为汽车;数字孪生;乡村振兴;家用电器;长安汽车概念;智能家居;智慧城市;独角兽概念;创投;国企改革;阿里巴巴概念;腾讯概念;百度概念;AI智能体;数据要素;基因测序;深股通;融资融券;MiniLED,33,000988.SZ
688058,25,华为欧拉;华为鲲鹏;数据安全;信创;云计算;ChatGPT概念;华为昇腾;数据要素;AI智能体;鸿蒙概念;AIGC概念;阿里巴巴概念;人脸识别;算力租赁;DeepSeek概念;人工智能;智慧城市;互联网金融;跨境支付(CIPS);华为概念;机器视觉;专精特新;5G;AI应用;融资融券,17,688058.SH
688314,8,牙科医疗;医美概念;医疗器械概念;3D打印;专精特新;PEEK材料;西部大开发;融资融券,17,688314.SH
688659,7,碳中和;专精特新;人工智能;氢能源;PET铜箔;AI应用;融资融券,17,688659.SH
002166,15,禽流感;合成生物;代糖概念;工业大麻;农业种植;啤酒概念;参股银行;人民币贬值受益;回购增持再贷款概念;乡村振兴;西部大开发;专精特新;股权转让(并购重组);深股通;融资融券,33,002166.SZ
301119,3,新能源汽车;比亚迪概念;融资融券,33,301119.SZ
002709,15,钠离子电池;氟化工概念;固态电池;动力电池回收;宁德时代概念;锂电池概念;有机硅概念;2025年报预增;特斯拉概念;比亚迪概念;PEEK材料;同花顺漂亮100;回购增持再贷款概念;深股通;融资融券,33,002709.SZ
300983,2,新型城镇化;融资融券,33,300983.SZ
002719,3,乳业;新疆振兴;西部大开发,33,002719.SZ
002865,9,BC电池;钙钛矿电池;TOPCON电池;商业航天;光伏概念;海南自贸区;新能源汽车;融资融券;深股通,33,002865.SZ
688004,14,文化传媒概念;在线教育;AIGC概念;多模态AI;华为鲲鹏;数据安全;数据要素;信创;网络安全;人工智能;数字孪生;华为概念;回购增持再贷款概念;融资融券,17,688004.SH
002715,4,创投;比亚迪概念;新能源汽车;黄金概念,33,002715.SZ
301086,18,富士康概念;液冷服务器;苹果概念;消费电子概念;工业母机;华为数字能源;新能源汽车;汽车热管理;专精特新;新型工业化;储能;锂电池概念;机器人概念;华为概念;虚拟现实;回购增持再贷款概念;深股通;融资融券,33,301086.SZ
301272,8,烟草;空气能热泵;农机;汽车热管理;专精特新;冷链物流;中俄贸易概念;融资融券,33,301272.SZ
002159,9,冰雪产业;旅游概念;露营经济;IP经济(谷子经济);文化传媒概念;特色小镇;体育产业;参股券商;国企改革,33,002159.SZ
688233,6,存储芯片;芯片概念;2025年报预增;专精特新;沪股通;融资融券,17,688233.SH
001283,23,两轮车;智能穿戴;AI眼镜;新型烟草(电子烟);小米概念;机器人概念;消费电子概念;2025年报预增;比亚迪概念;钠离子电池;人形机器人;固态电池;粤港澳大湾区;新能源汽车;人民币贬值受益;锂电池概念;AI PC;动力电池回收;储能;人工智能;回购增持再贷款概念;数据中心;深股通,33,001283.SZ
002871,10,液冷服务器;军工;数据中心;军民融合;人民币贬值受益;一带一路;水利;地下管网;人工智能;俄乌冲突概念,33,002871.SZ
688521,18,汽车芯片;东数西算(算力);国家大基金持股;智能音箱;阿里巴巴概念;先进封装;MCU芯片;腾讯概念;芯片概念;虚拟现实;AI眼镜;人工智能;数字货币;物联网;无人驾驶;上海自贸区;沪股通;融资融券,17,688521.SH
688613,2,医疗器械概念;融资融券,17,688613.SH
002067,10,机器人概念;托育服务;创投;数字经济;长三角一体化;一带一路;光伏建筑一体化;绿色电力;深股通;融资融券,33,002067.SZ
000021,23,存储芯片;先进封装;第三代半导体;芯片概念;共封装光学(CPO);汽车电子;超级电容;新能源汽车;机器人概念;无人机;物联网;智能电网;人民币贬值受益;储能;智能物流;虚拟电厂;医疗器械概念;央企国企改革;区块链;数字经济;国企改革;深股通;融资融券,33,000021.SZ
920357,6,新能源汽车;融资融券;消费电子概念;汽车电子;专精特新;PCB概念,151,920357.BJ
002511,5,三胎概念;IP经济(谷子经济);2025年报预增;深股通;融资融券,33,002511.SZ
920662,12,风电;燃料电池;融资融券;液冷服务器;海工装备;新能源汽车;数据中心;氢能源;军民融合;充电桩;储能;专精特新,151,920662.BJ
688510,9,航空发动机;大飞机;无人机;专精特新;绿色电力;人民币贬值受益;医疗器械概念;沪股通;融资融券,17,688510.SH
920002,4,融资融券;机器人概念;人形机器人;专精特新,151,920002.BJ
000426,11,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;金属钴;俄乌冲突概念;西部大开发;深股通;融资融券,33,000426.SZ
002896,9,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;长三角一体化;共同富裕示范区;融资融券;深股通,33,002896.SZ
688197,3,创新药;沪股通;融资融券,17,688197.SH
301306,10,商业航天;卫星导航;大飞机;军民融合;军工;华为概念;专精特新;西部大开发;存储芯片;融资融券,33,301306.SZ
603881,14,算力租赁;云计算;腾讯概念;国资云;阿里巴巴概念;中国AI 50;百度概念;东数西算(算力);蚂蚁集团概念;数据中心;液冷服务器;国企改革;沪股通;融资融券,17,603881.SH
300930,11,锂电池概念;风电;3D打印;宁德时代概念;专精特新;柔性屏(折叠屏);海工装备;抽水蓄能;金属回收;共同富裕示范区;融资融券,33,300930.SZ
688018,17,MCU芯片;中国AI 50;星闪概念;WiFi 6;小米概念;芯片概念;语音技术;抖音概念(字节概念);AI智能体;物联网;机器人概念;人工智能;智能家居;数字经济;上海自贸区;沪股通;融资融券,17,688018.SH
300789,22,车联网(车路协同);机器视觉;职业教育;智慧城市;新型工业化;机器人概念;物联网;人工智能;虚拟现实;DeepSeek概念;AI智能体;无人机;专精特新;多模态AI;高铁;高端装备;一带一路;西部大开发;智能电网;雅下水电概念;钒电池;小金属概念,33,300789.SZ
301231,14,文化传媒概念;ChatGPT概念;在线教育;AI智能体;IP经济(谷子经济);阿里巴巴概念;DeepSeek概念;人工智能;跨境电商;AI应用;三胎概念;西部大开发;回购增持再贷款概念;融资融券,33,301231.SZ
688359,7,PET铜箔;PCB概念;光伏概念;TOPCON电池;HJT电池;沪股通;融资融券,17,688359.SH
688382,3,创新药;沪股通;融资融券,17,688382.SH
002799,13,文化传媒概念;虚拟数字人;快手概念;腾讯概念;抖音概念(字节概念);区块链;百度概念;ChatGPT概念;数字经济;阿里巴巴概念;智能物流;西部大开发;国企改革,33,002799.SZ
301512,15,新型工业化;机器人概念;富士康概念;苹果概念;机器视觉;消费电子概念;高端装备;锂电池概念;智能穿戴;虚拟现实;空间计算;PCB概念;人工智能;数字经济;融资融券,33,301512.SZ
301356,4,人民币贬值受益;3D打印;参股银行;融资融券,33,301356.SZ
605376,11,金属镍;小金属概念;硅能源;光伏概念;3D打印;锂电池概念;2025年报预增;人民币贬值受益;专精特新;融资融券;沪股通,17,605376.SH
002734,13,消毒剂;合成生物;乡村振兴;2025年报预增;2025三季报预增;碳中和;锂电池概念;创投;工业互联网;人工智能;固态电池;深股通;融资融券,33,002734.SZ
300784,8,物联网;IP经济(谷子经济);专精特新;消费电子概念;三胎概念;机器人概念;旅游概念;融资融券,33,300784.SZ
001319,14,汽车热管理;人形机器人;华为汽车;特斯拉概念;新能源汽车;比亚迪概念;一体化压铸;机器人概念;飞行汽车(eVTOL);粤港澳大湾区;储能;低空经济;中俄贸易概念;一带一路,33,001319.SZ
600520,6,股权转让(并购重组);先进封装;芯片概念;机器人概念;国企改革;沪股通,17,600520.SH
301287,15,足球概念;跨境电商;体育产业;养老概念;人民币贬值受益;参股银行;一带一路;冰雪产业;物联网;人工智能;消费电子概念;DeepSeek概念;AIGC概念;AI智能体;融资融券,33,301287.SZ
000559,19,人形机器人;机器人概念;无人机;低空经济;小米概念;工业互联网;小米汽车;比亚迪概念;军工;汽车电子;新能源汽车;MCU芯片;储能;锂电池概念;固态电池;绿色电力;深股通;融资融券;股权转让(并购重组),33,000559.SZ
301097,3,三胎概念;医疗器械概念;融资融券,33,301097.SZ
688449,5,存储芯片;汽车芯片;芯片概念;沪股通;融资融券,17,688449.SH
301113,5,露营经济;跨境电商;人民币贬值受益;创投;融资融券,33,301113.SZ
301329,10,商业航天;卫星导航;海峡两岸;5G;消费电子概念;光纤概念;新能源汽车;光伏概念;储能;融资融券,33,301329.SZ
301616,9,注册制次新股;专精特新;机器人概念;高端装备;2025年报预增;可降解塑料;参股银行;新股与次新股;融资融券,33,301616.SZ
300424,11,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;低空经济;传感器;虚拟现实;人民币贬值受益;股权转让(并购重组),33,300424.SZ
688716,11,PEEK材料;人形机器人;新能源汽车;3D打印;机器人概念;碳纤维;专精特新;大飞机;商业航天;医疗器械概念;融资融券,17,688716.SH
002295,6,金属铜;数字经济;虚拟电厂;国企改革;储能;股权转让(并购重组),33,002295.SZ
603239,8,华为汽车;长安汽车概念;人形机器人;比亚迪概念;新能源汽车;机器人概念;回购增持再贷款概念;国企改革,17,603239.SH
300308,15,共封装光学(CPO);F5G概念;液冷服务器;中国AI 50;汽车电子;5G;芯片概念;深股通;同花顺新质50;数据中心;2025年报预增;无人驾驶;人民币贬值受益;创投;融资融券,33,300308.SZ
300126,1,人民币贬值受益,33,300126.SZ
301186,13,华为汽车;长安汽车概念;小米汽车;特斯拉概念;新能源汽车;换电概念;机器人概念;比亚迪概念;专精特新;小米概念;储能;锂电池概念;融资融券,33,301186.SZ
688409,7,光刻机;芯片概念;专精特新;回购增持再贷款概念;DeepSeek概念;沪股通;融资融券,17,688409.SH
301112,23,一体化压铸;新型工业化;机器视觉;长安汽车概念;机器人概念;比亚迪概念;新能源汽车;智能物流;工业互联网;汽车电子;粤港澳大湾区;无人机;MCU芯片;芯片概念;人民币贬值受益;军工;高端装备;汽车芯片;储能;航空发动机;光伏概念;股权转让(并购重组);融资融券,33,301112.SZ
301290,4,医疗器械概念;血氧仪;重组蛋白;融资融券,33,301290.SZ
001300,5,足球概念;跨境电商;人民币贬值受益;体育产业;回购增持再贷款概念,33,001300.SZ
688603,5,先进封装;PCB概念;芯片概念;沪股通;融资融券,17,688603.SH
300585,13,钙钛矿电池;小米汽车;军工;长安汽车概念;传感器;比亚迪概念;专精特新;机器人概念;小米概念;减速器;新能源汽车;汽车电子;锂电池概念,33,300585.SZ
300501,3,锂电池概念;固态电池;回购增持再贷款概念,33,300501.SZ
002850,13,减速器;PEEK材料;人形机器人;特斯拉概念;比亚迪概念;新能源汽车;机器人概念;宁德时代概念;固态电池;储能;锂电池概念;深股通;融资融券,33,002850.SZ
300904,7,减速器;风电;新能源汽车;绿色电力;海工装备;西部大开发;融资融券,33,300904.SZ
002675,9,阿尔茨海默概念;细胞免疫治疗;仿制药一致性评价;创新药;幽门螺杆菌概念;CRO概念;专精特新;深股通;融资融券,33,002675.SZ
002364,27,中国AI 50;数据中心;5G;阿里巴巴概念;核电;智能电网;百度概念;海工装备;高压快充;腾讯概念;华为概念;特高压;工业互联网;虚拟电厂;储能;风电;数字孪生;拼多多概念;换电概念;充电桩;新能源汽车;水利;碳中和;两轮车;东数西算(算力);深股通;融资融券,33,002364.SZ
688261,17,芯片概念;5G;液冷服务器;第三代半导体;东数西算(算力);人形机器人;数据中心;专精特新;机器人概念;比亚迪概念;新能源汽车;高压快充;光伏概念;充电桩;储能;沪股通;融资融券,17,688261.SH
301366,28,华为海思概念股;智能座舱;汽车电子;英伟达概念;脑机接口;PCB概念;5G;苹果概念;芯片概念;人形机器人;无人驾驶;机器人概念;比亚迪概念;飞行汽车(eVTOL);华为概念;无人机;车联网(车路协同);数据中心;专精特新;东数西算(算力);低空经济;百度概念;人工智能;商业航天;腾讯概念;阿里巴巴概念;深股通;融资融券,33,301366.SZ
001296,6,3D打印;军工;西部大开发;长安汽车概念;固废处理;页岩气,33,001296.SZ
301631,12,人形机器人;新能源汽车;华为汽车;低空经济;粤港澳大湾区;数据中心;宁德时代概念;储能;锂电池概念;固态电池;深股通;融资融券,33,301631.SZ
301029,21,人形机器人;工业母机;新型工业化;减速器;传感器;机器视觉;PEEK材料;芯片概念;机器人概念;3D打印;华为概念;PCB概念;高端装备;共封装光学(CPO);光伏概念;粤港澳大湾区;智能电网;锂电池概念;跨境电商;深股通;融资融券,33,301029.SZ
688153,20,星闪概念;WiFi 6;汽车芯片;卫星导航;芯片概念;5G;小米概念;消费电子概念;无人机;低空经济;汽车电子;机器人概念;专精特新;比亚迪概念;新能源汽车;人民币贬值受益;京津冀一体化;回购增持再贷款概念;沪股通;融资融券,17,688153.SH
002833,9,粤港澳大湾区;新型工业化;减速器;机器人概念;新能源汽车;专精特新;DeepSeek概念;高端装备;深股通,33,002833.SZ
603897,7,一带一路;新能源汽车;比亚迪概念;工业互联网;机器人概念;沪股通;融资融券,17,603897.SH
300440,15,数字孪生;高铁;专精特新;机器人概念;军工;职业教育;无人驾驶;人工智能;虚拟现实;智能物流;2025年报预增;储能;AI智能体;西部大开发;深股通,33,300440.SZ
688093,9,苹果概念;OLED;消费电子概念;新能源汽车;专精特新;回购增持再贷款概念;华为概念;沪股通;融资融券,17,688093.SH
001373,10,独角兽概念;海峡两岸;华为概念;智能穿戴;人民币贬值受益;消费电子概念;新能源汽车;MiniLED;OLED;融资融券,33,001373.SZ
688165,16,减速器;人形机器人;新型工业化;机器视觉;机器人概念;新能源汽车;工业互联网;人工智能;华为概念;专精特新;富士康概念;光伏概念;氢能源;国企改革;沪股通;融资融券,17,688165.SH
002635,34,MiniLED;柔性屏(折叠屏);汽车电子;消费电子概念;智能穿戴;小米概念;无线耳机;智能家居;传感器;新能源汽车;苹果概念;MR(混合现实);机器人概念;OLED;5G;特斯拉概念;无线充电;智能音箱;充电桩;人民币贬值受益;虚拟现实;华为概念;高压快充;储能;无人机;同花顺果指数;长三角一体化;海峡两岸;燃料电池;一带一路;元宇宙;氢能源;深股通;融资融券,33,002635.SZ
688592,14,卫星导航;商业航天;车联网(车路协同);无人机;低空经济;腾讯概念;物联网;无人驾驶;芯片概念;专精特新;机器人概念;农机;乡村振兴;融资融券,17,688592.SH
301115,16,土壤修复;新型城镇化;碳中和;一带一路;水利;家用电器;房屋检测;高铁;食品安全;光伏概念;数字孪生;智慧城市;传感器;芯片概念;特斯拉概念;融资融券,33,301115.SZ
002730,15,军工;3D打印;物联网;工业互联网;机器人概念;东数西算(算力);数据中心;卫星导航;华为概念;新能源汽车;电力物联网;人工智能;算力租赁;鸿蒙概念;深股通,33,002730.SZ
603516,14,同花顺新质50;液冷服务器;MR(混合现实);军工信息化;芯片概念;华为概念;星闪概念;虚拟现实;安防;人工智能;智慧城市;2025年报预增;融资融券;沪股通,17,603516.SH
000608,6,物业管理;ST板块;粤港澳大湾区;租售同权;西部大开发;股权转让(并购重组),33,000608.SZ
688809,9,科创次新股;存储芯片;芯片概念;注册制次新股;华为概念;2025年报预增;长三角一体化;新股与次新股;融资融券,17,688809.SH
002380,25,核电;电力物联网;智能电网;虚拟电厂;光热发电;超超临界发电;工业互联网;新型工业化;华为概念;信创;储能;机器视觉;AI智能体;人工智能;专精特新;智慧城市;数据要素;机器人概念;数字经济;传感器;碳中和;一带一路;垃圾分类;AI应用;深股通,33,002380.SZ
002886,32,PEEK材料;3D打印;新型烟草(电子烟);富士康概念;毫米波雷达;特斯拉概念;PCB概念;碳纤维;小米汽车;先进封装;人形机器人;专精特新;小米概念;新能源汽车;芯片概念;无人机;机器人概念;华为汽车;5G;低空经济;光伏概念;军工;商业航天;6G概念;石墨烯;2025年报预增;华为概念;粤港澳大湾区;核电;特高压;合成生物;深股通,33,002886.SZ
603606,8,柔性直流输电;风电;海工装备;高端装备;工业互联网;参股券商;沪股通;融资融券,17,603606.SH
688653,15,星闪概念;智能音箱;WiFi 6;芯片概念;物联网;智能座舱;车联网(车路协同);专精特新;无人机;智能家居;上海自贸区;低空经济;沪股通;股权转让(并购重组);融资融券,17,688653.SH
001221,6,注册制次新股;粤港澳大湾区;跨境电商;深股通;新股与次新股;融资融券,33,001221.SZ
688338,3,医疗器械概念;专精特新;融资融券,17,688338.SH
603409,5,华为汽车;新能源汽车;专精特新;比亚迪概念;融资融券,17,603409.SH
600499,15,盐湖提锂;宁德时代概念;锂电池概念;人民币贬值受益;新型工业化;光伏建筑一体化;同花顺出海50;高端装备;储能;机器人概念;一带一路;海工装备;充电桩;沪股通;融资融券,17,600499.SH
300473,15,长安汽车概念;新能源汽车;比亚迪概念;人民币贬值受益;传感器;华为汽车;汽车热管理;燃料电池;锂电池概念;汽车电子;华为概念;固态电池;氢能源;2025年报预增;股权转让(并购重组),33,300473.SZ
601058,10,同花顺出海50;回购增持再贷款概念;人民币贬值受益;长安汽车概念;小米汽车;比亚迪概念;小米概念;沪股通;DeepSeek概念;融资融券,17,601058.SH
300549,9,减速器;长安汽车概念;家用电器;机器人概念;比亚迪概念;特斯拉概念;新能源汽车;海峡两岸;医疗器械概念,33,300549.SZ
300563,23,EDR概念;WiFi 6;铜缆高速连接;苹果概念;消费电子概念;5G;汽车电子;芯片概念;虚拟现实;华为概念;无人机;钙钛矿电池;新能源汽车;军工;专精特新;商业航天;光伏概念;卫星导航;医疗器械概念;军工信息化;数字经济;深股通;融资融券,33,300563.SZ
300020,24,智慧城市;东数西算(算力);智慧政务;ST板块;华为鲲鹏;元宇宙;数字孪生;人工智能;数字经济;数据要素;数字乡村;区块链;百度概念;华为概念;阿里巴巴概念;ETC;车联网(车路协同);创投;智能医疗;数据中心;家庭医生;共同富裕示范区;机器人概念;无人驾驶,33,300020.SZ
301192,3,新能源汽车;专精特新;融资融券,33,301192.SZ
600684,13,冰雪产业;物业管理;体育产业;养老概念;家庭医生;三胎概念;土壤修复;智慧城市;国企改革;粤港澳大湾区;2025年报预增;AI应用;融资融券,17,600684.SH
603267,10,商业航天;卫星导航;军工;芯片概念;汽车电子;共封装光学(CPO);专精特新;京津冀一体化;融资融券;沪股通,17,603267.SH
301528,10,新能源汽车;比亚迪概念;成飞概念;专精特新;芯片概念;商业航天;卫星导航;粤港澳大湾区;核电;融资融券,33,301528.SZ
688456,19,商业航天;卫星导航;航空发动机;军民融合;军工;3D打印;芯片概念;华为昇腾;机器人概念;BC电池;PCB概念;华为概念;光伏概念;先进封装;数据中心;央企国企改革;国企改革;金属镍;融资融券,17,688456.SH
603890,18,富士康概念;AI PC;AI眼镜;汽车电子;消费电子概念;5G;小米汽车;比亚迪概念;人形机器人;特斯拉概念;新能源汽车;华为汽车;F5G概念;机器人概念;华为概念;人民币贬值受益;沪股通;融资融券,17,603890.SH
002062,12,人形机器人;储能;新型城镇化;光伏概念;水利;PPP概念;地下管网;回购增持再贷款概念;绿色电力;雅下水电概念;深股通;融资融券,33,002062.SZ
301448,5,专精特新;人民币贬值受益;锂电池概念;跨境电商;融资融券,33,301448.SZ
688283,10,卫星导航;商业航天;军工信息化;军民融合;军工;5G;车联网(车路协同);专精特新;西部大开发;融资融券,17,688283.SH
688302,4,创新药;西部大开发;沪股通;融资融券,17,688302.SH
300776,15,BC电池;MicroLED概念;钙钛矿电池;HJT电池;TOPCON电池;第三代半导体;先进封装;OLED;MiniLED;芯片概念;光伏概念;消费电子概念;PCB概念;融资融券;深股通,33,300776.SZ
301516,19,换电概念;充电桩;高压快充;储能;粤港澳大湾区;新型工业化;光伏概念;新能源汽车;两轮车;燃料电池;比亚迪概念;低空经济;氢能源;核电;5G;国企改革;深股通;中字头股票;融资融券,33,301516.SZ
300489,13,第三代半导体;核电;新能源汽车;核污染防治;军工;先进封装;低空经济;无人机;无人驾驶;氢能源;黑龙江自贸区;中俄贸易概念;深股通,33,300489.SZ
688515,16,汽车芯片;芯片概念;铜缆高速连接;智能座舱;小米概念;人形机器人;无人驾驶;比亚迪概念;数据中心;机器人概念;车联网(车路协同);华为概念;工业互联网;信创;沪股通;融资融券,17,688515.SH
688531,18,PCB概念;液冷服务器;芯片概念;宁德时代概念;比亚迪概念;专精特新;特斯拉概念;储能;固态电池;锂电池概念;一体化压铸;高端装备;人工智能;回购增持再贷款概念;食品安全;商业航天;沪股通;融资融券,17,688531.SH
300316,15,BC电池;TOPCON电池;光伏概念;第三代半导体;培育钻石;先进封装;芯片概念;新型工业化;AI眼镜;消费电子概念;存储芯片;智能物流;数字经济;深股通;融资融券,33,300316.SZ
301526,17,PCB概念;华为手机;特高压;5G;消费电子概念;汽车电子;光伏概念;风电;一带一路;华为概念;工业互联网;绿色电力;西部大开发;国企改革;数字经济;深股通;融资融券,33,301526.SZ
688339,7,燃料电池;氢能源;专精特新;京津冀一体化;股权转让(并购重组);沪股通;融资融券,17,688339.SH
688578,4,创新药;2025年报预增;沪股通;融资融券,17,688578.SH
603380,9,汽车电子;5G;消费电子概念;新能源汽车;机器人概念;数据中心;独角兽概念;医疗器械概念;沪股通,17,603380.SH
688559,24,BC电池;富士康概念;钙钛矿电池;TOPCON电池;第三代半导体;MicroLED概念;PCB概念;苹果概念;电子纸;3D打印;固态电池;比亚迪概念;光伏概念;宁德时代概念;飞行汽车(eVTOL);特斯拉概念;新型工业化;华为概念;锂电池概念;新能源汽车;医疗器械概念;医美概念;沪股通;融资融券,17,688559.SH
000609,5,ST板块;互联网金融;创投;高铁;股权转让(并购重组),33,000609.SZ
000636,26,小金属概念;超级电容;共封装光学(CPO);商业航天;无人机;5G;高压快充;AI眼镜;汽车电子;卫星导航;光伏概念;传感器;锂电池概念;液冷服务器;比亚迪概念;低空经济;智能穿戴;储能;机器人概念;国企改革;粤港澳大湾区;华为概念;创投;东数西算(算力);深股通;融资融券,33,000636.SZ
688299,11,专精特新;比亚迪概念;华为概念;固态电池;锂电池概念;MiniLED;储能;DeepSeek概念;POE胶膜;沪股通;融资融券,17,688299.SH
605111,19,汽车芯片;先进封装;第三代半导体;芯片概念;汽车电子;东数西算(算力);无人机;数据中心;比亚迪概念;无人驾驶;专精特新;新能源汽车;机器人概念;低空经济;光伏概念;宁德时代概念;充电桩;融资融券;沪股通,17,605111.SH
301328,17,人形机器人;比亚迪概念;新能源汽车;机器人概念;汽车电子;储能;无人驾驶;智能座舱;毫米波雷达;低空经济;数据中心;粤港澳大湾区;光伏概念;海峡两岸;铜缆高速连接;深股通;融资融券,33,301328.SZ
688041,13,中国AI 50;东数西算(算力);阿里巴巴概念;腾讯概念;芯片概念;信创;抖音概念(字节概念);百度概念;人工智能;DeepSeek概念;同花顺中特估100;沪股通;融资融券,17,688041.SH
001306,13,减速器;人形机器人;工业母机;比亚迪概念;机器人概念;新能源汽车;专精特新;家用电器;智能家居;安防;共同富裕示范区;深股通;融资融券,33,001306.SZ
688272,12,卫星导航;量子科技;军民融合;军工;无人机;芯片概念;车联网(车路协同);无人驾驶;机器视觉;专精特新;机器人概念;融资融券,17,688272.SH
301003,2,新能源汽车;融资融券,33,301003.SZ
300227,22,成飞概念;大飞机;3D打印;新型工业化;军民融合;无人机;军工;低空经济;量子科技;5G;富士康概念;新能源汽车;华为概念;机器视觉;比亚迪概念;光纤概念;粤港澳大湾区;苹果概念;PCB概念;医美概念;宁德时代概念;股权转让(并购重组),33,300227.SZ
300910,3,人民币贬值受益;深股通;融资融券,33,300910.SZ
920526,4,融资融券;芯片概念;专精特新;PCB概念,151,920526.BJ
002869,23,ETC;长安汽车概念;智慧灯杆;车联网(车路协同);无人驾驶;智慧城市;百度概念;智能座舱;物联网;粤港澳大湾区;鸿蒙概念;数字经济;人工智能;数据要素;数字孪生;机器人概念;华为概念;汽车电子;新能源汽车;专精特新;毫米波雷达;深股通;融资融券,33,002869.SZ
002019,9,流感;维生素;肝炎概念;创新药;合成生物;光伏概念;可降解塑料;深股通;融资融券,33,002019.SZ
300485,9,肝炎概念;流感;重组蛋白;创新药;生物疫苗;辅助生殖;医疗器械概念;创投;深股通,33,300485.SZ
603338,7,高端装备;人民币贬值受益;机器人概念;一带一路;军民融合;沪股通;融资融券,17,603338.SH
