code,所属概念,股票代码,所属概念数量,market_code
603111,高铁;一带一路;高端装备;机器人概念;新能源汽车;充电桩;新型工业化;医疗器械概念;比亚迪概念;无人驾驶;工业互联网;工业母机;养老概念;智能医疗;沪股通,603111.SH,15,17
002116,装配式建筑;新型城镇化;啤酒概念;国企改革;央企国企改革;雄安新区;乡村振兴;建筑节能;固废处理;参股券商;土壤修复;垃圾分类;污水处理;一带一路;特色小镇;光伏建筑一体化;智能物流;机器人概念;DeepSeek概念;人工智能;动力电池回收;数据要素;固态电池;深股通;中字头股票,002116.SZ,25,33
600918,期货概念;国企改革;沪股通;融资融券,600918.SH,4,17
601512,2025年报预增;新型城镇化;污水处理;参股券商;创投;国企改革;一带一路;绿色电力;长三角一体化;充电桩;光伏概念;沪股通,601512.SH,12,17
600121,煤炭概念;国企改革;机器人概念;工业互联网;安防;东数西算(算力);DeepSeek概念;数据要素;信创;沪股通;融资融券,600121.SH,11,17
002673,期货概念;国企改革;西部大开发;深股通;融资融券,002673.SZ,5,33
000823,PCB概念;共封装光学(CPO);苹果概念;毫米波雷达;5G;汽车电子;消费电子概念;AI眼镜;比亚迪概念;无人机;传感器;东数西算(算力);虚拟现实;无人驾驶;卫星导航;商业航天;国企改革;深股通;融资融券;证金持股,000823.SZ,20,33
600255,金属铜;回购增持再贷款概念;国企改革;铜缆高速连接;消费电子概念;沪股通;融资融券,600255.SH,7,17
600305,超级品牌;国企改革;沪股通;融资融券,600305.SH,4,17
001234,体育产业;三胎概念;长三角一体化;国企改革;股权转让(并购重组),001234.SZ,5,33
603721,ST板块;知识产权保护;旅游概念;文化传媒概念;短剧游戏;虚拟现实;数据确权;体育产业;职业教育;NFT概念;抖音概念(字节概念);腾讯概念;区块链;网红经济;Sora概念(文生视频);数据要素;AI语料;快手概念;小红书概念;国企改革;AI应用,603721.SH,21,22
000913,共同富裕示范区;冰雪产业;两轮车;高股息精选;中俄贸易概念;创投;新能源汽车;锂电池概念;融资融券;深股通,000913.SZ,10,33
600085,超级品牌;证金持股;医药电商;流感;国企改革;智能医疗;沪股通;融资融券;DeepSeek概念,600085.SH,9,17
300599,地下管网;水利;粤港澳大湾区;石墨烯,300599.SZ,4,33
603325,专精特新;新型工业化;沪股通;融资融券,603325.SH,4,17
002321,养鸡;土地流转;农村电商;预制菜;乡村振兴;食品安全;区块链;深股通,002321.SZ,8,33
000739,流感;减肥药;创新药;CRO概念;仿制药一致性评价;合成生物;宠物经济;医美概念;养老概念;共同富裕示范区;深股通;融资融券;AIGC概念;AI智能体;工业互联网,000739.SZ,15,33
600373,文化传媒概念;短剧游戏;手机游戏;网络游戏;在线教育;Sora概念(文生视频);IP经济(谷子经济);AIGC概念;数字经济;虚拟现实;国企改革;AI应用;沪股通;融资融券,600373.SH,14,17
300472,体育产业;ST板块;冰雪产业;算力租赁;区块链;智慧城市;东数西算(算力);工业互联网;5G;机器人概念;硅能源;数据中心;AI眼镜;光伏概念,300472.SZ,14,33
000920,污水处理;净水概念;参股银行;盐湖提锂;国企改革;西部大开发;央企国企改革;芯片概念;参股券商;深股通,000920.SZ,10,33
603213,共同富裕示范区;国企改革;消毒剂;石墨烯;氢能源;工业互联网;沪股通;股权转让(并购重组),603213.SH,8,17
920195,2025年报预增;特斯拉概念;比亚迪概念;长安汽车概念;一带一路;融资融券;新能源汽车;专精特新;人民币贬值受益,920195.BJ,9,151
603400,充电桩;注册制次新股;人民币贬值受益;储能;汽车电子;新能源汽车;消费电子概念;锂电池概念;机器人概念;智能家居;新股与次新股;融资融券,603400.SH,12,17
300600,国产航母;军民融合;军工;商业航天;海工装备;核电;机器人概念;专精特新;风电;国企改革;储能;摘帽,300600.SZ,12,33
600196,创新药;减肥药;仿制药一致性评价;流感;生物疫苗;猴痘概念;细胞免疫治疗;阿尔茨海默概念;辅助生殖;青蒿素;医美概念;民营医院;医疗器械概念;智能医疗;家庭医生;证金持股;DeepSeek概念;AI智能体;机器人概念;沪股通;融资融券,600196.SH,21,17
600165,ST板块;西部大开发;合成生物;参股银行,600165.SH,4,22
301150,PET铜箔;固态电池;宁德时代概念;PCB概念;锂电池概念;比亚迪概念;专精特新;深股通;融资融券,301150.SZ,9,33
605398,MLOps概念;AIGC概念;短剧游戏;华为鲲鹏;百度概念;腾讯概念;信创;阿里巴巴概念;数据要素;蚂蚁集团概念;数字经济;人工智能;互联网金融;华为概念;数据中心;机器人概念;长三角一体化;沪股通,605398.SH,18,17
603062,专精特新;风电;储能;碳中和;光伏概念;海工装备;沪股通;融资融券,603062.SH,8,17
002371,中芯国际概念;国家大基金持股;存储芯片;OLED;第三代半导体;芯片概念;华为海思概念股;同花顺新质50;光伏概念;锂电池概念;中国AI 50;国企改革;深股通;融资融券;同花顺漂亮100,002371.SZ,15,33
601368,污水处理;新型城镇化;国企改革;西部大开发,601368.SH,4,17
002631,石墨烯;C2M概念;长三角一体化;核污染防治;柔性屏(折叠屏);工业互联网;智能家居;融资融券,002631.SZ,8,33
300777,商业航天;军民融合;碳纤维;军工;无人机;人形机器人;专精特新;融资融券;深股通,300777.SZ,9,33
603049,注册制次新股;新能源汽车;两轮车;比亚迪概念;新股与次新股;融资融券,603049.SH,6,17
603538,肝炎概念;流感;辅助生殖;减肥药;合成生物;CRO概念;宠物经济;人民币贬值受益;沪股通;融资融券,603538.SH,10,17
603269,核电;氢能源;超超临界发电;海峡两岸;数据中心;液冷服务器;一带一路,603269.SH,7,17
002690,农机;机器人概念;机器视觉;牙科医疗;工业互联网;医疗器械概念;食品安全;人工智能;智能医疗;深股通;鸿蒙概念;融资融券,002690.SZ,12,33
002557,乳业;农业种植;深股通;融资融券;回购增持再贷款概念,002557.SZ,5,33
002840,养鸡;猪肉;预制菜;冷链物流;碳中和;回购增持再贷款概念;深股通;融资融券,002840.SZ,8,33
002329,乳业;冷链物流;生态农业;三胎概念;跨境电商;乡村振兴;西部大开发;智慧城市;绿色电力;一带一路;数字经济;光伏概念;文化传媒概念;融资融券,002329.SZ,14,33
688328,存储芯片;先进封装;OLED;第三代半导体;柔性屏(折叠屏);芯片概念;消费电子概念;MiniLED;共封装光学(CPO);电子纸;专精特新;新能源汽车;AI眼镜;MR(混合现实);小米概念;智能穿戴;新型工业化;机器视觉;机器人概念;锂电池概念;华为概念;虚拟现实;融资融券,688328.SH,23,17
920037,2025年报预增;无人机;特高压;智能电网;军工;专精特新;新股与次新股;融资融券;中俄贸易概念,920037.BJ,9,151
605123,航空发动机;大飞机;商业航天;卫星导航;可控核聚变;军工;海工装备;核电;风电;专精特新;沪股通;融资融券,605123.SH,12,17
301210,比亚迪概念;新能源汽车;宁德时代概念;传感器;小米概念;人形机器人;减速器;储能;锂电池概念;金属镍;小金属概念;深股通;融资融券,301210.SZ,13,33
000862,智能电网;风电;绿色电力;碳中和;央企国企改革;西部大开发;国企改革;深股通,000862.SZ,8,33
002037,民爆概念;新疆振兴;国企改革;一带一路;央企国企改革;汽车拆解概念;雅下水电概念;土壤修复;西部大开发;水利;芯片概念;深股通;融资融券,002037.SZ,13,33
300351,高压快充;比亚迪概念;无人机;液冷服务器;新能源汽车;储能;人形机器人;充电桩;军工;换电概念;机器人概念;华为汽车;5G;数据中心;低空经济;高铁;长安汽车概念;海工装备;商业航天;军民融合;华为概念;卫星导航;风电;锂电池概念;光纤概念;共封装光学(CPO);一带一路;共同富裕示范区;深股通;融资融券,300351.SZ,30,33
001333,共同富裕示范区;长三角一体化,001333.SZ,2,33
603458,ETC;无人驾驶;卫星导航;智慧城市;换电概念;充电桩;水利;新型城镇化;一带一路;西部大开发,603458.SH,10,17
300424,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;低空经济;传感器;虚拟现实;人民币贬值受益;股权转让(并购重组),300424.SZ,11,33
688778,钠离子电池;固态电池;宁德时代概念;锂电池概念;专精特新;氢能源;低空经济;福建自贸区;国企改革;融资融券;沪股通,688778.SH,11,17
600648,物业管理;跨境电商;国企改革;创投;自由贸易港;回购增持再贷款概念;上海自贸区;沪股通;融资融券,600648.SH,9,17
301082,可控核聚变;核电;光热发电;高压快充;储能;专精特新;页岩气;融资融券,301082.SZ,8,33
000728,证金持股;国企改革;互联网金融;深股通;融资融券,000728.SZ,5,33
002204,海工装备;核电;军工;商业航天;高端装备;风电;超超临界发电;雄安新区;机器人概念;国企改革;无人驾驶;数字孪生;深股通;融资融券,002204.SZ,14,33
600848,氢能源;上海国企改革;国企改革;自由贸易港;创投;上海自贸区;独角兽概念;融资融券;沪股通,600848.SH,9,17
300999,超级品牌;养鸡;预制菜;同花顺漂亮100;深股通;融资融券,300999.SZ,6,33
300803,互联网金融;参股券商;AI应用;融资融券;深股通,300803.SZ,5,33
603626,富士康概念;新型烟草(电子烟);AI PC;特斯拉概念;苹果概念;智能音箱;无线耳机;智能穿戴;柔性屏(折叠屏);消费电子概念;机器人概念;虚拟现实;华为概念;储能;固态电池;元宇宙;人民币贬值受益;海峡两岸;沪股通;融资融券,603626.SH,20,17
688156,污水处理;固废处理;专精特新;合成生物;融资融券,688156.SH,5,17
300481,OLED;风电;氢能源;专精特新;深股通;融资融券,300481.SZ,6,33
301611,存储芯片;光刻机;OLED;第三代半导体;芯片概念;专精特新;燃料电池;锂电池概念;医疗器械概念;深股通;融资融券,301611.SZ,11,33
600170,黄金概念;水泥概念;房屋检测;雄安新区;土壤修复;绿色电力;地下管网;PPP概念;上海国企改革;国企改革;一带一路;参股券商;碳中和;光伏建筑一体化;装配式建筑;物业管理;乡村振兴;水利;新型城镇化;DeepSeek概念;数字孪生;证金持股;核电;人工智能;数据中心;机器人概念;低空经济;融资融券;沪股通,600170.SH,29,17
603082,新型工业化;智能物流;机器人概念;人形机器人;军工;数字孪生;京津冀一体化;冷链物流;国企改革;央企国企改革;沪股通;融资融券,603082.SH,12,17
301609,柔性直流输电;特高压;智能电网;注册制次新股;充电桩;核电;储能;水利;专精特新;深股通;新股与次新股;融资融券,301609.SZ,12,33
300490,钠离子电池;固态电池;宁德时代概念;锂电池概念;光伏概念;高压快充;MiniLED;储能;比亚迪概念;换电概念;新型工业化;虚拟电厂;智能电网;光伏建筑一体化;数据中心;充电桩;机器视觉;风电;碳中和;华为概念;机器人概念;工业互联网;垃圾分类;净水概念;航空发动机;军工;绿色电力;一带一路;虚拟现实;污水处理;碳交易;国产操作系统;数字孪生;人工智能;多模态AI;华为鲲鹏;DeepSeek概念;水利;数字经济;数据要素,300490.SZ,40,33
000550,央企国企改革;国企改革;燃料电池;长安汽车概念;华为汽车;新能源汽车;智能物流;无人驾驶;车联网(车路协同);深股通;融资融券;汽车电子;百度概念,000550.SZ,13,33
300347,CRO概念;创新药;智能医疗;医疗器械概念;生物疫苗;AIGC概念;2025年报预增;深股通;融资融券,300347.SZ,9,33
601038,农机;央企国企改革;中俄贸易概念;高端装备;国企改革;乡村振兴;无人驾驶;工业互联网;沪股通;融资融券,601038.SH,10,17
603611,人形机器人;新型工业化;机器人概念;一带一路;人民币贬值受益;智能物流;宁德时代概念;无人驾驶;工业互联网;锂电池概念;物联网;统一大市场;冷链物流;互联网金融;沪股通,603611.SH,15,17
002208,长三角一体化;国企改革;创投;新型城镇化;租售同权;物业管理;独角兽概念;养老概念;深股通,002208.SZ,9,33
600234,物业管理;抖音概念(字节概念);文化传媒概念;摘帽,600234.SH,4,17
920112,比亚迪概念;阿里巴巴概念;新股与次新股;融资融券;人民币贬值受益,920112.BJ,5,151
603978,PVDF概念;氟化工概念;锂电池概念;储能;回购增持再贷款概念;一体化压铸;核电;军工;芯片概念;商业航天;融资融券,603978.SH,11,17
002099,染料;仿制药一致性评价;人民币贬值受益;创新药;减肥药;肝炎概念;生物疫苗;深股通;融资融券,002099.SZ,9,33
603939,医药电商;家庭医生;沪股通;融资融券,603939.SH,4,17
600558,可控核聚变;核电;海工装备;超超临界发电;水利;军工;西部大开发;国企改革;2025三季报预增,600558.SH,9,17
002827,民爆概念;国企改革;西部大开发;雅下水电概念;芯片概念;深股通,002827.SZ,6,33
600979,地下管网;碳交易;绿色电力;污水处理;光伏建筑一体化;碳中和;充电桩;参股银行;风电;新疆振兴;储能;西部大开发;创投;国企改革;天然气;乡村振兴;智慧城市;光伏概念;新能源汽车;液冷服务器;沪股通;融资融券,600979.SH,22,17
688326,智能座舱;无人驾驶;商业航天;毫米波雷达;车联网(车路协同);飞行汽车(eVTOL);小米汽车;低空经济;长安汽车概念;汽车电子;华为概念;比亚迪概念;机器人概念;百度概念;DeepSeek概念;虚拟现实;大飞机;新能源汽车;回购增持再贷款概念;汽车热管理;融资融券,688326.SH,21,17
688580,脑机接口;智能医疗;医美概念;医疗器械概念;养老概念;专精特新;机器人概念;三胎概念;融资融券,688580.SH,9,17
002627,特色小镇;旅游概念;统一大市场;国企改革;养老概念;NFT概念,002627.SZ,6,33
001236,期货概念;创投;国企改革;深股通,001236.SZ,4,33
600816,信托概念;参股银行;融资融券;沪股通,600816.SH,4,17
301287,足球概念;体育产业;跨境电商;人民币贬值受益;养老概念;一带一路;参股银行;物联网;消费电子概念;人工智能;冰雪产业;DeepSeek概念;AI智能体;AIGC概念;融资融券,301287.SZ,15,33
301102,小红书概念;文化传媒概念;AIGC概念;抖音概念(字节概念);数据要素;腾讯概念;数字经济;华为概念;融资融券,301102.SZ,9,33
600535,仿制药一致性评价;医药电商;创新药;肝炎概念;生物疫苗;工业大麻;智能医疗;国企改革;央企国企改革;沪股通;融资融券;股权转让(并购重组),600535.SH,12,17
301196,光纤概念;PEEK材料;消费电子概念;新能源汽车;新型烟草(电子烟);机器人概念;专精特新;储能;家用电器;海峡两岸;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,301196.SZ,17,33
601218,风电;海工装备;绿色电力;金属回收;2025年报预增;融资融券,601218.SH,6,17
301288,ST板块;新型城镇化;污水处理;粤港澳大湾区;专精特新;金属镍;金属回收,301288.SZ,7,33
600343,商业航天;军民融合;大飞机;军工;水利;高端装备;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券,600343.SH,13,17
600729,IP经济(谷子经济);互联网金融;养老概念;人工智能;证金持股;西部大开发;机器人概念;回购增持再贷款概念;小米汽车;沪股通;融资融券;黄金概念,600729.SH,12,17
603587,IP经济(谷子经济);参股券商;沪股通,603587.SH,3,17
601608,国产航母;大飞机;商业航天;海工装备;军工;核电;高端装备;光伏概念;风电;一带一路;工业互联网;减速器;机器人概念;新型工业化;国企改革;一体化压铸;人形机器人;华为概念;F5G概念;人工智能;同花顺中特估100;融资融券;沪股通;中字头股票,601608.SH,24,17
603869,ST板块;物联网;西部大开发;华为概念;智慧城市;ETC;人工智能;数字经济;DeepSeek概念;算力租赁;多模态AI,603869.SH,11,22
301491,智能家居;注册制次新股;智能穿戴;人民币贬值受益;消费电子概念;物联网;智能音箱;人工智能;深股通;新股与次新股;融资融券,301491.SZ,11,33
002885,高压快充;富士康概念;储能;充电桩;无线充电;光伏概念;数据中心;第三代半导体;比亚迪概念;5G;新能源汽车;OLED;消费电子概念;汽车电子;小米概念;华为汽车;2025年报预增;华为概念;粤港澳大湾区;融资融券,002885.SZ,20,33
603899,超级品牌;IP经济(谷子经济);智能物流;沪股通;融资融券,603899.SH,5,17
688353,钠离子电池;有机硅概念;固态电池;宁德时代概念;锂电池概念;比亚迪概念;专精特新;沪股通;融资融券,688353.SH,9,17
603202,两轮车;参股银行;新型工业化;比亚迪概念;人民币贬值受益;注册制次新股;汽车电子;智能座舱;新股与次新股;融资融券,603202.SH,10,17
600629,房屋检测;上海国企改革;装配式建筑;新型城镇化;低空经济;地下管网;水利;数字孪生;建筑节能;PPP概念;雄安新区;人工智能;创投;数字经济;乡村振兴;碳中和;一带一路;国企改革;参股券商;沪股通,600629.SH,20,17
300696,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;低空经济;3D打印;创投;西部大开发;融资融券;深股通,300696.SZ,12,33
300449,数字水印;知识产权保护;网络安全;人脸识别;车联网(车路协同);安防;AI智能体;智慧城市;人工智能;东数西算(算力);华为概念;军工;垃圾分类;股权转让(并购重组),300449.SZ,14,33
603759,绿色电力;光伏概念;储能;BC电池;污水处理;固废处理;HJT电池;TOPCON电池;生物质能发电;一带一路;PPP概念;西部大开发;回购增持再贷款概念;无人机;DeepSeek概念;金属铜;股权转让(并购重组),603759.SH,17,17
600909,期货概念;国企改革;沪股通;融资融券,600909.SH,4,17
688147,中芯国际概念;存储芯片;先进封装;第三代半导体;OLED;汽车芯片;BC电池;芯片概念;TOPCON电池;钙钛矿电池;HJT电池;光伏概念;专精特新;高端装备;回购增持再贷款概念;沪股通;融资融券,688147.SH,17,17
600805,统一大市场;国企改革;乡村振兴;垃圾分类;绿色电力;碳交易;光伏建筑一体化;碳中和;超超临界发电;氢能源;农机;风电;虚拟电厂;储能;新能源汽车;光伏概念;机器人概念;高端装备;无人驾驶;锂电池概念;时空大数据;工业母机;钠离子电池;融资融券,600805.SH,24,17
603336,农业种植;一带一路;乡村振兴;国企改革;冷链物流;股权转让(并购重组),603336.SH,6,17
688518,钙钛矿电池;固态电池;先进封装;宁德时代概念;MicroLED概念;锂电池概念;芯片概念;光伏概念;3D打印;消费电子概念;共封装光学(CPO);华为概念;储能;工业母机;新型工业化;新能源汽车;燃料电池;机器人概念;光纤概念;氢能源;沪股通;融资融券,688518.SH,22,17
688119,军工;核电;核污染防治;工业互联网;央企国企改革;国企改革;中字头股票;融资融券,688119.SH,8,17
688048,共封装光学(CPO);光纤概念;第三代半导体;可控核聚变;汽车芯片;芯片概念;数据中心;商业航天;华为概念;专精特新;无人驾驶;医美概念;沪股通;融资融券,688048.SH,14,17
301395,回购增持再贷款概念;专精特新;新能源汽车;比亚迪概念;融资融券,301395.SZ,5,33
002772,农业种植;西部大开发;乡村振兴;回购增持再贷款概念;2025年报预增,002772.SZ,5,33
300859,冰雪产业;旅游概念;西部大开发;国企改革;低空经济;飞行汽车(eVTOL);新疆振兴;深股通;股权转让(并购重组),300859.SZ,9,33
301397,液冷服务器;汽车热管理;华为汽车;比亚迪概念;新能源汽车;长安汽车概念;宁德时代概念;飞行汽车(eVTOL);燃料电池;数据中心;储能;换电概念;充电桩;低空经济;氢能源;西部大开发;深股通;融资融券,301397.SZ,18,33
600217,供销社;动力电池回收;金属回收;金属铜;固废处理;垃圾分类;西部大开发;沪股通;融资融券,600217.SH,9,17
603357,地下管网;新型城镇化;雄安新区;国企改革;水利;一带一路;智慧城市;低空经济;车联网(车路协同);人工智能;空间计算;DeepSeek概念;数据要素;量子科技;云计算;沪股通;融资融券,603357.SH,17,17
002326,钠离子电池;氟化工概念;锂电池概念;宁德时代概念;液冷服务器;仿制药一致性评价;深股通;融资融券,002326.SZ,8,33
301046,光热发电;光伏概念;智能电网;虚拟电厂;换电概念;储能;光伏建筑一体化;绿色电力;机器人概念;人形机器人;东数西算(算力);新型城镇化;融资融券,301046.SZ,13,33
601456,互联网金融;国企改革;2025年报预增;股权转让(并购重组);融资融券;沪股通,601456.SH,6,17
002571,C2M概念;光伏概念;股权转让(并购重组);新能源汽车;网络游戏;创投;一带一路;拼多多概念;参股银行,002571.SZ,9,33
002322,电力物联网;智能电网;PM2.5;特高压;数字孪生;人工智能;土壤修复;无人机;储能;虚拟现实;核电;数据要素;东数西算(算力);信创;AI应用;深股通,002322.SZ,16,33
603105,光伏建筑一体化;光伏概念;虚拟电厂;绿色电力;储能;充电桩;回购增持再贷款概念;长三角一体化;共同富裕示范区;沪股通;融资融券,603105.SH,11,17
002745,MicroLED概念;MiniLED;小米概念;机器人概念;智能家居;人工智能;粤港澳大湾区;DeepSeek概念;PCB概念;人民币贬值受益;光伏概念;储能;深股通;融资融券,002745.SZ,14,33
920564,商业航天;空间计算;西部大开发;智慧城市;融资融券;时空大数据;DeepSeek概念;数据要素;人工智能;华为昇腾;旅游概念;数字乡村;云计算;乡村振兴;华为鲲鹏;多模态AI;数字孪生,920564.BJ,17,151
002850,减速器;PEEK材料;人形机器人;特斯拉概念;比亚迪概念;新能源汽车;机器人概念;宁德时代概念;储能;固态电池;锂电池概念;深股通;融资融券,002850.SZ,13,33
000042,物业管理;粤港澳大湾区;深股通;融资融券,000042.SZ,4,33
002106,汽车电子;消费电子概念;柔性屏(折叠屏);新能源汽车;小米概念;人民币贬值受益;石墨烯;电子纸;粤港澳大湾区;海峡两岸;华为概念;绿色电力;深股通;融资融券,002106.SZ,14,33
301149,建筑节能;高铁;风电;专精特新;新能源汽车;装配式建筑;智能家居;体育产业;融资融券,301149.SZ,9,33
301026,黄金概念;小金属概念;金属回收;融资融券,301026.SZ,4,33
000801,军民融合;大飞机;卫星导航;商业航天;军工;军工信息化;低空经济;无人机;WiFi 6;同花顺新质50;华为概念;智能座舱;专精特新;人工智能;数字经济;智能家居;消费电子概念;数据要素;DeepSeek概念;智能物流;西部大开发;PCB概念;国企改革;回购增持再贷款概念;物业管理;深股通;融资融券,000801.SZ,27,33
000686,期货概念;证金持股;深股通;融资融券;2025年报预增,000686.SZ,5,33
000553,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,000553.SZ,6,33
300065,国产航母;军工信息化;商业航天;军工;云计算;数据要素;海工装备;阿里巴巴概念;东数西算(算力);人工智能;高端装备;算力租赁;腾讯概念;DeepSeek概念;京津冀一体化;机器人概念;数据中心;专精特新;传感器;风电;2025年报预增;深股通;融资融券;股权转让(并购重组),300065.SZ,24,33
002925,脑机接口;2025年报预增;智能座舱;元宇宙;虚拟现实;智能医疗;智能穿戴;AI智能体;华为概念;汽车电子;新型工业化;物联网;新型烟草(电子烟);数字孪生;机器人概念;比亚迪概念;消费电子概念;工业互联网;长安汽车概念;医疗器械概念;福建自贸区;智能家居;海峡两岸;光伏概念;人民币贬值受益;回购增持再贷款概念;融资融券;深股通,002925.SZ,28,33
300713,高压快充;换电概念;智能电网;充电桩;柔性直流输电;储能;数据中心;光伏概念;新能源汽车;智慧灯杆;比亚迪概念;军工;粤港澳大湾区;特斯拉概念;锂电池概念;PCB概念,300713.SZ,16,33
600861,职业教育;虚拟数字人;人工智能;京津冀一体化;乡村振兴;国企改革;一带一路;沪股通,600861.SH,8,17
603856,地下管网;新疆振兴;新型城镇化;水利;一带一路;乡村振兴;氢能源;抽水蓄能;军工,603856.SH,9,17
000665,短剧游戏;文化传媒概念;数据确权;在线教育;腾讯概念;国资云;元宇宙;数字乡村;AI智能体;智慧政务;数据要素;算力租赁;智慧城市;人工智能;云计算;虚拟现实;华为概念;物业管理;数据中心;5G;国企改革;深股通;融资融券,000665.SZ,23,33
688121,碳中和;融资融券,688121.SH,2,17
688517,柔性直流输电;特高压;智能电网;高压快充;充电桩;储能;高端装备;新能源汽车;回购增持再贷款概念;融资融券,688517.SH,10,17
000753,海峡两岸;地下管网;新型城镇化;垃圾分类;PPP概念;装配式建筑;污水处理;水利;充电桩;乡村振兴;光伏概念;新能源汽车;创投;低空经济;绿色电力;智慧城市;国企改革;海工装备;跨境电商;风电;数字经济;智慧政务;DeepSeek概念;深股通,000753.SZ,24,33
002312,磷化工;化肥;小金属概念;锂电池概念;农村电商;西部大开发;国企改革;乡村振兴;数字乡村;融资融券;深股通,002312.SZ,11,33
601162,期货概念;物业管理;国企改革;沪股通;融资融券,601162.SH,5,17
301218,数据安全;智慧政务;阿里巴巴概念;数据要素;网络安全;空间计算;时空大数据;DeepSeek概念;人工智能;人脸识别;卫星导航;智慧城市;智能医疗;华为概念;物联网;安防;低空经济;数据中心;机器视觉;无人机;共同富裕示范区;传感器;AI应用;机器人概念;水利;专精特新;人形机器人;智能电网;一带一路;股权转让(并购重组);融资融券,301218.SZ,31,33
605189,PEEK材料;人形机器人;机器人概念;储能;染料,605189.SH,5,17
600616,网红经济;上海国企改革;国企改革;融资融券,600616.SH,4,17
000729,啤酒概念;国企改革;乡村振兴;深股通;融资融券;2025年报预增,000729.SZ,6,33
603271,注册制次新股;钠离子电池;固态电池;宁德时代概念;储能;锂电池概念;绿色电力;PCB概念;家用电器;高铁;新能源汽车;消费电子概念;比亚迪概念;低空经济;数据中心;5G;华为概念;新股与次新股;融资融券,603271.SH,19,17
688183,共封装光学(CPO);PCB概念;5G;汽车电子;毫米波雷达;2025年报预增;2025三季报预增;华为概念;工业互联网;沪股通;融资融券,688183.SH,11,17
603063,智能电网;光伏概念;储能;抽水蓄能;风电;氢能源;粤港澳大湾区;沪股通;融资融券,603063.SH,9,17
688612,飞行汽车(eVTOL);长安汽车概念;低空经济;无线充电;新能源汽车;华为概念;粤港澳大湾区;充电桩;高压快充;回购增持再贷款概念;沪股通;融资融券,688612.SH,12,17
001270,商业航天;卫星导航;6G概念;军工信息化;军民融合;军工;第三代半导体;芯片概念;5G;专精特新;共同富裕示范区;ST板块,001270.SZ,12,33
300014,钠离子电池;固态电池;锂电池概念;新型烟草(电子烟);两轮车;储能;新能源汽车;燃料电池;盐湖提锂;智能电网;无线耳机;小米概念;氢能源;长安汽车概念;人形机器人;飞行汽车(eVTOL);机器人概念;粤港澳大湾区;脑机接口;华为概念;无人机;安防;低空经济;商业航天;同花顺漂亮100;深股通;融资融券,300014.SZ,27,33
300726,超级电容;芯片概念;华为海思概念股;5G;军工;海工装备;传感器;商业航天;大飞机;华为概念;深股通;融资融券,300726.SZ,12,33
600690,超级品牌;证金持股;同花顺漂亮100;净水概念;同花顺出海50;沪股通;融资融券;空气能热泵;家用电器;智能家居;阿里巴巴概念;工业互联网;机器人概念;物联网;华为概念;无线充电,600690.SH,16,17
301687,POE胶膜;锂电池概念;PCB概念;光伏概念;新能源汽车;比亚迪概念;苹果概念;注册制次新股;消费电子概念;专精特新;长三角一体化;海峡两岸;深股通;新股与次新股;融资融券,301687.SZ,15,33
600716,国企改革;参股券商;养老概念;融资融券,600716.SH,4,17
002824,储能;华为手机;宁德时代概念;汽车热管理;新能源汽车;比亚迪概念;消费电子概念;柔性屏(折叠屏);小米概念;华为概念;智能家居;2025年报预增;三胎概念;深股通;融资融券,002824.SZ,15,33
000736,ST板块;物业管理;参股券商;国企改革;雄安新区;西部大开发;央企国企改革,000736.SZ,7,33
000719,知识产权保护;文化传媒概念;NFT概念;在线教育;数据确权;虚拟数字人;职业教育;AIGC概念;数据要素;托育服务;数字经济;腾讯概念;人工智能;国企改革;参股银行;一带一路;AI应用;深股通;融资融券,000719.SZ,19,33
605376,小金属概念;金属镍;硅能源;光伏概念;锂电池概念;3D打印;人民币贬值受益;2025年报预增;专精特新;融资融券;沪股通,605376.SH,11,17
603658,猴痘概念;流感;基因测序;幽门螺杆菌概念;医疗器械概念;智能医疗;DeepSeek概念;人工智能;沪股通;融资融券,603658.SH,10,17
300456,太赫兹;共封装光学(CPO);光刻机;6G概念;华为海思概念股;时空大数据;5G;卫星导航;先进封装;百度概念;独角兽概念;东数西算(算力);国家大基金持股;芯片概念;数据中心;第三代半导体;华为概念;汽车电子;消费电子概念;无人驾驶;物联网;无人机;传感器;新型工业化;人民币贬值受益;京津冀一体化;创投;融资融券;深股通,300456.SZ,29,33
603866,绿色电力;沪股通;融资融券,603866.SH,3,17
603317,西部大开发;融资融券;沪股通,603317.SH,3,17
301526,PCB概念;华为手机;特高压;5G;风电;消费电子概念;光伏概念;汽车电子;一带一路;绿色电力;华为概念;西部大开发;工业互联网;国企改革;数字经济;深股通;融资融券,301526.SZ,17,33
688357,氢能源;污水处理;一带一路;核污染防治;专精特新;净水概念;股权转让(并购重组);融资融券,688357.SH,8,17
601108,期货概念;蚂蚁集团概念;国企改革;区块链;共同富裕示范区;沪股通;融资融券,601108.SH,7,17
