股票代码,所属概念数量,market_code,所属概念,code
001269.SZ,5,33,硅能源;光伏概念;西部大开发;芯片概念;深股通,001269
688058.SH,25,17,华为鲲鹏;数据要素;数据安全;AI智能体;AIGC概念;ChatGPT概念;信创;云计算;华为欧拉;鸿蒙概念;华为昇腾;人脸识别;阿里巴巴概念;人工智能;智慧城市;DeepSeek概念;算力租赁;跨境支付(CIPS);互联网金融;华为概念;机器视觉;5G;专精特新;AI应用;融资融券,688058
301017.SZ,13,33,家庭医生;医药电商;智能医疗;养老概念;医美概念;宠物经济;冷链物流;时空大数据;跨境电商;阿里巴巴概念;海峡两岸;深股通;融资融券,301017
002156.SZ,25,33,国家大基金持股;存储芯片;先进封装;汽车芯片;第三代半导体;共封装光学(CPO);芯片概念;华为海思概念股;AI PC;汽车电子;2025年报预增;消费电子概念;智能座舱;传感器;特斯拉概念;智能穿戴;比亚迪概念;毫米波雷达;同花顺新质50;人民币贬值受益;物联网;海峡两岸;创投;深股通;融资融券,002156
688012.SH,11,17,国家大基金持股;中芯国际概念;存储芯片;先进封装;芯片概念;同花顺新质50;MiniLED;工业互联网;区块链;沪股通;融资融券,688012
002718.SZ,4,33,网红经济;长三角一体化;智能家居;股权转让(并购重组),002718
688133.SH,2,17,工业互联网;融资融券,688133
300043.SZ,21,33,手机游戏;电子竞技;网络游戏;云游戏;文化传媒概念;NFT概念;抖音概念(字节概念);腾讯概念;IP经济(谷子经济);元宇宙;鸿蒙概念;人工智能;AI应用;横琴新区;跨境电商;华为概念;三胎概念;数字货币;粤港澳大湾区;人民币贬值受益;深股通,300043
600487.SH,31,17,共封装光学(CPO);光纤概念;F5G概念;液冷服务器;特高压;柔性直流输电;芯片概念;智能电网;5G;数据中心;小米汽车;新能源汽车;风电;长三角一体化;量子科技;人形机器人;一带一路;无人驾驶;机器人概念;6G概念;海工装备;华为概念;创投;太赫兹;水利;军工;沪股通;融资融券;网络安全;DeepSeek概念;智慧城市,600487
300821.SZ,5,33,有机硅概念;硅能源;燃料电池;融资融券;深股通,300821
301393.SZ,5,33,创新药;CRO概念;减肥药;深股通;融资融券,301393
600868.SH,15,17,小金属概念;时空大数据;水泥概念;职业教育;数据要素;智慧城市;氢能源;粤港澳大湾区;回购增持再贷款概念;储能;绿色电力;新型城镇化;水利;融资融券;沪股通,600868
600399.SH,9,17,商业航天;大飞机;航空发动机;特钢概念;军工;核电;回购增持再贷款概念;沪股通;融资融券,600399
688227.SH,17,17,华为欧拉;智慧政务;云计算;AI智能体;算力租赁;信创;东数西算(算力);数据要素;区块链;华为概念;人工智能;芯片概念;DeepSeek概念;军工;数字经济;互联网金融;融资融券,688227
688568.SH,30,17,卫星导航;多模态AI;时空大数据;AIGC概念;商业航天;AI智能体;空间计算;数据要素;云计算;AI应用;同花顺新质50;DeepSeek概念;人工智能;数字孪生;数字经济;智慧城市;军工;低空经济;无人机;东数西算(算力);华为概念;海工装备;水利;数据中心;碳交易;碳中和;国企改革;中字头股票;沪股通;融资融券,688568
688030.SH,12,17,信创;数据安全;网络安全;AI智能体;阿里巴巴概念;DeepSeek概念;华为概念;工业互联网;比亚迪概念;芯片概念;AI应用;融资融券,688030
000970.SZ,12,33,稀土永磁;小金属概念;特斯拉概念;国企改革;新能源汽车;机器人概念;苹果概念;人民币贬值受益;2025年报预增;深股通;融资融券;中字头股票,000970
300906.SZ,3,33,高铁;专精特新;融资融券,300906
300887.SZ,31,33,脑机接口;军工信息化;商业航天;核污染防治;军工;PM2.5;无人机;低空经济;海工装备;房屋检测;机器人概念;5G;京津冀一体化;人形机器人;食品安全;医疗器械概念;特斯拉概念;新能源汽车;碳中和;土壤修复;储能;碳交易;辅助生殖;三胎概念;幽门螺杆菌概念;基因测序;猴痘概念;CRO概念;肝炎概念;深股通;融资融券,300887
000017.SZ,6,33,黄金概念;2025年报预增;粤港澳大湾区;锂电池概念;两轮车;智能穿戴,000017
000682.SZ,22,33,智能电网;虚拟电厂;电力物联网;风电;核电;充电桩;储能;国企改革;机器人概念;工业互联网;数据中心;物联网;华为概念;智慧城市;人工智能;语音技术;人脸识别;DeepSeek概念;网络安全;区块链;融资融券;深股通,000682
603958.SH,7,17,DeepSeek概念;海峡两岸;华为概念;机器人概念;消费电子概念;3D打印;股权转让(并购重组),603958
688778.SH,11,17,钠离子电池;固态电池;宁德时代概念;锂电池概念;专精特新;氢能源;低空经济;福建自贸区;国企改革;融资融券;沪股通,688778
000917.SZ,12,33,网络游戏;文化传媒概念;IP经济(谷子经济);华为概念;物联网;创投;旅游概念;智能家居;露营经济;国企改革;深股通;融资融券,000917
300101.SZ,19,33,卫星导航;商业航天;军民融合;国产航母;军工;时空大数据;无人机;智慧城市;5G;机器视觉;人工智能;物联网;机器人概念;芯片概念;专精特新;西部大开发;回购增持再贷款概念;深股通;融资融券,300101
000591.SZ,17,33,钙钛矿电池;TOPCON电池;光伏概念;光伏建筑一体化;DeepSeek概念;虚拟电厂;储能;碳交易;碳中和;工业互联网;绿色电力;西部大开发;机器人概念;国企改革;央企国企改革;深股通;融资融券,000591
001360.SZ,10,33,黄金概念;金属回收;固废处理;一带一路;雅下水电概念;高端装备;锂电池概念;专精特新;机器视觉;融资融券,001360
300658.SZ,5,33,三胎概念;海峡两岸;福建自贸区;人民币贬值受益;股权转让(并购重组),300658
002380.SZ,25,33,信创;人工智能;新型工业化;机器视觉;AI智能体;数据要素;华为概念;工业互联网;智慧城市;数字经济;机器人概念;专精特新;电力物联网;传感器;核电;储能;智能电网;虚拟电厂;光热发电;碳中和;一带一路;垃圾分类;超超临界发电;AI应用;深股通,002380
002643.SZ,16,33,光刻胶;OLED;芯片概念;固态电池;钙钛矿电池;锂电池概念;PEEK材料;燃料电池;人民币贬值受益;供销社;回购增持再贷款概念;国企改革;仿制药一致性评价;深股通;肝炎概念;融资融券,002643
603033.SH,4,17,可降解塑料;高铁;沪股通;融资融券,603033
002738.SZ,10,33,金属铜;小金属概念;动力电池回收;锂电池概念;金属回收;稀土永磁;特斯拉概念;一带一路;融资融券;深股通,002738
688655.SH,13,17,PCB概念;共封装光学(CPO);5G;医疗器械概念;专精特新;汽车电子;粤港澳大湾区;新能源汽车;机器人概念;智能座舱;绿色电力;股权转让(并购重组);融资融券,688655
688314.SH,8,17,牙科医疗;医美概念;医疗器械概念;3D打印;专精特新;PEEK材料;西部大开发;融资融券,688314
688102.SH,16,17,商业航天;航空发动机;可控核聚变;核电;3D打印;特高压;独角兽概念;DeepSeek概念;芯片概念;充电桩;新能源汽车;西部大开发;医疗器械概念;共封装光学(CPO);沪股通;融资融券,688102
301165.SZ,31,33,共封装光学(CPO);中国AI 50;WiFi 6;液冷服务器;5G;东数西算(算力);云办公;6G概念;数据中心;抖音概念(字节概念);国资云;腾讯概念;快手概念;网络安全;阿里巴巴概念;信创;蚂蚁集团概念;AI智能体;百度概念;小米概念;新型工业化;AIGC概念;智能医疗;人工智能;工业互联网;数字经济;一带一路;AI应用;国企改革;深股通;融资融券,301165
688686.SH,10,17,传感器;机器视觉;机器人概念;苹果概念;AI应用;粤港澳大湾区;锂电池概念;光伏建筑一体化;融资融券;沪股通,688686
003021.SZ,15,33,减速器;人形机器人;华为汽车;新型工业化;新能源汽车;比亚迪概念;机器人概念;小米概念;5G;MR(混合现实);充电桩;华为概念;医疗器械概念;融资融券;深股通,003021
688711.SH,17,17,人形机器人;华为汽车;第三代半导体;汽车芯片;比亚迪概念;可控核聚变;新能源汽车;芯片概念;机器人概念;充电桩;光伏概念;专精特新;数据中心;华为概念;回购增持再贷款概念;沪股通;融资融券,688711
688651.SH,18,17,商业航天;卫星导航;量子科技;低空经济;网络安全;专精特新;国产操作系统;华为概念;空间计算;数据安全;智慧城市;数字货币;信创;云计算;人工智能;数据要素;DeepSeek概念;融资融券,688651
300997.SZ,10,33,乳业;广东自贸区;网红经济;拼多多概念;乡村振兴;参股银行;创投;粤港澳大湾区;深股通;融资融券,300997
000786.SZ,9,33,装配式建筑;建筑节能;雄安新区;国企改革;央企国企改革;雅下水电概念;DeepSeek概念;深股通;融资融券,000786
300552.SZ,16,33,ETC;智能座舱;车联网(车路协同);无人驾驶;星闪概念;机器视觉;数据要素;智慧城市;汽车电子;传感器;数字孪生;华为概念;京津冀一体化;机器人概念;人形机器人;深股通,300552
002735.SZ,17,33,可控核聚变;军工信息化;军工;核电;信创;低空经济;飞行汽车(eVTOL);无线充电;富士康概念;光伏概念;比亚迪概念;储能;新能源汽车;两轮车;医疗器械概念;可降解塑料;深股通,002735
002544.SZ,30,33,商业航天;卫星导航;军民融合;军工;6G概念;低空经济;网络安全;数字乡村;智慧城市;数字孪生;水利;数据要素;物联网;东数西算(算力);机器人概念;华为概念;5G;横琴新区;农机;数据中心;储能;国企改革;一带一路;雄安新区;粤港澳大湾区;乡村振兴;PCB概念;2025年报预增;深股通;融资融券,002544
300364.SZ,37,33,Sora概念(文生视频);AI语料;快手概念;短剧游戏;ChatGPT概念;AIGC概念;Web3.0;多模态AI;虚拟数字人;AI智能体;NFT概念;知识产权保护;抖音概念(字节概念);在线教育;文化传媒概念;数据确权;数据要素;百度概念;阿里巴巴概念;腾讯概念;鸿蒙概念;元宇宙;区块链;职业教育;数字乡村;DeepSeek概念;数字经济;人工智能;AI应用;IP经济(谷子经济);虚拟现实;华为概念;京津冀一体化;乡村振兴;同花顺出海50;深股通;融资融券,300364
000823.SZ,20,33,共封装光学(CPO);PCB概念;苹果概念;汽车电子;5G;毫米波雷达;消费电子概念;AI眼镜;比亚迪概念;传感器;无人机;东数西算(算力);无人驾驶;虚拟现实;卫星导航;商业航天;国企改革;深股通;融资融券;证金持股,000823
301363.SZ,11,33,脑机接口;CRO概念;减肥药;医疗器械概念;PEEK材料;传感器;消费电子概念;机器人概念;人民币贬值受益;深股通;融资融券,301363
002129.SZ,11,33,BC电池;TOPCON电池;硅能源;HJT电池;光伏概念;同花顺漂亮100;一带一路;芯片概念;中芯国际概念;深股通;融资融券,002129
002518.SZ,19,33,液冷服务器;2025年报预增;宁德时代概念;锂电池概念;比亚迪概念;光伏概念;数据中心;储能;充电桩;风电;东数西算(算力);一带一路;粤港澳大湾区;阿里巴巴概念;抖音概念(字节概念);深股通;融资融券;人工智能;智能医疗,002518
688168.SH,16,17,换电概念;专精特新;数据中心;东数西算(算力);华为概念;人工智能;网络安全;信创;国产操作系统;数据安全;DeepSeek概念;云计算;百度概念;AI智能体;沪股通;融资融券,688168
301515.SZ,7,33,脑机接口;智能医疗;医疗器械概念;专精特新;西部大开发;回购增持再贷款概念;融资融券,301515
300454.SZ,20,33,云办公;ChatGPT概念;云计算;智慧政务;信创;中国AI 50;数据安全;网络安全;东数西算(算力);DeepSeek概念;人工智能;英伟达概念;数据中心;物联网;粤港澳大湾区;机器人概念;AI应用;2025年报预增;融资融券;深股通,300454
603272.SH,5,17,长三角一体化;专精特新;共同富裕示范区;工业互联网;回购增持再贷款概念,603272
002885.SZ,20,33,高压快充;光伏概念;充电桩;富士康概念;储能;2025年报预增;无线充电;数据中心;第三代半导体;新能源汽车;比亚迪概念;5G;OLED;消费电子概念;华为汽车;汽车电子;小米概念;华为概念;粤港澳大湾区;融资融券,002885
301067.SZ,10,33,无线充电;低空经济;无人机;机器人概念;卫星导航;消费电子概念;AI眼镜;粤港澳大湾区;铜缆高速连接;融资融券,301067
300107.SZ,6,33,染料;京津冀一体化;雄安新区;低空经济;飞行汽车(eVTOL);深股通,300107
301007.SZ,13,33,减速器;汽车热管理;人形机器人;新能源汽车;机器人概念;专精特新;无人驾驶;无人机;燃料电池;氢能源;深股通;股权转让(并购重组);融资融券,301007
002119.SZ,8,33,存储芯片;先进封装;芯片概念;专精特新;核电;自由贸易港;深股通;融资融券,002119
688352.SH,9,17,先进封装;MCU芯片;第三代半导体;OLED;芯片概念;回购增持再贷款概念;国企改革;沪股通;融资融券,688352
603124.SH,8,17,PCB概念;液冷服务器;PET铜箔;工业母机;注册制次新股;专精特新;新股与次新股;融资融券,603124
002378.SZ,7,33,金属铜;小金属概念;2025年报预增;深股通;融资融券;工业母机;军工,002378
603978.SH,11,17,氟化工概念;PVDF概念;锂电池概念;储能;核电;一体化压铸;回购增持再贷款概念;军工;芯片概念;商业航天;融资融券,603978
002992.SZ,15,33,PET铜箔;MiniLED;AI眼镜;比亚迪概念;小米概念;消费电子概念;无人机;新能源汽车;智能座舱;智能穿戴;固态电池;华为概念;锂电池概念;虚拟现实;深股通,002992
300617.SZ,15,33,虚拟电厂;智能电网;电力物联网;特高压;光伏概念;风电;储能;核电;充电桩;宁德时代概念;氟化工概念;数据中心;腾讯概念;专精特新;深股通,300617
000156.SZ,32,33,短剧游戏;文化传媒概念;虚拟数字人;AIGC概念;IP经济(谷子经济);抖音概念(字节概念);多模态AI;AI智能体;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;智慧政务;数字经济;数字乡村;养老概念;智慧城市;信创;旅游概念;虚拟现实;东数西算(算力);车联网(车路协同);物联网;乡村振兴;国企改革;智能家居;AI应用;机器人概念;智能音箱;5G;深股通;融资融券,000156
000592.SZ,9,33,福建自贸区;海峡两岸;旅游概念;乡村振兴;民营医院;化肥;合成生物;深股通;融资融券,000592
300766.SZ,34,33,智谱AI;AI语料;快手概念;小红书概念;ChatGPT概念;多模态AI;虚拟数字人;AI智能体;云计算;抖音概念(字节概念);智慧政务;数据安全;百度概念;鸿蒙概念;拼多多概念;数据要素;阿里巴巴概念;腾讯概念;空间计算;区块链;DeepSeek概念;人工智能;数字经济;智慧城市;车联网(车路协同);智能医疗;华为概念;小米概念;机器人概念;共同富裕示范区;比亚迪概念;AI应用;融资融券;深股通,300766
300989.SZ,14,33,新型城镇化;旅游概念;低空经济;乡村振兴;智慧城市;空间计算;粤港澳大湾区;一带一路;人工智能;算力租赁;数据要素;时空大数据;AI应用;融资融券,300989
603373.SH,8,17,安防;职业教育;无人机;低空经济;阿里巴巴概念;国企改革;沪股通;融资融券,603373
603858.SH,12,17,流感;医药电商;仿制药一致性评价;肝炎概念;创新药;生物疫苗;医美概念;医疗器械概念;参股银行;回购增持再贷款概念;融资融券;沪股通,603858
688805.SH,6,17,科创次新股;注册制次新股;医疗器械概念;超导概念;新股与次新股;融资融券,688805
300935.SZ,18,33,建筑节能;房屋检测;装配式建筑;新型城镇化;光伏概念;一带一路;职业教育;AI应用;数据中心;空间计算;数字孪生;风电;人工智能;DeepSeek概念;数据要素;信创;AI智能体;融资融券,300935
300002.SZ,34,33,ChatGPT概念;AIGC概念;AI智能体;手机游戏;云计算;网络游戏;在线教育;信创;数据安全;智慧政务;区块链;网络安全;DeepSeek概念;算力租赁;人工智能;数字经济;人脸识别;东数西算(算力);职业教育;数字孪生;智慧城市;华为概念;物联网;工业互联网;数据中心;创投;5G;电力物联网;机器人概念;乡村振兴;智能电网;AI应用;深股通;融资融券,300002
688060.SH,12,17,专精特新;物联网;新型工业化;网络安全;信创;车联网(车路协同);工业互联网;芯片概念;充电桩;智能电网;虚拟电厂;融资融券,688060
300657.SZ,43,33,英伟达概念;AI手机;AI PC;华为手机;东数西算(算力);共封装光学(CPO);AI眼镜;液冷服务器;算力租赁;无线耳机;新型烟草(电子烟);PCB概念;数据中心;2025年报预增;智能穿戴;消费电子概念;MiniLED;华为概念;虚拟现实;小米概念;卫星导航;汽车电子;云计算;无人机;柔性屏(折叠屏);元宇宙;阿里巴巴概念;抖音概念(字节概念);商业航天;智谱AI;传感器;军工;机器人概念;福建自贸区;DeepSeek概念;宁德时代概念;小米汽车;海峡两岸;新能源汽车;智能医疗;储能;深股通;融资融券,300657
002434.SZ,17,33,减速器;人形机器人;虚拟电厂;储能;一体化压铸;新能源汽车;机器人概念;农机;高端装备;比亚迪概念;绿色电力;工业互联网;碳中和;碳交易;回购增持再贷款概念;深股通;融资融券,002434
301391.SZ,9,33,MicroLED概念;芯片概念;机器视觉;虚拟现实;东数西算(算力);人工智能;元宇宙;深股通;融资融券,301391
688596.SH,13,17,存储芯片;中芯国际概念;第三代半导体;芯片概念;高端装备;专精特新;光伏概念;储能;氢能源;医疗器械概念;合成生物;沪股通;融资融券,688596
603816.SH,4,17,跨境电商;智能家居;沪股通;融资融券,603816
603659.SH,15,17,钠离子电池;固态电池;PVDF概念;宁德时代概念;锂电池概念;石墨电极;PET铜箔;特斯拉概念;2025年报预增;储能;新能源汽车;消费电子概念;芯片概念;沪股通;融资融券,603659
301133.SZ,12,33,人形机器人;毫米波雷达;碳纤维;小米汽车;特斯拉概念;比亚迪概念;无人机;新能源汽车;华为汽车;长安汽车概念;百度概念;融资融券,301133
605318.SH,3,17,长三角一体化;装配式建筑;智能家居,605318
600307.SH,15,17,特钢概念;商业航天;西部大开发;国企改革;核电;氢能源;雅下水电概念;回购增持再贷款概念;华为概念;可控核聚变;金属铜;超导概念;新能源汽车;融资融券;沪股通,600307
300324.SZ,37,33,军工信息化;卫星导航;网络安全;商业航天;信创;华为鲲鹏;时空大数据;智慧政务;财税数字化;车联网(车路协同);军民融合;算力租赁;无人机;东数西算(算力);军工;区块链;数据要素;智慧城市;腾讯概念;数字经济;华为概念;人工智能;DeepSeek概念;数字孪生;大飞机;物联网;独角兽概念;芯片概念;数据中心;云游戏;京津冀一体化;智能医疗;光伏概念;光伏建筑一体化;深股通;AI应用;融资融券,300324
002975.SZ,38,33,存储芯片;富士康概念;PCB概念;2025年报预增;苹果概念;液冷服务器;无线耳机;消费电子概念;新型烟草(电子烟);AI眼镜;英伟达概念;汽车电子;芯片概念;比亚迪概念;特斯拉概念;小米概念;工业母机;毫米波雷达;新能源汽车;5G;人形机器人;智能座舱;MR(混合现实);新型工业化;机器视觉;减速器;机器人概念;粤港澳大湾区;无人驾驶;华为概念;虚拟现实;高端装备;横琴新区;一带一路;人工智能;阿里巴巴概念;腾讯概念;深股通,002975
002988.SZ,9,33,光伏概念;比亚迪概念;新能源汽车;华为汽车;储能;建筑节能;回购增持再贷款概念;智能物流;深股通,002988
002467.SZ,29,33,云办公;智慧政务;云计算;区块链;网络安全;Web3.0;信创;在线教育;AI智能体;智谱AI;虚拟数字人;鸿蒙概念;腾讯概念;数字经济;阿里巴巴概念;元宇宙;AIGC概念;DeepSeek概念;人工智能;网红经济;语音技术;虚拟现实;数据中心;物联网;低空经济;一带一路;小米概念;融资融券;深股通,002467
688206.SH,6,17,存储芯片;芯片概念;专精特新;股权转让(并购重组);沪股通;融资融券,688206
000825.SZ,19,33,特钢概念;可控核聚变;商业航天;军工;核电;央企国企改革;氢能源;柔性屏(折叠屏);国企改革;超超临界发电;一带一路;燃料电池;光伏概念;芯片概念;华为手机;华为概念;比亚迪概念;深股通;融资融券,000825
000609.SZ,5,33,ST板块;创投;互联网金融;高铁;股权转让(并购重组),000609
002759.SZ,10,33,氟化工概念;钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;家用电器;深股通;融资融券,002759
300628.SZ,10,33,信创;工业互联网;人民币贬值受益;腾讯概念;云办公;福建自贸区;海峡两岸;AI应用;深股通;融资融券,300628
688208.SH,21,17,毫米波雷达;人形机器人;传感器;汽车电子;无人机;无人驾驶;华为概念;机器人概念;专精特新;新能源汽车;AI智能体;人工智能;高压快充;DeepSeek概念;充电桩;储能;人民币贬值受益;跨境电商;AI应用;沪股通;融资融券,688208
603889.SH,3,17,长三角一体化;工业互联网;沪股通,603889
002824.SZ,15,33,汽车热管理;新能源汽车;比亚迪概念;宁德时代概念;储能;柔性屏(折叠屏);华为手机;消费电子概念;小米概念;智能家居;华为概念;2025年报预增;三胎概念;深股通;融资融券,002824
300475.SZ,12,33,存储芯片;芯片概念;2025年报预增;数据中心;人民币贬值受益;抖音概念(字节概念);粤港澳大湾区;腾讯概念;阿里巴巴概念;家用电器;深股通;融资融券,300475
300414.SZ,18,33,商业航天;光刻机;军工;无人机;5G;液冷服务器;华为概念;高铁;专精特新;数据中心;高压快充;光伏概念;水利;2025年报预增;新能源汽车;风电;西部大开发;融资融券,300414
301568.SZ,22,33,富士康概念;光刻机;PCB概念;消费电子概念;汽车电子;芯片概念;MicroLED概念;光刻胶;比亚迪概念;新型工业化;5G;高端装备;AI眼镜;专精特新;海峡两岸;机器视觉;福建自贸区;商业航天;锂电池概念;人工智能;多模态AI;融资融券,301568
603956.SH,24,17,新型城镇化;数字孪生;数字经济;乡村振兴;智慧城市;净水概念;人工智能;水利;DeepSeek概念;数字乡村;区块链;数据要素;物联网;华为概念;空间计算;工业互联网;AI智能体;信创;华为鲲鹏;机器人概念;新型工业化;专精特新;智谱AI;AI应用,603956
002240.SZ,10,33,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,002240
300390.SZ,13,33,固态电池;锂电池概念;宁德时代概念;小金属概念;储能;存储芯片;华为概念;新能源汽车;芯片概念;中芯国际概念;医疗器械概念;融资融券;深股通,300390
601869.SH,22,17,共封装光学(CPO);光纤概念;铜缆高速连接;第三代半导体;特高压;芯片概念;5G;新能源汽车;智能电网;风电;专精特新;人形机器人;沪股通;一带一路;量子科技;海工装备;机器人概念;创投;太赫兹;工业互联网;抖音概念(字节概念);融资融券,601869
301128.SZ,28,33,富士康概念;苹果概念;人形机器人;液冷服务器;PCB概念;华为手机;比亚迪概念;华为汽车;华为海思概念股;共封装光学(CPO);新能源汽车;柔性屏(折叠屏);高端装备;新型工业化;芯片概念;华为数字能源;无人机;消费电子概念;机器人概念;军工;数据中心;无人驾驶;华为概念;粤港澳大湾区;虚拟现实;人工智能;深股通;融资融券,301128
300034.SZ,13,33,航空发动机;大飞机;军民融合;商业航天;军工;核电;特钢概念;京津冀一体化;3D打印;央企国企改革;国企改革;融资融券;深股通,300034
688563.SH,12,17,航空发动机;大飞机;商业航天;军民融合;军工;无人机;核电;机器人概念;央企国企改革;国企改革;沪股通;融资融券,688563
002512.SZ,25,33,福建自贸区;海峡两岸;卫星导航;6G概念;商业航天;智慧政务;数字乡村;华为鲲鹏;智慧城市;在线教育;虚拟数字人;数字经济;5G;鸿蒙概念;互联网金融;人工智能;物联网;DeepSeek概念;乡村振兴;机器人概念;小米概念;消费电子概念;一带一路;深股通;融资融券,002512
301228.SZ,3,33,食品安全;土壤修复;融资融券,301228
300719.SZ,15,33,成飞概念;大飞机;军民融合;军工信息化;商业航天;军工;碳纤维;低空经济;无人机;飞行汽车(eVTOL);高端装备;信创;京津冀一体化;虚拟现实;专精特新,300719
300226.SZ,16,33,AI语料;ChatGPT概念;AIGC概念;多模态AI;AI智能体;数据要素;百度概念;鸿蒙概念;区块链;DeepSeek概念;人工智能;互联网金融;工业互联网;AI应用;深股通;融资融券,300226
300303.SZ,19,33,MiniLED;MicroLED概念;消费电子概念;芯片概念;智能穿戴;传感器;5G;先进封装;比亚迪概念;机器人概念;新能源汽车;专精特新;共封装光学(CPO);智慧灯杆;粤港澳大湾区;海峡两岸;独角兽概念;深股通;融资融券,300303
300224.SZ,12,33,稀土永磁;小金属概念;低空经济;人形机器人;机器人概念;高压快充;新能源汽车;消费电子概念;家用电器;2025年报预增;深股通;融资融券,300224
603881.SH,14,17,算力租赁;腾讯概念;云计算;国资云;阿里巴巴概念;中国AI 50;百度概念;东数西算(算力);蚂蚁集团概念;数据中心;液冷服务器;国企改革;沪股通;融资融券,603881
002780.SZ,5,33,露营经济;冰雪产业;旅游概念;体育产业;三胎概念,002780
300248.SZ,38,33,华为盘古;AI语料;华为鲲鹏;AI智能体;虚拟数字人;云计算;智慧政务;在线教育;数据要素;鸿蒙概念;蚂蚁集团概念;阿里巴巴概念;数字货币;网络安全;区块链;元宇宙;移动支付;空间计算;数字乡村;数字经济;DeepSeek概念;算力租赁;人脸识别;人工智能;职业教育;智慧城市;虚拟现实;华为概念;物联网;养老概念;食品安全;创投;水利;机器人概念;乡村振兴;智能电网;AI应用;深股通,300248
600207.SH,11,17,建筑节能;光热发电;光伏概念;储能;医疗器械概念;国企改革;天然气;芯片概念;富士康概念;沪股通;融资融券,600207
920091.BJ,8,151,新能源汽车;机器人概念;长安汽车概念;专精特新;比亚迪概念;机器视觉;新股与次新股;融资融券,920091
301321.SZ,9,33,MicroLED概念;MiniLED;虚拟现实;华为概念;汽车电子;OLED;消费电子概念;回购增持再贷款概念;融资融券,301321
002292.SZ,20,33,多模态AI;虚拟数字人;ChatGPT概念;手机游戏;NFT概念;网络游戏;元宇宙;文化传媒概念;腾讯概念;IP经济(谷子经济);独角兽概念;人工智能;虚拟现实;跨境电商;智能穿戴;乡村振兴;三胎概念;回购增持再贷款概念;深股通;融资融券,002292
300964.SZ,22,33,6G概念;5G;PCB概念;毫米波雷达;卫星导航;商业航天;华为概念;共封装光学(CPO);虚拟现实;军工;低空经济;工业互联网;无人机;专精特新;汽车电子;机器人概念;充电桩;创投;特斯拉概念;新能源汽车;医疗器械概念;融资融券,300964
688378.SH,7,17,钙钛矿电池;光刻胶;OLED;柔性屏(折叠屏);AI眼镜;沪股通;融资融券,688378
603507.SH,12,17,光热发电;光伏概念;专精特新;机器人概念;海工装备;人民币贬值受益;氢能源;风电;回购增持再贷款概念;一带一路;商业航天;融资融券,603507
600507.SH,10,17,特钢概念;回购增持再贷款概念;化债概念(AMC概念);工业互联网;宁德时代概念;新能源汽车;2025年报预增;融资融券;沪股通;华为概念,600507
002993.SZ,22,33,无线充电;苹果概念;第三代半导体;光伏概念;AI眼镜;消费电子概念;小米概念;汽车电子;新能源汽车;储能;AI PC;机器人概念;充电桩;专精特新;华为概念;数据中心;一带一路;露营经济;跨境电商;广东自贸区;网红经济;深股通,002993
300459.SZ,36,33,快手概念;AIGC概念;ChatGPT概念;云游戏;多模态AI;NFT概念;网络游戏;手机游戏;在线教育;文化传媒概念;抖音概念(字节概念);脑机接口;知识产权保护;智能医疗;元宇宙;鸿蒙概念;阿里巴巴概念;腾讯概念;语音技术;人工智能;DeepSeek概念;网红经济;IP经济(谷子经济);虚拟现实;东数西算(算力);AI应用;华为概念;MR(混合现实);三胎概念;数据中心;机器人概念;人民币贬值受益;一带一路;液冷服务器;深股通;融资融券,300459
002597.SZ,9,33,代糖概念;煤化工概念;生物质能发电;合成生物;锂电池概念;固态电池;光伏概念;深股通;融资融券,002597
300111.SZ,4,33,幽门螺杆菌概念;流感;深股通;股权转让(并购重组),300111
002821.SZ,9,33,减肥药;CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;京津冀一体化;深股通;融资融券,002821
688295.SH,12,17,碳纤维;大飞机;低空经济;飞行汽车(eVTOL);机器人概念;专精特新;风电;氢能源;国企改革;沪股通;中字头股票;融资融券,688295
601020.SH,11,17,金属铅;金属锌;黄金概念;金属铜;小金属概念;2025年报预增;西部大开发;一带一路;人民币贬值受益;沪股通;融资融券,601020
002880.SZ,5,33,生物疫苗;肝炎概念;合成生物;国企改革;深股通,002880
688750.SH,11,17,军工;商业航天;航空发动机;小金属概念;核电;高端装备;专精特新;国企改革;大飞机;沪股通;融资融券,688750
301419.SZ,8,33,富士康概念;共封装光学(CPO);5G;汽车热管理;人形机器人;机器人概念;人民币贬值受益;融资融券,301419
300410.SZ,22,33,BC电池;OLED;光伏概念;消费电子概念;比亚迪概念;先进封装;芯片概念;专精特新;新能源汽车;苹果概念;储能;PCB概念;宁德时代概念;锂电池概念;机器人概念;高端装备;5G;粤港澳大湾区;华为概念;工业互联网;食品安全;国企改革,300410
600159.SH,2,17,国企改革;京津冀一体化,600159
002703.SZ,10,33,小米汽车;长安汽车概念;无人驾驶;共同富裕示范区;比亚迪概念;新能源汽车;汽车电子;小米概念;深股通;融资融券,002703
