股票代码,market_code,code,所属概念数量,所属概念
001313.SZ,33,001313,7,合成生物;预制菜;乡村振兴;粤港澳大湾区;一带一路;数据要素;深股通
688668.SH,17,688668,13,英伟达概念;铜缆高速连接;光纤概念;液冷服务器;5G;机器视觉;商业航天;比亚迪概念;2025年报预增;新能源汽车;长安汽车概念;融资融券;沪股通
603022.SH,17,603022,2,光伏建筑一体化;绿色电力
688549.SH,17,688549,8,国家大基金持股;存储芯片;中芯国际概念;先进封装;芯片概念;氟化工概念;沪股通;融资融券
600935.SH,17,600935,5,水泥概念;可降解塑料;硅能源;国企改革;沪股通
300604.SZ,33,300604,8,国家大基金持股;存储芯片;芯片概念;专精特新;2025年报预增;海峡两岸;融资融券;深股通
301131.SZ,33,301131,20,家用电器;长安汽车概念;粤港澳大湾区;专精特新;华为汽车;新能源汽车;机器人概念;PEEK材料;小米概念;可降解塑料;碳纤维;充电桩;无人机;光伏概念;绿色电力;POE胶膜;HJT电池;钙钛矿电池;TOPCON电池;融资融券
601369.SH,17,601369,19,虚拟电厂;超超临界发电;储能;核电;一带一路;高端装备;氢能源;碳中和;煤化工概念;国企改革;西部大开发;数据安全;军工;商业航天;天然气;页岩气;高股息精选;融资融券;沪股通
000960.SZ,33,000960,9,金属铅;金属锌;金属铜;小金属概念;2026一季报预增;西部大开发;国企改革;深股通;融资融券
002780.SZ,33,002780,5,露营经济;冰雪产业;体育产业;旅游概念;三胎概念
603317.SH,17,603317,4,高股息精选;西部大开发;融资融券;沪股通
300610.SZ,33,300610,4,有机硅概念;磷化工;专精特新;风电
300956.SZ,33,300956,16,小米概念;专精特新;机器人概念;消费电子概念;人形机器人;AI PC;人民币贬值受益;储能;光伏概念;锂电池概念;固态电池;光伏建筑一体化;HJT电池;TOPCON电池;绿色电力;融资融券
300414.SZ,33,300414,18,商业航天;军工;无人机;5G;液冷服务器;高铁;专精特新;新能源汽车;数据中心;华为概念;高压快充;光刻机;光伏概念;水利;风电;2025年报预增;西部大开发;融资融券
605020.SH,17,605020,10,PVDF概念;氟化工概念;环氧丙烷;2025年报预增;一带一路;共同富裕示范区;液冷服务器;智能物流;沪股通;融资融券
603811.SH,17,603811,8,流感;猴痘概念;肝炎概念;医药电商;仿制药一致性评价;维生素;医疗器械概念;回购增持再贷款概念
688030.SH,17,688030,13,数据安全;信创;网络安全;AI智能体;阿里巴巴概念;DeepSeek概念;华为概念;工业互联网;量子科技;AI应用;比亚迪概念;芯片概念;融资融券
688695.SH,17,688695,18,数据要素;人工智能;智慧政务;DeepSeek概念;华为鲲鹏;信创;网络安全;财税数字化;云计算;物联网;车联网(车路协同);跨境支付(CIPS);华为概念;机器人概念;量子科技;军工信息化;军工;融资融券
688671.SH,17,688671,15,新型城镇化;物联网;农机;水利;专精特新;智慧城市;污水处理;数字经济;数据要素;核污染防治;碳中和;AIGC概念;海工装备;AI应用;融资融券
600873.SH,17,600873,9,代糖概念;维生素;高股息精选;合成生物;参股银行;西部大开发;生物疫苗;融资融券;沪股通
600883.SH,17,600883,3,西部大开发;人民币贬值受益;股权转让(并购重组)
002887.SZ,33,002887,16,土壤修复;污水处理;足球概念;新型城镇化;PPP概念;碳交易;碳中和;体育产业;露营经济;水利;雄安新区;冰雪产业;乡村振兴;京津冀一体化;旅游概念;IP经济(谷子经济)
688376.SH,17,688376,6,中芯国际概念;光刻机;芯片概念;PM2.5;沪股通;融资融券
002535.SZ,33,002535,7,燃料电池;高端装备;储能;安防;军工;蚂蚁集团概念;煤炭概念
688681.SH,17,688681,13,电力物联网;智能电网;充电桩;专精特新;物联网;特高压;工业互联网;储能;柔性直流输电;虚拟电厂;2025年报预增;绿色电力;融资融券
600386.SH,17,600386,10,物业管理;京津冀一体化;国企改革;文化传媒概念;汽车拆解概念;独角兽概念;充电桩;新能源汽车;动力电池回收;融资融券
002586.SZ,33,002586,8,ST板块;国企改革;海工装备;水利;PPP概念;高端装备;雄安新区;文化传媒概念
003029.SZ,33,003029,37,电子身份证;数字货币;数据安全;智慧政务;华为鲲鹏;网络安全;移动支付;信创;鸿蒙概念;数字水印;跨境支付(CIPS);区块链;AI智能体;蚂蚁集团概念;互联网金融;抖音概念(字节概念);数字经济;智慧城市;车联网(车路协同);DeepSeek概念;安防;量子科技;东数西算(算力);物联网;军工信息化;华为概念;卫星导航;工业互联网;无人驾驶;商业航天;军工;长安汽车概念;专精特新;比亚迪概念;芯片概念;中俄贸易概念;深股通
300314.SZ,33,300314,7,三胎概念;细胞免疫治疗;医疗器械概念;血氧仪;共同富裕示范区;智能医疗;DeepSeek概念
300554.SZ,33,300554,6,第三代半导体;芯片概念;光伏概念;中芯国际概念;钙钛矿电池;股权转让(并购重组)
300786.SZ,33,300786,23,光刻胶;OLED;芯片概念;专精特新;先进封装;光刻机;家用电器;光伏概念;商业航天;医疗器械概念;海工装备;空气能热泵;中俄贸易概念;净水概念;污水处理;回购增持再贷款概念;HJT电池;雄安新区;冷链物流;医疗废物处理;新疆振兴;煤化工概念;股权转让(并购重组)
002742.SZ,33,002742,8,ST板块;职业教育;幽门螺杆菌概念;减肥药;流感;西部大开发;一带一路;水泥概念
300949.SZ,33,300949,24,职业教育;虚拟数字人;元宇宙;腾讯概念;数据要素;智慧城市;露营经济;人工智能;AIGC概念;体育产业;新型城镇化;粤港澳大湾区;IP经济(谷子经济);虚拟现实;时空大数据;算力租赁;NFT概念;旅游概念;东数西算(算力);冰雪产业;三胎概念;低空经济;乡村振兴;融资融券
603369.SH,17,603369,5,白酒概念;国企改革;沪股通;融资融券;回购增持再贷款概念
688207.SH,17,688207,26,华为昇腾;MLOps概念;多模态AI;智慧政务;AI智能体;数据要素;元宇宙;人脸识别;空间计算;DeepSeek概念;车联网(车路协同);智慧城市;人工智能;互联网金融;虚拟现实;华为概念;AI PC;机器视觉;智能穿戴;无人驾驶;机器人概念;无人机;军工;体育产业;高铁;融资融券
603506.SH,17,603506,6,养老概念;物业管理;垃圾分类;长三角一体化;2025年报预增;机器人概念
000553.SZ,33,000553,6,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券
301192.SZ,33,301192,3,专精特新;新能源汽车;融资融券
688733.SH,17,688733,14,PCB概念;先进封装;存储芯片;固态电池;宁德时代概念;芯片概念;锂电池概念;专精特新;新能源汽车;钠离子电池;光伏概念;燃料电池;华为概念;融资融券
000055.SZ,33,000055,15,装配式建筑;乡村振兴;建筑节能;房屋检测;物业管理;一带一路;光伏建筑一体化;数字经济;绿色电力;DeepSeek概念;粤港澳大湾区;高铁;AI应用;光伏概念;融资融券
001336.SZ,33,001336,10,新型城镇化;垃圾分类;污水处理;共同富裕示范区;固废处理;创投;碳中和;专精特新;储能;氢能源
688600.SH,17,688600,7,专精特新;DeepSeek概念;2025年报预增;医疗器械概念;可控核聚变;氢能源;融资融券
600281.SH,17,600281,4,金属回收;可降解塑料;国企改革;充电桩
600444.SH,17,600444,16,污水处理;水利;锂电池概念;海工装备;机器人概念;光热发电;氢能源;核电;动力电池回收;国企改革;芯片概念;可控核聚变;数据中心;央企国企改革;盐湖提锂;金属回收
301266.SZ,33,301266,8,HJT电池;BC电池;光伏概念;数据中心;专精特新;超导概念;硅能源;融资融券
603779.SH,17,603779,3,乡村振兴;白酒概念;农业种植
688110.SH,17,688110,12,汽车芯片;存储芯片;芯片概念;智能穿戴;消费电子概念;5G;安防;车联网(车路协同);专精特新;回购增持再贷款概念;沪股通;融资融券
002486.SZ,33,002486,4,露营经济;体育产业;医疗器械概念;人民币贬值受益
002715.SZ,33,002715,4,创投;比亚迪概念;新能源汽车;黄金概念
605378.SH,17,605378,6,锂电池概念;共同富裕示范区;长三角一体化;人民币贬值受益;工业互联网;沪股通
001387.SZ,33,001387,8,家用电器;参股银行;充电桩;小米概念;储能;汽车电子;PCB概念;融资融券
002396.SZ,33,002396,32,F5G概念;WiFi 6;共封装光学(CPO);5G;数据中心;网络安全;信创;华为概念;阿里巴巴概念;腾讯概念;抖音概念(字节概念);车联网(车路协同);物联网;数字货币;移动支付;鸿蒙概念;AIGC概念;人工智能;DeepSeek概念;机器人概念;在线教育;互联网金融;脑机接口;智能家居;海峡两岸;福建自贸区;AI应用;文化传媒概念;国企改革;深股通;融资融券;证金持股
688393.SH,17,688393,5,人工智能;腾讯概念;华为概念;肝炎概念;融资融券
603998.SH,17,603998,11,医药电商;仿制药一致性评价;流感;肝炎概念;创新药;合成生物;民营医院;眼科医疗;三胎概念;工业大麻;养老概念
002970.SZ,33,002970,23,EDR概念;星闪概念;汽车电子;机器视觉;数据中心;专精特新;毫米波雷达;智能座舱;无人驾驶;比亚迪概念;新能源汽车;垃圾分类;车联网(车路协同);卫星导航;物联网;人脸识别;人工智能;多模态AI;鸿蒙概念;智能物流;云计算;一带一路;深股通
600955.SH,17,600955,4,环氧丙烷;消毒剂;锂电池概念;沪股通
300910.SZ,33,300910,3,人民币贬值受益;深股通;融资融券
002443.SZ,33,002443,9,石墨烯;氢能源;核电;回购增持再贷款概念;水利;新型城镇化;国企改革;地下管网;天然气
301575.SZ,33,301575,11,注册制次新股;智能物流;家用电器;人民币贬值受益;智能家居;跨境电商;一带一路;石墨烯;深股通;新股与次新股;融资融券
605155.SH,17,605155,6,体育产业;跨境电商;建筑节能;中俄贸易概念;人民币贬值受益;智能家居
688275.SH,17,688275,14,钠离子电池;固态电池;宁德时代概念;磷化工;锂电池概念;储能;碳中和;比亚迪概念;新能源汽车;充电桩;专精特新;污水处理;沪股通;融资融券
002672.SZ,33,002672,21,医疗废物处理;广东自贸区;生物质能发电;土壤修复;金属回收;PPP概念;固废处理;碳中和;汽车拆解概念;磷化工;污水处理;垃圾分类;国企改革;金属铜;黄金概念;金属锌;氟化工概念;粤港澳大湾区;DeepSeek概念;深股通;融资融券
301233.SZ,33,301233,28,农机;专精特新;新能源汽车;比亚迪概念;减速器;PEEK材料;低空经济;碳纤维;无人机;核污染防治;军工;有机硅概念;储能;大飞机;成飞概念;海工装备;航空发动机;核电;军民融合;光伏概念;智能电网;商业航天;风电;锂电池概念;西部大开发;氢能源;股权转让(并购重组);融资融券
601600.SH,17,601600,13,中字头股票;小金属概念;稀土永磁;俄乌冲突概念;2026一季报预增;同花顺中特估100;央企国企改革;锂电池概念;国企改革;风电;乡村振兴;沪股通;融资融券
300425.SZ,33,300425,13,污水处理;PPP概念;净水概念;土壤修复;新型城镇化;固废处理;国企改革;西部大开发;央企国企改革;智慧城市;高端装备;专精特新;中字头股票
688173.SH,17,688173,22,汽车芯片;芯片概念;AI手机;智能座舱;小米概念;AI眼镜;消费电子概念;汽车电子;智能穿戴;传感器;无线充电;华为概念;专精特新;机器人概念;智能家居;东数西算(算力);粤港澳大湾区;人民币贬值受益;锂电池概念;股权转让(并购重组);沪股通;融资融券
002724.SZ,33,002724,9,无人机;物联网;智慧城市;军工;粤港澳大湾区;智慧灯杆;核电;证金持股;深股通
002079.SZ,33,002079,27,HJT电池;BC电池;钙钛矿电池;TOPCON电池;第三代半导体;先进封装;光伏概念;汽车芯片;芯片概念;传感器;消费电子概念;人形机器人;苹果概念;比亚迪概念;智能穿戴;汽车电子;小米概念;无线耳机;虚拟现实;5G;华为概念;物联网;储能;创投;深股通;融资融券;股权转让(并购重组)
688693.SH,17,688693,8,汽车芯片;第三代半导体;芯片概念;专精特新;无人机;充电桩;智能电网;融资融券
301507.SZ,33,301507,8,医美概念;医药电商;毛发医疗;维生素;医疗器械概念;共同富裕示范区;深股通;融资融券
300851.SZ,33,300851,3,高铁;比亚迪概念;无人驾驶
301446.SZ,33,301446,4,数据中心;风电;农机;融资融券
300173.SZ,33,300173,21,新型工业化;粤港澳大湾区;新能源汽车;高端装备;机器视觉;储能;ST板块;锂电池概念;宁德时代概念;石墨烯;华为概念;固态电池;数字经济;消费电子概念;国企改革;无线耳机;钠离子电池;数据要素;网络安全;数据中心;算力租赁
600231.SH,17,600231,7,特钢概念;国企改革;央企国企改革;回购增持再贷款概念;天然气;沪股通;融资融券
603668.SH,17,603668,9,C2M概念;海峡两岸;养鸡;福建自贸区;回购增持再贷款概念;预制菜;乡村振兴;沪股通;融资融券
603203.SH,17,603203,27,共封装光学(CPO);富士康概念;先进封装;PCB概念;苹果概念;液冷服务器;OLED;汽车电子;第三代半导体;存储芯片;芯片概念;AI眼镜;无线耳机;中芯国际概念;智能穿戴;比亚迪概念;新型工业化;机器视觉;新能源汽车;宁德时代概念;专精特新;华为概念;机器人概念;高端装备;工业互联网;人工智能;沪股通
000422.SZ,33,000422,15,磷化工;化肥;煤化工概念;煤炭概念;氟化工概念;可降解塑料;国企改革;回购增持再贷款概念;乡村振兴;宁德时代概念;光刻胶;华为概念;股权转让(并购重组);融资融券;深股通
603385.SH,17,603385,3,装配式建筑;雄安新区;智能家居
002068.SZ,33,002068,8,PVDF概念;锂电池概念;固态电池;回购增持再贷款概念;碳中和;国企改革;深股通;融资融券
002022.SZ,33,002022,7,猴痘概念;流感;肝炎概念;宠物经济;医疗器械概念;食品安全;智能医疗
300323.SZ,33,300323,14,MicroLED概念;MiniLED;第三代半导体;AI眼镜;智能穿戴;消费电子概念;汽车电子;芯片概念;华为概念;虚拟现实;国企改革;深股通;共封装光学(CPO);融资融券
688067.SH,17,688067,10,医疗器械概念;三胎概念;专精特新;辅助生殖;智能医疗;人工智能;机器视觉;幽门螺杆菌概念;医药电商;融资融券
002295.SZ,33,002295,6,金属铜;数字经济;国企改革;储能;虚拟电厂;股权转让(并购重组)
600986.SH,17,600986,32,小红书概念;快手概念;短剧游戏;Web3.0;AIGC概念;虚拟数字人;AI应用;多模态AI;抖音概念(字节概念);文化传媒概念;NFT概念;AI智能体;算力租赁;腾讯概念;百度概念;阿里巴巴概念;蚂蚁集团概念;网红经济;手机游戏;元宇宙;电子竞技;DeepSeek概念;数字经济;东数西算(算力);独角兽概念;人工智能;华为概念;小米概念;长安汽车概念;国企改革;沪股通;融资融券
000697.SZ,33,000697,8,军工;大飞机;航空发动机;西部大开发;国企改革;无人机;ST板块;人民币贬值受益
002722.SZ,33,002722,11,创投;燃料电池;高端装备;国企改革;独角兽概念;人工智能;氢能源;语音技术;特钢概念;AIGC概念;ChatGPT概念
002597.SZ,33,002597,9,代糖概念;煤化工概念;生物质能发电;合成生物;锂电池概念;固态电池;光伏概念;深股通;融资融券
301135.SZ,33,301135,29,家用电器;物联网;传感器;智能家居;机器人概念;汽车电子;工业互联网;人脸识别;消费电子概念;语音技术;空气能热泵;医疗器械概念;海峡两岸;毫米波雷达;芯片概念;PCB概念;人工智能;充电桩;三胎概念;储能;养老概念;智能医疗;腾讯概念;宠物经济;DeepSeek概念;锂电池概念;AI智能体;回购增持再贷款概念;融资融券
000868.SZ,33,000868,6,国企改革;燃料电池;新能源汽车;无人驾驶;融资融券;深股通
301519.SZ,33,301519,12,新型城镇化;净水概念;污水处理;地下管网;PPP概念;乡村振兴;水利;京津冀一体化;智慧城市;回购增持再贷款概念;专精特新;融资融券
688013.SH,17,688013,5,医疗器械概念;智能医疗;专精特新;2025年报预增;融资融券
003003.SZ,33,003003,4,跨境电商;可降解塑料;冷链物流;工业互联网
300632.SZ,33,300632,35,PET铜箔;MiniLED;先进封装;PCB概念;柔性屏(折叠屏);富士康概念;OLED;第三代半导体;汽车电子;消费电子概念;AI眼镜;芯片概念;5G;无线耳机;智能穿戴;传感器;人形机器人;比亚迪概念;固态电池;无人驾驶;脑机接口;无人机;机器人概念;医美概念;福建自贸区;锂电池概念;海峡两岸;家用电器;人民币贬值受益;充电桩;储能;鸿蒙概念;一带一路;养老概念;消毒剂
000731.SZ,33,000731,10,化肥;磷化工;民爆概念;天然气;央企国企改革;国企改革;西部大开发;乡村振兴;融资融券;AI智能体
603730.SH,17,603730,8,特斯拉概念;比亚迪概念;新能源汽车;长安汽车概念;上海自贸区;人民币贬值受益;沪股通;融资融券
600750.SH,17,600750,11,高股息精选;医药电商;证金持股;白酒概念;沪股通;融资融券;参股银行;国企改革;央企国企改革;回购增持再贷款概念;数字经济
603023.SH,17,603023,11,EDR概念;智能座舱;汽车电子;传感器;新能源汽车;车联网(车路协同);无人驾驶;黑龙江自贸区;国企改革;股权转让(并购重组);摘帽
603077.SH,17,603077,21,草甘膦;磷化工;金属铅;金属锌;化肥;金属铜;稀土永磁;黄金概念;硅能源;锂电池概念;光伏概念;回购增持再贷款概念;绿色电力;西部大开发;天然气;一带一路;TOPCON电池;建筑节能;参股银行;沪股通;融资融券
000977.SZ,33,000977,25,中国AI 50;算力租赁;英伟达概念;东数西算(算力);液冷服务器;国产操作系统;信创;云计算;抖音概念(字节概念);数据中心;百度概念;腾讯概念;国资云;车联网(车路协同);元宇宙;智慧城市;AIGC概念;DeepSeek概念;人工智能;无人驾驶;水利;回购增持再贷款概念;国企改革;深股通;融资融券
300535.SZ,33,300535,8,染料;有机硅概念;专精特新;新型工业化;一带一路;高端装备;充电桩;西部大开发
300970.SZ,33,300970,4,合成生物;农业种植;乡村振兴;融资融券
301156.SZ,33,301156,7,合成生物;维生素;宠物经济;中俄贸易概念;一带一路;俄乌冲突概念;融资融券
603215.SH,17,603215,10,网红经济;人工智能;家用电器;共同富裕示范区;智能家居;机器人概念;小米概念;人民币贬值受益;一带一路;AI眼镜
002098.SZ,33,002098,4,网红经济;跨境电商;海峡两岸;跨境支付(CIPS)
920454.BJ,151,920454,4,专精特新;机器人概念;融资融券;中俄贸易概念
002492.SZ,33,002492,4,横琴新区;创投;统一大市场;粤港澳大湾区
301079.SZ,33,301079,15,商业航天;军工;高铁;海工装备;核电;机器人概念;水利;专精特新;比亚迪概念;一带一路;风电;抽水蓄能;锂电池概念;股权转让(并购重组);融资融券
603065.SH,17,603065,3,职业教育;专精特新;光伏概念
600218.SH,17,600218,13,新能源汽车;农机;燃料电池;减速器;氢能源;工业互联网;中俄贸易概念;钒电池;光伏建筑一体化;地下管网;乡村振兴;国企改革;融资融券
002437.SZ,33,002437,11,仿制药一致性评价;创新药;医药电商;肝炎概念;维生素;民营医院;基因测序;黑龙江自贸区;2025年报预增;深股通;融资融券
003016.SZ,33,003016,10,跨境电商;网红经济;智能物流;IP经济(谷子经济);福建自贸区;海峡两岸;数字经济;流感;数据要素;腾讯概念
300750.SZ,33,300750,17,钠离子电池;动力电池回收;固态电池;同花顺漂亮100;锂电池概念;宁德时代概念;储能;长安汽车概念;华为汽车;特斯拉概念;小米汽车;换电概念;新能源汽车;同花顺出海50;同花顺新质50;融资融券;深股通
688619.SH,17,688619,22,网络安全;信创;量子科技;虚拟现实;机器视觉;人脸识别;物联网;安防;智慧城市;多模态AI;智慧灯杆;专精特新;军工;人工智能;机器人概念;海峡两岸;福建自贸区;海工装备;智能医疗;土壤修复;AI应用;融资融券
600763.SH,17,600763,10,牙科医疗;民营医院;眼科医疗;医美概念;辅助生殖;智能医疗;AI应用;DeepSeek概念;沪股通;融资融券
300980.SZ,33,300980,16,柔性屏(折叠屏);华为概念;专精特新;足球概念;机器人概念;长安汽车概念;小米概念;消费电子概念;新能源汽车;人形机器人;建筑节能;有机硅概念;锂电池概念;2025年报预增;一带一路;融资融券
300899.SZ,33,300899,4,污水处理;净水概念;ST板块;上海自贸区
301230.SZ,33,301230,13,AI应用;CRO概念;智能医疗;ChatGPT概念;多模态AI;创新药;流感;合成生物;人工智能;医疗器械概念;2025年报预增;人民币贬值受益;融资融券
605003.SH,17,605003,2,人民币贬值受益;共同富裕示范区
600854.SH,17,600854,4,物业管理;家用电器;超超临界发电;军民融合
002705.SZ,33,002705,10,宠物经济;三胎概念;中俄贸易概念;家用电器;人民币贬值受益;智能家居;机器人概念;小米概念;融资融券;深股通
300289.SZ,33,300289,8,猴痘概念;辅助生殖;重组蛋白;生物疫苗;医疗器械概念;智能医疗;国企改革;股权转让(并购重组)
600561.SH,17,600561,6,物业管理;旅游概念;乡村振兴;网约车;国企改革;充电桩
000878.SZ,33,000878,9,黄金概念;金属铜;小金属概念;央企国企改革;西部大开发;国企改革;期货概念;深股通;融资融券
688020.SH,17,688020,11,PET铜箔;PCB概念;华为手机;先进封装;5G;消费电子概念;小米概念;专精特新;华为概念;稀土永磁;融资融券
002763.SZ,33,002763,1,跨境电商
600503.SH,17,600503,5,参股银行;创新药;石墨烯;机器人概念;融资融券
301072.SZ,33,301072,3,比亚迪概念;新能源汽车;融资融券
301300.SZ,33,301300,7,有机硅概念;专精特新;海峡两岸;2025年报预增;固废处理;硅能源;融资融券
688129.SH,17,688129,1,融资融券
603429.SH,22,603429,4,ST板块;烟草;新型烟草(电子烟);储能
002340.SZ,33,002340,33,金属钴;金属镍;小金属概念;金属铜;金属回收;稀土永磁;动力电池回收;黄金概念;钠离子电池;固态电池;锂电池概念;宁德时代概念;石墨烯;汽车拆解概念;回购增持再贷款概念;储能;特斯拉概念;固废处理;氢能源;燃料电池;比亚迪概念;新能源汽车;一带一路;专精特新;碳中和;污水处理;土壤修复;垃圾分类;机器人概念;低空经济;粤港澳大湾区;深股通;融资融券
603639.SH,17,603639,7,生态农业;化肥;乡村振兴;一带一路;DeepSeek概念;沪股通;融资融券
601515.SH,17,601515,15,烟草;PVDF概念;新型烟草(电子烟);PET铜箔;医疗器械概念;比亚迪概念;固态电池;创投;锂电池概念;宁德时代概念;钠离子电池;国企改革;沪股通;融资融券;股权转让(并购重组)
605089.SH,17,605089,3,预制菜;冷链物流;长三角一体化
001389.SZ,33,001389,20,共封装光学(CPO);PCB概念;富士康概念;AI PC;5G;消费电子概念;汽车电子;数据中心;商业航天;卫星导航;华为概念;机器人概念;粤港澳大湾区;安防;人民币贬值受益;2026一季报预增;人工智能;一带一路;深股通;融资融券
300106.SZ,33,300106,8,乳业;三胎概念;乡村振兴;养老概念;新疆振兴;国企改革;西部大开发;股权转让(并购重组)
603151.SH,17,603151,4,乡村振兴;回购增持再贷款概念;2025年报预增;股权转让(并购重组)
002855.SZ,33,002855,9,智能家居;虚拟现实;华为概念;智能穿戴;无线耳机;消费电子概念;储能;风电;深股通
002952.SZ,33,002952,13,电子纸;柔性屏(折叠屏);汽车电子;消费电子概念;虚拟现实;智能穿戴;智能家居;家用电器;充电桩;新能源汽车;人民币贬值受益;数字货币;数字经济
300923.SZ,33,300923,6,高铁;一带一路;无人驾驶;储能;电子纸;融资融券
605033.SH,17,605033,2,乡村振兴;西部大开发
300110.SZ,33,300110,8,仿制药一致性评价;医药电商;肝炎概念;猴痘概念;医美概念;医疗器械概念;国企改革;融资融券
600588.SH,17,600588,28,AI应用;ChatGPT概念;AIGC概念;ERP概念;AI智能体;华为鲲鹏;财税数字化;云计算;智慧政务;阿里巴巴概念;信创;鸿蒙概念;区块链;智能医疗;网络安全;DeepSeek概念;互联网金融;数字经济;中国AI 50;人工智能;华为概念;工业互联网;机器人概念;参股保险;参股银行;同花顺漂亮100;沪股通;融资融券
688350.SH,17,688350,5,污水处理;专精特新;盐湖提锂;氢能源;融资融券
300381.SZ,33,300381,6,维生素;合成生物;NMN概念;横琴新区;可降解塑料;粤港澳大湾区
300014.SZ,33,300014,28,钠离子电池;固态电池;动力电池回收;盐湖提锂;锂电池概念;两轮车;新型烟草(电子烟);储能;同花顺漂亮100;氢能源;无线耳机;燃料电池;新能源汽车;人形机器人;脑机接口;智能电网;长安汽车概念;深股通;融资融券;粤港澳大湾区;小米概念;飞行汽车(eVTOL);机器人概念;华为概念;无人机;低空经济;安防;商业航天
688581.SH,17,688581,5,医疗器械概念;人民币贬值受益;机器人概念;沪股通;融资融券
603029.SH,17,603029,6,供销社;农机;乡村振兴;新型工业化;专精特新;新疆振兴
300220.SZ,33,300220,10,无人零售;IP经济(谷子经济);专精特新;元宇宙;人民币贬值受益;区块链;高端装备;NFT概念;数据确权;3D打印
605189.SH,17,605189,6,染料;PEEK材料;2026一季报预增;储能;机器人概念;人形机器人
688310.SH,17,688310,4,专精特新;医疗器械概念;高端装备;融资融券
002848.SZ,33,002848,14,PCB概念;国企改革;智能家居;东数西算(算力);5G;ST板块;华为概念;MiniLED;数字经济;智慧城市;人工智能;医疗器械概念;军工;卫星导航
600863.SH,17,600863,10,高股息精选;煤炭概念;超超临界发电;绿色电力;央企国企改革;风电;国企改革;西部大开发;沪股通;融资融券
300072.SZ,33,300072,13,页岩气;天然气;氢能源;化肥;碳中和;生态农业;国企改革;PM2.5;京津冀一体化;乡村振兴;人民币贬值受益;深股通;融资融券
688098.SH,17,688098,6,动物疫苗;创新药;合成生物;宠物经济;回购增持再贷款概念;融资融券
000757.SZ,33,000757,8,长安汽车概念;西部大开发;工业互联网;华为汽车;新能源汽车;比亚迪概念;小米汽车;小米概念
002766.SZ,33,002766,11,数据要素;人工智能;车联网(车路协同);物联网;粤港澳大湾区;无人驾驶;智能座舱;人民币贬值受益;5G;消费电子概念;深股通
300538.SZ,33,300538,24,光刻胶;新能源汽车;小米概念;机器人概念;宁德时代概念;消费电子概念;粤港澳大湾区;芯片概念;PEEK材料;智能穿戴;无人机;低空经济;5G;PCB概念;华为概念;存储芯片;海峡两岸;PET铜箔;军工;创投;第三代半导体;储能;光伏概念;数字经济
603276.SH,17,603276,5,合成生物;生态农业;2025年报预增;锂电池概念;融资融券
301130.SZ,33,301130,11,维生素;阿尔茨海默概念;流感;仿制药一致性评价;创新药;肝炎概念;细胞免疫治疗;猴痘概念;三胎概念;养老概念;融资融券
300214.SZ,33,300214,8,丙烯酸;算力租赁;东数西算(算力);数据中心;液冷服务器;专精特新;DeepSeek概念;新疆振兴
688409.SH,17,688409,7,光刻机;芯片概念;专精特新;回购增持再贷款概念;DeepSeek概念;沪股通;融资融券
002648.SZ,33,002648,12,环氧丙烷;煤化工概念;丙烯酸;POE胶膜;氢能源;锂电池概念;燃料电池;长三角一体化;互联网金融;三胎概念;融资融券;深股通
003005.SZ,33,003005,25,在线教育;AIGC概念;Sora概念(文生视频);数据要素;多模态AI;职业教育;AI智能体;人工智能;数字孪生;智慧城市;百度概念;数据安全;DeepSeek概念;信创;车联网(车路协同);安防;物联网;京津冀一体化;虚拟现实;AI应用;东数西算(算力);传感器;专精特新;芯片概念;深股通
600137.SH,17,600137,1,西部大开发
002392.SZ,33,002392,12,小金属概念;芯片概念;特钢概念;人工智能;回购增持再贷款概念;锂电池概念;AI智能体;固态电池;中俄贸易概念;碳中和;参股券商;深股通
301589.SZ,33,301589,13,MicroLED概念;MiniLED;虚拟现实;芯片概念;智慧城市;人工智能;创投;足球概念;体育产业;回购增持再贷款概念;西部大开发;融资融券;深股通
001335.SZ,33,001335,4,染料;人民币贬值受益;一带一路;融资融券
603026.SH,17,603026,9,氟化工概念;锂电池概念;宁德时代概念;环氧丙烷;燃料电池;新能源汽车;国企改革;沪股通;融资融券
603776.SH,17,603776,15,芯片概念;物联网;无人驾驶;机器人概念;燃料电池;存储芯片;氢能源;两轮车;共享单车;蚂蚁集团概念;养老概念;旅游概念;沪股通;股权转让(并购重组);融资融券
001260.SZ,33,001260,5,长安汽车概念;华为汽车;小米汽车;比亚迪概念;小米概念
920405.BJ,151,920405,5,工业互联网;数据中心;融资融券;固态电池;储能
300623.SZ,33,300623,14,汽车芯片;中芯国际概念;第三代半导体;芯片概念;汽车电子;5G;专精特新;新能源汽车;高压快充;充电桩;柔性直流输电;深股通;股权转让(并购重组);融资融券
301533.SZ,33,301533,11,乡村振兴;农机;跨境电商;人民币贬值受益;水利;冰雪产业;一带一路;专精特新;西部大开发;无人驾驶;融资融券
