所属概念数量,code,所属概念,market_code,股票代码
27.0,300271,数据确权;DRG/DIP;智谱AI;ChatGPT概念;财税数字化;智慧政务;华为鲲鹏;蚂蚁集团概念;在线教育;数据安全;AI智能体;数据要素;区块链;信创;腾讯概念;百度概念;阿里巴巴概念;抖音概念(字节概念);互联网金融;职业教育;DeepSeek概念;人工智能;语音技术;AI应用;华为概念;深股通;融资融券,33,300271.SZ
3.0,688670,生物疫苗;流感;融资融券,17,688670.SH
28.0,002682,航运概念;天然气;统一大市场;网约车;新疆振兴;冷链物流;农村电商;乡村振兴;海峡两岸;国企改革;ETC;职业教育;一带一路;垃圾分类;水利;污水处理;卫星导航;智慧城市;氢能源;车联网(车路协同);军工;燃料电池;人工智能;机器人概念;新能源汽车;充电桩;储能;宁德时代概念,33,002682.SZ
12.0,600237,PET铜箔;柔性直流输电;高压快充;华为数字能源;光伏概念;可控核聚变;宁德时代概念;新能源汽车;风电;回购增持再贷款概念;国企改革;融资融券,17,600237.SH
10.0,688585,人形机器人;机器人概念;燃料电池;一带一路;风电;氢能源;可降解塑料;沪股通;股权转让(并购重组);融资融券,17,688585.SH
32.0,002401,统一大市场;航运概念;自由贸易港;跨境电商;数字经济;Web3.0;区块链;国资云;ETC;数据要素;上海自贸区;AI智能体;华为鲲鹏;智慧城市;DeepSeek概念;ChatGPT概念;信创;人工智能;阿里巴巴概念;云计算;智能物流;安防;国企改革;碳中和;碳交易;华为概念;机器视觉;数据中心;央企国企改革;融资融券;深股通;中字头股票,33,002401.SZ
25.0,001314,空间计算;多模态AI;鸿蒙概念;物联网;元宇宙;数字货币;DeepSeek概念;人工智能;智能音箱;AI PC;AIGC概念;虚拟现实;MR(混合现实);机器人概念;电子竞技;智能穿戴;智能家居;专精特新;AI眼镜;粤港澳大湾区;消费电子概念;2025年报预增;先进封装;PCB概念;深股通,33,001314.SZ
17.0,002249,人形机器人;长安汽车概念;家用电器;机器人概念;新能源汽车;比亚迪概念;充电桩;粤港澳大湾区;燃料电池;储能;风电;数据中心;回购增持再贷款概念;氢能源;AIGC概念;深股通;融资融券,33,002249.SZ
25.0,600060,高股息精选;智能家居;家用电器;MCU芯片;数字经济;人工智能;元宇宙;虚拟数字人;DeepSeek概念;商业航天;沪股通;融资融券;虚拟现实;机器人概念;AI智能体;数据要素;多模态AI;智能穿戴;AI眼镜;汽车电子;MiniLED;MR(混合现实);MicroLED概念;消费电子概念;芯片概念,17,600060.SH
33.0,301316,财税数字化;云计算;华为海思概念股;信创;车联网(车路协同);智能音箱;5G;多模态AI;华为概念;阿里巴巴概念;百度概念;AI智能体;物联网;智能穿戴;ChatGPT概念;虚拟现实;数据要素;芯片概念;小米概念;抖音概念(字节概念);机器视觉;DeepSeek概念;人工智能;AIGC概念;数字经济;小米汽车;互联网金融;智能医疗;小红书概念;AI应用;股权转让(并购重组);深股通;融资融券,33,301316.SZ
15.0,600499,盐湖提锂;光伏建筑一体化;锂电池概念;人民币贬值受益;新型工业化;宁德时代概念;同花顺出海50;储能;高端装备;机器人概念;一带一路;充电桩;海工装备;沪股通;融资融券,17,600499.SH
9.0,301377,PCB概念;2025年报预增;工业母机;机器视觉;粤港澳大湾区;机器人概念;高端装备;深股通;融资融券,33,301377.SZ
10.0,600287,跨境电商;参股银行;参股保险;参股券商;国企改革;一带一路;人民币贬值受益;数字经济;期货概念;摘帽,17,600287.SH
6.0,603029,供销社;农机;乡村振兴;新型工业化;专精特新;新疆振兴,17,603029.SH
18.0,300590,车联网(车路协同);信创;智慧城市;AI智能体;人工智能;物联网;无人驾驶;WiFi 6;卫星导航;工业互联网;5G;智能座舱;智能物流;专精特新;芯片概念;人民币贬值受益;两轮车;深股通,33,300590.SZ
18.0,603126,生物质能发电;光伏建筑一体化;光热发电;绿色电力;固废处理;碳交易;储能;建筑节能;雄安新区;碳中和;一带一路;央企国企改革;京津冀一体化;工业互联网;国企改革;2025年报预增;中字头股票;融资融券,17,603126.SH
6.0,605189,染料;PEEK材料;2026一季报预增;储能;机器人概念;人形机器人,17,605189.SH
13.0,000735,猪肉;海南自贸区;养鸡;生态农业;乡村振兴;动物疫苗;冷链物流;自由贸易港;统一大市场;宠物经济;职业教育;深股通;融资融券,33,000735.SZ
7.0,002572,高股息精选;参股券商;养老概念;深股通;智能家居;虚拟现实;融资融券,33,002572.SZ
5.0,301279,减速器;共同富裕示范区;人形机器人;绿色电力;融资融券,33,301279.SZ
19.0,300532,智能物流;新型工业化;区块链;数字孪生;机器视觉;华为鲲鹏;工业互联网;机器人概念;华为概念;比亚迪概念;特斯拉概念;5G;一带一路;统一大市场;储能;宁德时代概念;高股息精选;股权转让(并购重组);深股通,33,300532.SZ
14.0,600517,智能电网;特高压;钒电池;碳交易;储能;碳中和;央企国企改革;国企改革;物联网;参股券商;期货概念;信托概念;沪股通;融资融券,17,600517.SH
12.0,000816,小金属概念;金属铜;金属铅;金属锌;农村电商;盐湖提锂;乡村振兴;农机;储能;数字乡村;减速器;融资融券,33,000816.SZ
30.0,300579,数字货币;数据确权;电子身份证;财税数字化;智慧政务;数据安全;华为鲲鹏;信创;区块链;云计算;网络安全;鸿蒙概念;在线教育;知识产权保护;互联网金融;DRG/DIP;阿里巴巴概念;数字经济;车联网(车路协同);东数西算(算力);量子科技;星闪概念;华为概念;京津冀一体化;雄安新区;芯片概念;国企改革;股权转让(并购重组);融资融券;深股通,33,300579.SZ
8.0,603010,新能源汽车;比亚迪概念;芯片概念;磷化工;锂电池概念;合成生物;融资融券;沪股通,17,603010.SH
12.0,603683,固态电池;锂电池概念;宁德时代概念;新能源汽车;石墨烯;AI手机;机器人概念;传感器;消费电子概念;柔性屏(折叠屏);创投;沪股通,17,603683.SH
16.0,002947,苹果概念;柔性屏(折叠屏);无线耳机;消费电子概念;AI PC;智能穿戴;5G;虚拟现实;比亚迪概念;新能源汽车;数据中心;东数西算(算力);储能;人民币贬值受益;深股通;融资融券,33,002947.SZ
14.0,300358,净水概念;机器人概念;人工智能;细胞免疫治疗;智能医疗;智能物流;AI智能体;污水处理;DeepSeek概念;合成生物;海峡两岸;高端装备;融资融券;深股通,33,300358.SZ
7.0,002513,生态农业;草甘膦;染料;绿色电力;光伏概念;人民币贬值受益;TOPCON电池,33,002513.SZ
13.0,600684,冰雪产业;物业管理;体育产业;家庭医生;养老概念;三胎概念;土壤修复;国企改革;粤港澳大湾区;智慧城市;2025年报预增;AI应用;融资融券,17,600684.SH
27.0,920932,AI应用;钠离子电池;融资融券;碳中和;知识产权保护;物联网;机器视觉;机器人概念;智慧政务;无人驾驶;智慧城市;新型工业化;数字经济;换电概念;工业互联网;华为鲲鹏;华为盘古;华为概念;充电桩;储能;信创;人形机器人;人工智能;专精特新;ERP概念;DeepSeek概念;5G,151,920932.BJ
16.0,300112,物联网;新型工业化;专精特新;机器人概念;传感器;机器视觉;华为概念;人工智能;新能源汽车;工业母机;毫米波雷达;军工;光热发电;核电;氢能源;太赫兹,33,300112.SZ
8.0,603213,消毒剂;共同富裕示范区;国企改革;氢能源;石墨烯;工业互联网;沪股通;股权转让(并购重组),17,603213.SH
23.0,300895,算力租赁;国资云;数据确权;云计算;数据安全;网络安全;东数西算(算力);抖音概念(字节概念);阿里巴巴概念;数据要素;电力物联网;量子科技;数据中心;数字孪生;DeepSeek概念;数字经济;华为概念;物联网;京津冀一体化;核电;国企改革;深股通;融资融券,33,300895.SZ
4.0,000720,光纤概念;国企改革;央企国企改革;物业管理,33,000720.SZ
13.0,002888,跨境电商;粤港澳大湾区;智能家居;物联网;横琴新区;2025年报预增;华为概念;星闪概念;智能音箱;汽车电子;消费电子概念;无线耳机;绿色电力,33,002888.SZ
10.0,002791,雄安新区;光伏建筑一体化;垃圾分类;海峡两岸;粤港澳大湾区;智能家居;光伏概念;充电桩;融资融券;深股通,33,002791.SZ
10.0,300295,租售同权;养老概念;文化传媒概念;数据要素;互联网金融;AI智能体;人工智能;DeepSeek概念;AI应用;ST板块,33,300295.SZ
15.0,300566,MiniLED;柔性屏(折叠屏);OLED;AI眼镜;富士康概念;智能穿戴;虚拟现实;小米概念;华为概念;光伏概念;锂电池概念;TOPCON电池;POE胶膜;深股通;融资融券,33,300566.SZ
7.0,300969,人形机器人;汽车热管理;比亚迪概念;新能源汽车;无人驾驶;深股通;融资融券,33,300969.SZ
18.0,300484,新型工业化;比亚迪概念;粤港澳大湾区;智能物流;人形机器人;专精特新;传感器;新能源汽车;飞行汽车(eVTOL);创投;低空经济;数字孪生;燃料电池;锂电池概念;2025年报预增;高压快充;MCU芯片;融资融券,33,300484.SZ
2.0,002936,深股通;融资融券,33,002936.SZ
11.0,605001,高铁;高压氧舱;养老概念;一带一路;医美概念;机器人概念;新能源汽车;碳纤维;比亚迪概念;储能;芯片概念,17,605001.SH
4.0,603518,三胎概念;露营经济;网红经济;IP经济(谷子经济),17,603518.SH
9.0,688652,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,17,688652.SH
6.0,300707,新型工业化;特斯拉概念;新能源汽车;储能;2025年报预增;锂电池概念,33,300707.SZ
23.0,000021,存储芯片;先进封装;第三代半导体;芯片概念;汽车电子;共封装光学(CPO);超级电容;新能源汽车;无人机;机器人概念;物联网;人民币贬值受益;智能电网;储能;智能物流;区块链;数字经济;虚拟电厂;医疗器械概念;央企国企改革;国企改革;深股通;融资融券,33,000021.SZ
14.0,688239,航空发动机;大飞机;商业航天;低空经济;高端装备;海工装备;核电;专精特新;DeepSeek概念;风电;锂电池概念;西部大开发;沪股通;融资融券,17,688239.SH
8.0,301336,小米概念;小米汽车;智能家居;华为概念;露营经济;人工智能;西部大开发;融资融券,33,301336.SZ
6.0,603609,猪肉;养鸡;生态农业;宠物经济;沪股通;融资融券,17,603609.SH
15.0,300221,碳纤维;无人机;3D打印;新型烟草(电子烟);5G;机器人概念;PCB概念;消费电子概念;新能源汽车;OLED;网约车;创投;2025年报预增;可降解塑料;NMN概念,33,300221.SZ
17.0,600996,算力租赁;云计算;文化传媒概念;数字乡村;DeepSeek概念;智能医疗;人工智能;物联网;旅游概念;华为概念;数据中心;5G;智能家居;西部大开发;国企改革;沪股通;融资融券,17,600996.SH
17.0,300806,富士康概念;PCB概念;苹果概念;光刻胶;消费电子概念;柔性屏(折叠屏);汽车电子;无线耳机;专精特新;虚拟现实;华为概念;特斯拉概念;新能源汽车;储能;石墨烯;氢能源;深股通,33,300806.SZ
14.0,000898,特钢概念;煤化工概念;金属回收;央企国企改革;国企改革;证金持股;回购增持再贷款概念;氢能源;海工装备;数据要素;比亚迪概念;深股通;融资融券;数据中心,33,000898.SZ
3.0,600493,创投;人民币贬值受益;海峡两岸,17,600493.SH
49.0,300188,Sora概念(文生视频);知识产权保护;数据确权;数据安全;华为鲲鹏;电子身份证;财税数字化;ChatGPT概念;鸿蒙概念;AIGC概念;国资云;AI智能体;数字货币;信创;网络安全;腾讯概念;阿里巴巴概念;元宇宙;区块链;数据要素;国产操作系统;人脸识别;数字乡村;车联网(车路协同);EDR概念;DeepSeek概念;职业教育;数字经济;东数西算(算力);人工智能;智慧城市;安防;华为概念;低空经济;数据中心;智能穿戴;无人机;机器人概念;AI应用;食品安全;军工;AI眼镜;福建自贸区;消费电子概念;海峡两岸;国企改革;央企国企改革;深股通;融资融券,33,300188.SZ
16.0,300562,智能医疗;养老概念;AI应用;三胎概念;无人零售;医疗器械概念;血氧仪;体育产业;人工智能;区块链;华为概念;人民币贬值受益;智能穿戴;传感器;无线耳机;芯片概念,33,300562.SZ
10.0,300718,人形机器人;特斯拉概念;汽车热管理;机器人概念;专精特新;长三角一体化;核电;风电;融资融券;深股通,33,300718.SZ
5.0,603816,高股息精选;跨境电商;智能家居;沪股通;融资融券,17,603816.SH
13.0,688030,数据安全;信创;网络安全;AI智能体;阿里巴巴概念;DeepSeek概念;华为概念;工业互联网;量子科技;AI应用;比亚迪概念;芯片概念;融资融券,17,688030.SH
7.0,600975,猪肉;冷链物流;乡村振兴;国企改革;华为概念;沪股通;融资融券,17,600975.SH
9.0,002737,医药电商;流感;创新药;肝炎概念;维生素;三胎概念;黑龙江自贸区;深股通;融资融券,33,002737.SZ
14.0,002863,中俄贸易概念;一体化压铸;长三角一体化;长安汽车概念;华为汽车;一带一路;回购增持再贷款概念;新能源汽车;机器人概念;比亚迪概念;两轮车;光伏概念;数字经济;融资融券,33,002863.SZ
10.0,000603,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;2026一季报预增;文化传媒概念;深股通;融资融券,33,000603.SZ
5.0,002946,乳业;西部大开发;绿色电力;融资融券;深股通,33,002946.SZ
4.0,603801,智能家居;工业互联网;阿里巴巴概念;沪股通,17,603801.SH
9.0,600505,绿色电力;风电;国企改革;充电桩;西部大开发;央企国企改革;光伏概念;沪股通;融资融券,17,600505.SH
6.0,601616,智能电网;充电桩;风电;绿色电力;数据中心;腾讯概念,17,601616.SH
5.0,002919,虚拟现实;网络游戏;手机游戏;元宇宙;抖音概念(字节概念),33,002919.SZ
11.0,301039,冷链物流;氢能源;高端装备;统一大市场;人民币贬值受益;智能物流;新能源汽车;无人驾驶;华为概念;融资融券;深股通,33,301039.SZ
6.0,688486,汽车芯片;英伟达概念;芯片概念;无人机;沪股通;融资融券,17,688486.SH
4.0,600281,金属回收;可降解塑料;国企改革;充电桩,17,600281.SH
7.0,002831,液冷服务器;可降解塑料;机器人概念;深股通;宠物经济;高股息精选;融资融券,33,002831.SZ
29.0,603679,智慧灯杆;智慧城市;数据要素;物联网;智能家居;数字孪生;车联网(车路协同);腾讯概念;华为概念;人工智能;创投;DeepSeek概念;智慧政务;AI智能体;换电概念;低空经济;东数西算(算力);华为数字能源;虚拟数字人;无人驾驶;储能;新能源汽车;数据中心;充电桩;锂电池概念;虚拟电厂;卫星导航;西部大开发;AI应用,17,603679.SH
4.0,002905,文化传媒概念;职业教育;虚拟现实;粤港澳大湾区,33,002905.SZ
7.0,301539,比亚迪概念;新能源汽车;专精特新;飞行汽车(eVTOL);低空经济;商业航天;融资融券,33,301539.SZ
7.0,300536,东数西算(算力);算力租赁;芯片概念;新型城镇化;垃圾分类;PPP概念;摘帽,33,300536.SZ
8.0,603758,长安汽车概念;人形机器人;新能源汽车;传感器;消费电子概念;西部大开发;沪股通;融资融券,17,603758.SH
6.0,920866,融资融券;粮食概念;玉米;数字经济;农业种植;乡村振兴,151,920866.BJ
6.0,688233,存储芯片;芯片概念;专精特新;2025年报预增;沪股通;融资融券,17,688233.SH
8.0,600843,低空经济;碳纤维;工业互联网;机器人概念;新型工业化;比亚迪概念;沪股通;融资融券,17,600843.SH
10.0,920871,消费电子概念;无人机;数据中心;3D打印;锂电池概念;风电;融资融券;海工装备;固态电池;军工,151,920871.BJ
3.0,301192,专精特新;新能源汽车;融资融券,33,301192.SZ
4.0,600605,租售同权;物业管理;芯片概念;沪股通,17,600605.SH
7.0,301201,细胞免疫治疗;创新药;肝炎概念;CRO概念;合成生物;专精特新;融资融券,33,301201.SZ
4.0,003030,人造肉;宠物经济;共同富裕示范区;网红经济,33,003030.SZ
12.0,600256,俄乌冲突概念;页岩气;煤化工概念;煤炭概念;天然气;新疆振兴;氢能源;碳中和;西部大开发;融资融券;一带一路;沪股通,17,600256.SH
10.0,600649,租售同权;物业管理;参股券商;参股银行;上海国企改革;新型城镇化;国企改革;沪股通;融资融券;宁德时代概念,17,600649.SH
14.0,601888,免税店;旅游概念;自由贸易港;同花顺漂亮100;数字经济;跨境电商;证金持股;国企改革;沪股通;融资融券;同花顺中特估100;央企国企改革;一带一路;中字头股票,17,601888.SH
5.0,601865,光伏概念;一带一路;长三角一体化;融资融券;沪股通,17,601865.SH
9.0,301559,智能物流;一带一路;物联网;人民币贬值受益;核电;医疗器械概念;天然气;深股通;融资融券,33,301559.SZ
6.0,600727,化肥;钛白粉概念;磷化工;水泥概念;国企改革;2026一季报预增,17,600727.SH
6.0,600054,旅游概念;参股券商;国企改革;区块链;DeepSeek概念;沪股通,17,600054.SH
13.0,601600,中字头股票;小金属概念;稀土永磁;俄乌冲突概念;2026一季报预增;同花顺中特估100;央企国企改革;锂电池概念;国企改革;风电;乡村振兴;沪股通;融资融券,17,601600.SH
11.0,600121,煤炭概念;国企改革;工业互联网;DeepSeek概念;机器人概念;数据要素;安防;东数西算(算力);信创;沪股通;融资融券,17,600121.SH
7.0,301288,新型城镇化;污水处理;粤港澳大湾区;专精特新;ST板块;金属镍;金属回收,33,301288.SZ
15.0,300836,PCB概念;机器视觉;传感器;苹果概念;新型工业化;商业航天;机器人概念;新能源汽车;2025年报预增;工业互联网;人工智能;充电桩;数字经济;绿色电力;民爆概念,33,300836.SZ
19.0,688521,智能音箱;国家大基金持股;汽车芯片;先进封装;AI手机;MCU芯片;东数西算(算力);阿里巴巴概念;AI眼镜;芯片概念;腾讯概念;虚拟现实;无人驾驶;数字货币;人工智能;物联网;上海自贸区;沪股通;融资融券,17,688521.SH
40.0,300075,智慧政务;区块链;鸿蒙概念;数据要素;AI智能体;华为鲲鹏;AIGC概念;信创;智谱AI;多模态AI;阿里巴巴概念;腾讯概念;元宇宙;数字经济;华为昇腾;DeepSeek概念;时空大数据;人工智能;智慧城市;ETC;数字孪生;车联网(车路协同);智能医疗;安防;虚拟现实;华为概念;京津冀一体化;AI应用;机器视觉;低空经济;无人驾驶;卫星导航;机器人概念;雄安新区;AI眼镜;人形机器人;垃圾分类;地下管网;深股通;融资融券,33,300075.SZ
9.0,600217,供销社;西部大开发;固废处理;金属回收;垃圾分类;动力电池回收;金属铜;沪股通;融资融券,17,600217.SH
25.0,300019,有机硅概念;硅能源;锂电池概念;光伏概念;固态电池;宁德时代概念;比亚迪概念;芯片概念;新能源汽车;高铁;可控核聚变;水利;装配式建筑;军工;核电;雄安新区;特高压;小米概念;5G;西部大开发;无人机;长安汽车概念;商业航天;深股通;融资融券,33,300019.SZ
7.0,603101,物业管理;预制菜;抖音概念(字节概念);低空经济;一带一路;西部大开发;新疆振兴,17,603101.SH
13.0,001386,旅游概念;乡村振兴;参股银行;AIGC概念;人工智能;生物质能发电;固废处理;绿色电力;粤港澳大湾区;注册制次新股;深股通;新股与次新股;融资融券,33,001386.SZ
7.0,601008,航运概念;中韩自贸区;中俄贸易概念;国企改革;一带一路;沪股通;融资融券,17,601008.SH
12.0,300030,细胞免疫治疗;智能医疗;家庭医生;医疗器械概念;数据要素;人工智能;DeepSeek概念;横琴新区;粤港澳大湾区;云计算;PPP概念;国企改革,33,300030.SZ
41.0,600633,Sora概念(文生视频);AIGC概念;AI应用;数据确权;多模态AI;NFT概念;云计算;文化传媒概念;手机游戏;AI智能体;华为昇腾;阿里巴巴概念;腾讯概念;算力租赁;智慧政务;网络游戏;百度概念;电子竞技;数据要素;区块链;鸿蒙概念;元宇宙;DeepSeek概念;智能医疗;数字经济;东数西算(算力);人工智能;独角兽概念;智慧城市;旅游概念;华为概念;养老概念;数据中心;体育产业;创投;共同富裕示范区;国企改革;证金持股;绿色电力;沪股通;融资融券,17,600633.SH
9.0,688093,苹果概念;OLED;消费电子概念;新能源汽车;专精特新;华为概念;回购增持再贷款概念;沪股通;融资融券,17,688093.SH
11.0,002997,一体化压铸;华为汽车;小米汽车;比亚迪概念;新型工业化;新能源汽车;机器人概念;专精特新;人工智能;深股通;融资融券,33,002997.SZ
2.0,002247,共同富裕示范区;长三角一体化,33,002247.SZ
8.0,301656,注册制次新股;减速器;小米汽车;小米概念;新能源汽车;深股通;新股与次新股;融资融券,33,301656.SZ
10.0,603030,建筑节能;装配式建筑;新型城镇化;养老概念;跨境电商;长三角一体化;一带一路;智能家居;人工智能;物联网,17,603030.SH
6.0,002760,数据中心;金属回收;军工;海工装备;金属锌;股权转让(并购重组),33,002760.SZ
16.0,600685,中船系;国产航母;海工装备;军工;风电;央企国企改革;商业航天;数据中心;工业互联网;国企改革;2025年报预增;同花顺中特估100;2026一季报预增;沪股通;中字头股票;融资融券,17,600685.SH
6.0,920357,新能源汽车;融资融券;消费电子概念;汽车电子;专精特新;PCB概念,151,920357.BJ
5.0,600858,养老概念;国企改革;家用电器;充电桩;抖音概念(字节概念),17,600858.SH
8.0,301626,液冷服务器;汽车电子;消费电子概念;宁德时代概念;汽车热管理;华为概念;深股通;融资融券,33,301626.SZ
12.0,002723,短剧游戏;空气能热泵;新型烟草(电子烟);家用电器;液冷服务器;露营经济;跨境电商;储能;军工;PPP概念;医疗器械概念;宠物经济,33,002723.SZ
4.0,920608,融资融券;乡村振兴;农机;专精特新,151,920608.BJ
8.0,301148,核污染防治;专精特新;海峡两岸;核电;福建自贸区;新型城镇化;污水处理;融资融券,33,301148.SZ
26.0,600406,柔性直流输电;特高压;抽水蓄能;智能电网;虚拟电厂;电力物联网;核电;充电桩;换电概念;雅下水电概念;央企国企改革;储能;光伏概念;氢能源;数据中心;水利;一带一路;PPP概念;国企改革;量子科技;同花顺漂亮100;证金持股;沪股通;融资融券;芯片概念;车联网(车路协同),17,600406.SH
12.0,300642,猴痘概念;肝炎概念;流感;基因测序;辅助生殖;创新药;医疗器械概念;智能医疗;AI应用;上海自贸区;DeepSeek概念;专精特新,33,300642.SZ
8.0,002546,电力物联网;智能电网;虚拟电厂;充电桩;2025年报预增;物联网;数据要素;深股通,33,002546.SZ
7.0,300004,3D打印;核电;PM2.5;专精特新;粤港澳大湾区;一带一路;国企改革,33,300004.SZ
28.0,603888,Sora概念(文生视频);AI应用;AI语料;知识产权保护;文化传媒概念;AIGC概念;虚拟数字人;数据确权;多模态AI;Web3.0;在线教育;AI智能体;阿里巴巴概念;云计算;数据要素;数据安全;元宇宙;区块链;网络安全;DeepSeek概念;人工智能;数字经济;京津冀一体化;创投;乡村振兴;国企改革;沪股通;融资融券,17,603888.SH
8.0,600604,租售同权;蚂蚁集团概念;创投;数字经济;DeepSeek概念;国企改革;融资融券;沪股通,17,600604.SH
8.0,603855,高股息精选;机器人概念;无人驾驶;军工;新疆振兴;核电;5G;沪股通,17,603855.SH
12.0,688535,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;华为概念;光伏概念;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,17,688535.SH
12.0,600359,粮食概念;农业种植;土地流转;农村电商;乳业;新疆振兴;乡村振兴;西部大开发;国企改革;特色小镇;股权转让(并购重组);融资融券,17,600359.SH
14.0,002343,文化传媒概念;短剧游戏;手机游戏;IP经济(谷子经济);AI语料;AIGC概念;旅游概念;元宇宙;腾讯概念;AI应用;虚拟现实;京津冀一体化;创投;国企改革,33,002343.SZ
10.0,603699,可控核聚变;页岩气;氢能源;核电;风电;一带一路;人民币贬值受益;高股息精选;沪股通;融资融券,17,603699.SH
8.0,000978,旅游概念;文化传媒概念;虚拟数字人;腾讯概念;DeepSeek概念;国企改革;西部大开发;低空经济,33,000978.SZ
6.0,301025,知识产权保护;文化传媒概念;IP经济(谷子经济);抖音概念(字节概念);华为概念;融资融券,33,301025.SZ
2.0,300891,钛白粉概念;融资融券,33,300891.SZ
3.0,000514,物业管理;国企改革;西部大开发,33,000514.SZ
7.0,920370,西部大开发;融资融券;物业管理;新型城镇化;垃圾分类;乡村振兴;DeepSeek概念,151,920370.BJ
8.0,002671,新型城镇化;地下管网;PPP概念;水利;风电;超超临界发电;核电;高端装备,33,002671.SZ
4.0,920111,共同富裕示范区;专精特新;融资融券;新能源汽车,151,920111.BJ
7.0,920475,金属铜;机器人概念;融资融券;智能物流;无人驾驶;专精特新;AIGC概念,151,920475.BJ
16.0,002170,磷化工;化肥;生态农业;农村电商;转基因;土地流转;锂电池概念;钠离子电池;2025年报预增;乡村振兴;垃圾分类;无人机;数字乡村;物联网;人工智能;深股通,33,002170.SZ
9.0,603062,专精特新;碳中和;储能;风电;光伏概念;海工装备;高股息精选;沪股通;融资融券,17,603062.SH
16.0,603111,高铁;一带一路;高端装备;新能源汽车;机器人概念;医疗器械概念;无人驾驶;新型工业化;比亚迪概念;工业母机;养老概念;工业互联网;充电桩;智能医疗;沪股通;高股息精选,17,603111.SH
27.0,002599,在线教育;虚拟数字人;手机游戏;鸿蒙概念;文化传媒概念;语音技术;职业教育;元宇宙;人工智能;腾讯概念;人脸识别;DeepSeek概念;数字孪生;智谱AI;AI应用;云办公;体育产业;虚拟现实;跨境电商;物联网;京津冀一体化;三胎概念;机器视觉;机器人概念;人形机器人;海峡两岸;无人机,33,002599.SZ
20.0,920953,AI应用;鸿蒙概念;融资融券;机器人概念;物联网;智能物流;数据要素;智慧政务;数据安全;在线教育;数字经济;华为鲲鹏;信创;华为昇腾;人脸识别;人工智能;云计算;DeepSeek概念;AI智能体;AIGC概念,151,920953.BJ
27.0,300687,华为盘古;财税数字化;华为欧拉;ChatGPT概念;多模态AI;华为昇腾;华为鲲鹏;信创;ERP概念;AI智能体;AIGC概念;鸿蒙概念;DeepSeek概念;人工智能;华为概念;智能医疗;工业互联网;C2M概念;新型工业化;机器人概念;AI应用;创投;粤港澳大湾区;PCB概念;宁德时代概念;融资融券;深股通,33,300687.SZ
10.0,300026,流感;仿制药一致性评价;创新药;医疗器械概念;养老概念;血氧仪;国企改革;京津冀一体化;深股通;融资融券,33,300026.SZ
13.0,000560,租售同权;物业管理;西部大开发;京津冀一体化;深股通;数字经济;鸿蒙概念;AIGC概念;数据要素;人工智能;ChatGPT概念;华为概念;融资融券,33,000560.SZ
12.0,001979,租售同权;免税店;物业管理;证金持股;国企改革;深股通;融资融券;养老概念;央企国企改革;回购增持再贷款概念;粤港澳大湾区;低空经济,33,001979.SZ
17.0,002761,装配式建筑;PPP概念;建筑节能;新型城镇化;国企改革;固废处理;乡村振兴;污水处理;雅下水电概念;土壤修复;水利;共同富裕示范区;一带一路;智慧城市;DeepSeek概念;深股通;融资融券,33,002761.SZ
21.0,000530,军民融合;无人零售;军工;核电;海工装备;独角兽概念;数字经济;体育产业;空气能热泵;数据中心;冰雪产业;中俄贸易概念;储能;比亚迪概念;汽车热管理;碳中和;冷链物流;液冷服务器;氢能源;统一大市场;融资融券,33,000530.SZ
12.0,600697,冰雪产业;物业管理;体育产业;免税店;冷链物流;旅游概念;跨境电商;中俄贸易概念;国企改革;数字经济;阿里巴巴概念;黄金概念,17,600697.SH
30.0,300624,Sora概念(文生视频);多模态AI;ChatGPT概念;AIGC概念;AI应用;Web3.0;虚拟数字人;云办公;AI智能体;阿里巴巴概念;数据安全;百度概念;信创;鸿蒙概念;元宇宙;DeepSeek概念;人工智能;虚拟现实;同花顺新质50;网红经济;华为概念;物联网;创投;智能家居;机器人概念;人民币贬值受益;回购增持再贷款概念;西部大开发;融资融券;深股通,33,300624.SZ
16.0,300400,先进封装;富士康概念;MicroLED概念;OLED;MiniLED;第三代半导体;柔性屏(折叠屏);PCB概念;芯片概念;消费电子概念;机器视觉;新型工业化;比亚迪概念;华为概念;人工智能;深股通,33,300400.SZ
6.0,601279,海峡两岸;长安汽车概念;比亚迪概念;新能源汽车;锂电池概念;沪股通,17,601279.SH
14.0,300449,数字水印;知识产权保护;网络安全;人脸识别;车联网(车路协同);AI智能体;安防;智慧城市;东数西算(算力);人工智能;华为概念;军工;垃圾分类;股权转让(并购重组),33,300449.SZ
3.0,920575,融资融券;重组蛋白;生物疫苗,151,920575.BJ
13.0,000700,人形机器人;小米汽车;华为汽车;特斯拉概念;比亚迪概念;小米概念;新能源汽车;机器人概念;智能医疗;参股银行;民营医院;融资融券;深股通,33,000700.SZ
7.0,603558,足球概念;冰雪产业;体育产业;高股息精选;光伏建筑一体化;绿色电力;人民币贬值受益,17,603558.SH
3.0,001259,家用电器;净水概念;露营经济,33,001259.SZ
